arm	event	anode	wall_s	maxrss_MB	plane	n_active	canvas_h	canvas_w	tiles	ms	gpu_delta_MiB
_fmf4	6	2	3	1455	0	1612	607	64	1	219	
_fmf4	6	2	3	1455	1	3418	517	1188	1	433	
_fmf4	6	2	3	1455	2	2518	448	64	1	66	
_fmf4	6	3	3	1399	0	2121	546	1041	1	414	
_fmf4	6	3	3	1399	1	1845	391	1027	1	239	
_fmf4	6	3	3	1399	2	1987	342	64	1	49	
_fmf4	6	5	3	782	0	1081	473	64	1	133	
_fmf4	6	5	3	782	1	969	170	922	1	156	
_fmf4	6	5	3	782	2	1041	171	64	1	44	
_fmf4	7	11	3	784	0	3563	800	64	1	163	
_fmf4	7	11	3	784	1	3531	800	202	1	177	
_fmf4	7	11	3	784	2	3728	960	64	1	69	
_fmf4	7	8	2	705	0	542	75	64	1	156	
_fmf4	7	8	2	705	1	453	358	346	1	186	
_fmf4	7	8	2	705	2	64	64	64	1	44	
_fmf4	7	9	3	1326	0	4187	800	64	1	148	
_fmf4	7	9	3	1326	1	4010	800	636	1	289	
_fmf4	7	9	3	1326	2	3409	366	64	1	57	
_fmf4	8	11	3	2012	0	7329	800	1069	1	528	
_fmf4	8	11	3	2012	1	4976	482	799	1	254	
_fmf4	8	11	3	2012	2	6354	470	75	1	75	
_fmf4	8	9	3	1477	0	5232	739	64	1	169	
_fmf4	8	9	3	1477	1	3782	800	789	1	360	
_fmf4	8	9	3	1477	2	4305	960	64	1	75	
_fmf4	9	9	3	1716	0	4559	104	953	1	226	
_fmf4	9	9	3	1716	1	6187	800	956	1	624	
_fmf4	9	9	3	1716	2	4482	393	955	1	200	
_fm	10	4	3	1997	0	6257	800	1085	1	522	
_fm	10	4	3	1997	1	7423	800	611	1	304	
_fm	10	4	3	1997	2	6109	423	610	1	141	
_fm	10	6	2	1375	0	306	64	79	1	140	
_fm	10	6	2	1375	1	869	800	684	1	297	
_fm	10	6	2	1375	2	528	64	79	1	36	
_fm	1	10	3	1265	0	3102	447	64	1	142	
_fm	1	10	3	1265	1	1854	700	655	1	351	
_fm	1	10	3	1265	2	2594	424	64	1	55	
_fm	1	8	2	985	0	1188	169	64	1	143	
_fm	1	8	2	985	1	734	396	719	1	279	
_fm	1	8	2	985	2	1008	161	64	1	49	
_fm	2	2	2	816	0	788	800	286	1	247	
_fm	2	2	2	816	1	4233	800	64	1	141	
_fm	2	2	2	816	2	2733	433	64	1	72	
_fm	2	4	3	785	0	540	495	330	1	215	
_fm	2	4	3	785	1	2820	800	64	1	150	
_fm	2	4	3	785	2	1841	292	64	1	61	
_fm	3	4	2	705	0	1942	439	135	1	218	
_fm	3	4	2	705	1	2666	726	64	1	137	
_fm	3	4	2	705	2	2364	396	64	1	65	
_fm	3	6	3	827	0	1022	418	260	1	174	
_fm	3	6	3	827	1	1416	459	419	1	198	
_fm	3	6	3	827	2	1230	207	64	1	61	
_fm	4	5	3	1101	0	150	64	64	1	125	
_fm	4	5	3	1101	1	709	398	1107	1	323	
_fm	4	5	3	1101	2	338	960	64	1	95	
_fm	4	7	3	1459	0	597	64	73	1	146	
_fm	4	7	3	1459	1	3207	555	1337	1	539	
_fm	4	7	3	1459	2	1542	246	71	1	65	
_fm	5	2	3	1873	0	210	64	578	1	156	
_fm	5	2	3	1873	1	156	581	1370	1	489	
_fm	5	2	3	1873	2	171	64	64	1	43	
_fm	5	4	3	819	0	3636	509	142	1	180	
_fm	5	4	3	819	1	2303	295	789	1	193	
_fm	5	4	3	819	2	3059	480	142	1	80	
_fm	5	6	3	702	0	482	67	64	1	181	
_fm	5	6	3	702	1	298	64	64	1	100	
_fm	5	6	3	702	2	389	64	64	1	37	
_fm	6	0	3	1185	0	160	64	64	1	177	
_fm	6	0	3	1185	1	329	552	932	1	310	
_fm	6	0	3	1185	2	219	960	64	1	94	
_fm	6	2	3	1457	0	1612	607	64	1	165	
_fm	6	2	3	1457	1	3418	517	1188	1	373	
_fm	6	2	3	1457	2	2518	448	64	1	69	
_fm	6	3	3	1401	0	2121	546	1041	1	411	
_fm	6	3	3	1401	1	1845	391	1027	1	275	
_fm	6	3	3	1401	2	1987	342	64	1	61	
_fm	6	5	3	784	0	1081	473	64	1	140	
_fm	6	5	3	784	1	969	170	922	1	171	
_fm	6	5	3	784	2	1041	171	64	1	46	
_fm	7	11	3	784	0	3563	800	64	1	163	
_fm	7	11	3	784	1	3531	800	202	1	187	
_fm	7	11	3	784	2	3728	960	64	1	75	
_fm	7	8	2	705	0	542	75	64	1	156	
_fm	7	8	2	705	1	453	358	346	1	162	
_fm	7	8	2	705	2	64	64	64	1	43	
_fm	7	9	3	1326	0	4187	800	64	1	155	
_fm	7	9	3	1326	1	4010	800	636	1	349	
_fm	7	9	3	1326	2	3409	366	64	1	71	
_fm	8	11	3	1997	0	7329	800	1069	1	563	
_fm	8	11	3	1997	1	4976	482	799	1	248	
_fm	8	11	3	1997	2	6354	470	75	1	66	
_fm	8	9	3	1478	0	5232	739	64	1	171	
_fm	8	9	3	1478	1	3782	800	789	1	438	
_fm	8	9	3	1478	2	4305	960	64	1	78	
_fm	9	9	3	1808	0	4559	104	953	1	175	
_fm	9	9	3	1808	1	6187	800	956	1	446	
_fm	9	9	3	1808	2	4482	393	955	1	236	
_fmgpu	10	4	4	1719	0	6257	800	1085	1	639	1538
_fmgpu	10	4	4	1719	1	7423	800	611	1	273	1538
_fmgpu	10	4	4	1719	2	6109	423	610	1	197	1538
_fmgpu	10	6	4	1428	0	306	64	79	1	247	1398
_fmgpu	10	6	4	1428	1	869	800	684	1	502	1398
_fmgpu	10	6	4	1428	2	528	64	79	1	28	1398
_fmgpu	1	10	4	1342	0	3102	447	64	1	278	2021
_fmgpu	1	10	4	1342	1	1854	700	655	1	444	2021
_fmgpu	1	10	4	1342	2	2594	424	64	1	165	2021
_fmgpu	1	8	4	1166	0	1188	169	64	1	251	1391
_fmgpu	1	8	4	1166	1	734	396	719	1	437	1391
_fmgpu	1	8	4	1166	2	1008	161	64	1	106	1391
_fmgpu	2	2	4	1088	0	788	800	286	1	364	1391
_fmgpu	2	2	4	1088	1	4233	800	64	1	235	1391
_fmgpu	2	2	4	1088	2	2733	433	64	1	183	1391
_fmgpu	2	4	4	1019	0	540	495	330	1	319	2021
_fmgpu	2	4	4	1019	1	2820	800	64	1	247	2021
_fmgpu	2	4	4	1019	2	1841	292	64	1	187	2021
_fmgpu	3	4	4	932	0	1942	439	135	1	265	0
_fmgpu	3	4	4	932	1	2666	726	64	1	260	0
_fmgpu	3	4	4	932	2	2364	396	64	1	182	0
_fmgpu	3	6	4	1075	0	1022	418	260	1	285	63
_fmgpu	3	6	4	1075	1	1416	459	419	1	298	63
_fmgpu	3	6	4	1075	2	1230	207	64	1	189	63
_fmgpu	4	5	4	1323	0	150	64	64	1	244	1230
_fmgpu	4	5	4	1323	1	709	398	1107	1	460	1230
_fmgpu	4	5	4	1323	2	338	960	64	1	246	1230
_fmgpu	4	7	4	1620	0	597	64	73	1	233	1724
_fmgpu	4	7	4	1620	1	3207	555	1337	1	642	1724
_fmgpu	4	7	4	1620	2	1542	246	71	1	186	1724
_fmgpu	5	2	4	1675	0	210	64	578	1	274	595
_fmgpu	5	2	4	1675	1	156	581	1370	1	633	595
_fmgpu	5	2	4	1675	2	171	64	64	1	190	595
_fmgpu	5	4	4	1118	0	3636	509	142	1	329	25
_fmgpu	5	4	4	1118	1	2303	295	789	1	322	25
_fmgpu	5	4	4	1118	2	3059	480	142	1	187	25
_fmgpu	5	6	4	909	0	482	67	64	1	274	0
_fmgpu	5	6	4	909	1	298	64	64	1	282	0
_fmgpu	5	6	4	909	2	389	64	64	1	219	0
_fmgpu	6	0	4	1395	0	160	64	64	1	241	2319
_fmgpu	6	0	4	1395	1	329	552	932	1	528	2319
_fmgpu	6	0	4	1395	2	219	960	64	1	190	2319
_fmgpu	6	2	4	1495	0	1612	607	64	1	253	1516
_fmgpu	6	2	4	1495	1	3418	517	1188	1	602	1516
_fmgpu	6	2	4	1495	2	2518	448	64	1	185	1516
_fmgpu	6	3	4	1398	0	2121	546	1041	1	609	1438
_fmgpu	6	3	4	1398	1	1845	391	1027	1	389	1438
_fmgpu	6	3	4	1398	2	1987	342	64	1	211	1438
_fmgpu	6	5	4	1043	0	1081	473	64	1	251	752
_fmgpu	6	5	4	1043	1	969	170	922	1	316	752
_fmgpu	6	5	4	1043	2	1041	171	64	1	182	752
_fmgpu	7	11	4	1045	0	3563	800	64	1	282	1132
_fmgpu	7	11	4	1045	1	3531	800	202	1	312	1132
_fmgpu	7	11	4	1045	2	3728	960	64	1	192	1132
_fmgpu	7	8	4	1007	0	542	75	64	1	232	0
_fmgpu	7	8	4	1007	1	453	358	346	1	299	0
_fmgpu	7	8	4	1007	2	64	64	64	1	184	0
_fmgpu	7	9	4	1393	0	4187	800	64	1	246	1333
_fmgpu	7	9	4	1393	1	4010	800	636	1	538	1333
_fmgpu	7	9	4	1393	2	3409	366	64	1	182	1333
_fmgpu	8	11	4	1705	0	7329	800	1069	1	664	1925
_fmgpu	8	11	4	1705	1	4976	482	799	1	268	1925
_fmgpu	8	11	4	1705	2	6354	470	75	1	197	1925
_fmgpu	8	9	4	1515	0	5232	739	64	1	252	1781
_fmgpu	8	9	4	1515	1	3782	800	789	1	540	1781
_fmgpu	8	9	4	1515	2	4305	960	64	1	194	1781
_fmgpu	9	9	4	1650	0	4559	104	953	1	306	1723
_fmgpu	9	9	4	1650	1	6187	800	956	1	606	1723
_fmgpu	9	9	4	1650	2	4482	393	955	1	223	1723
_fmgpuf4	10	4	4	1715	0	6257	800	1085	1	660	1540
_fmgpuf4	10	4	4	1715	1	7423	800	611	1	290	1540
_fmgpuf4	10	4	4	1715	2	6109	423	610	1	213	1540
_fmgpuf4	10	6	4	1429	0	306	64	79	1	231	1398
_fmgpuf4	10	6	4	1429	1	869	800	684	1	516	1398
_fmgpuf4	10	6	4	1429	2	528	64	79	1	34	1398
_fmgpuf4	1	10	4	1343	0	3102	447	64	1	277	1289
_fmgpuf4	1	10	4	1343	1	1854	700	655	1	483	1289
_fmgpuf4	1	10	4	1343	2	2594	424	64	1	159	1289
_fmgpuf4	1	8	4	1167	0	1188	169	64	1	268	1393
_fmgpuf4	1	8	4	1167	1	734	396	719	1	371	1393
_fmgpuf4	1	8	4	1167	2	1008	161	64	1	111	1393
_fmgpuf4	2	2	4	1091	0	788	800	286	1	357	1391
_fmgpuf4	2	2	4	1091	1	4233	800	64	1	256	1391
_fmgpuf4	2	2	4	1091	2	2733	433	64	1	187	1391
_fmgpuf4	2	4	4	1021	0	540	495	330	1	354	1289
_fmgpuf4	2	4	4	1021	1	2820	800	64	1	242	1289
_fmgpuf4	2	4	4	1021	2	1841	292	64	1	201	1289
_fmgpuf4	3	4	4	931	0	1942	439	135	1	273	0
_fmgpuf4	3	4	4	931	1	2666	726	64	1	250	0
_fmgpuf4	3	4	4	931	2	2364	396	64	1	200	0
_fmgpuf4	3	6	4	1076	0	1022	418	260	1	292	65
_fmgpuf4	3	6	4	1076	1	1416	459	419	1	338	65
_fmgpuf4	3	6	4	1076	2	1230	207	64	1	226	65
_fmgpuf4	4	5	4	1321	0	150	64	64	1	238	1230
_fmgpuf4	4	5	4	1321	1	709	398	1107	1	471	1230
_fmgpuf4	4	5	4	1321	2	338	960	64	1	186	1230
_fmgpuf4	4	7	4	1622	0	597	64	73	1	221	1724
_fmgpuf4	4	7	4	1622	1	3207	555	1337	1	739	1724
_fmgpuf4	4	7	4	1622	2	1542	246	71	1	203	1724
_fmgpuf4	5	2	4	1672	0	210	64	578	1	243	523
_fmgpuf4	5	2	4	1672	1	156	581	1370	1	613	523
_fmgpuf4	5	2	4	1672	2	171	64	64	1	182	523
_fmgpuf4	5	4	4	1116	0	3636	509	142	1	269	0
_fmgpuf4	5	4	4	1116	1	2303	295	789	1	323	0
_fmgpuf4	5	4	4	1116	2	3059	480	142	1	187	0
_fmgpuf4	5	6	3	911	0	482	67	64	1	266	974
_fmgpuf4	5	6	3	911	1	298	64	64	1	258	974
_fmgpuf4	5	6	3	911	2	389	64	64	1	182	974
_fmgpuf4	6	0	4	1396	0	160	64	64	1	234	2319
_fmgpuf4	6	0	4	1396	1	329	552	932	1	534	2319
_fmgpuf4	6	0	4	1396	2	219	960	64	1	189	2319
_fmgpuf4	6	2	4	1496	0	1612	607	64	1	257	1516
_fmgpuf4	6	2	4	1496	1	3418	517	1188	1	563	1516
_fmgpuf4	6	2	4	1496	2	2518	448	64	1	189	1516
_fmgpuf4	6	3	4	1398	0	2121	546	1041	1	531	1438
_fmgpuf4	6	3	4	1398	1	1845	391	1027	1	408	1438
_fmgpuf4	6	3	4	1398	2	1987	342	64	1	198	1438
_fmgpuf4	6	5	4	1041	0	1081	473	64	1	263	1107
_fmgpuf4	6	5	4	1041	1	969	170	922	1	317	1107
_fmgpuf4	6	5	4	1041	2	1041	171	64	1	196	1107
_fmgpuf4	7	11	4	1043	0	3563	800	64	1	272	1132
_fmgpuf4	7	11	4	1043	1	3531	800	202	1	345	1132
_fmgpuf4	7	11	4	1043	2	3728	960	64	1	193	1132
_fmgpuf4	7	8	4	1006	0	542	75	64	1	270	834
_fmgpuf4	7	8	4	1006	1	453	358	346	1	296	834
_fmgpuf4	7	8	4	1006	2	64	64	64	1	180	834
_fmgpuf4	7	9	4	1401	0	4187	800	64	1	251	1361
_fmgpuf4	7	9	4	1401	1	4010	800	636	1	472	1361
_fmgpuf4	7	9	4	1401	2	3409	366	64	1	190	1361
_fmgpuf4	8	11	4	1703	0	7329	800	1069	1	654	1908
_fmgpuf4	8	11	4	1703	1	4976	482	799	1	260	1908
_fmgpuf4	8	11	4	1703	2	6354	470	75	1	174	1908
_fmgpuf4	8	9	4	1516	0	5232	739	64	1	262	1781
_fmgpuf4	8	9	4	1516	1	3782	800	789	1	537	1781
_fmgpuf4	8	9	4	1516	2	4305	960	64	1	209	1781
_fmgpuf4	9	9	4	1651	0	4559	104	953	1	287	1719
_fmgpuf4	9	9	4	1651	1	6187	800	956	1	593	1719
_fmgpuf4	9	9	4	1651	2	4482	393	955	1	227	1719
