stratum	sample	event	iso_len80	iso_len75	iso_len_any75	labelled
vtx_iso	mcp1k	64591	0	185.811	185.811	1
vtx_iso	mcp1k	64717	38.7325	38.7325	38.7325	1
vtx_iso	mcp1k	65025	0	39.8021	39.8021	1
vtx_iso	mcp1k	65289	74.5772	74.5772	74.5772	1
vtx_iso	mcp1k	65295	64.5312	64.5312	64.5312	1
vtx_iso	mcp1k	66118	0	12.8505	12.8505	1
vtx_iso	mcp1k	66712	0	19.8938	19.8938	1
vtx_iso	mcp1k	68648	0	119.655	119.655	1
vtx_iso	mcp1k	71222	80.0639	80.0639	80.0639	1
vtx_iso	mcp1k	71640	0	244.671	244.671	1
vtx_iso	mcp1k	72256	70.0132	70.0132	70.0132	1
vtx_iso	mcp1k	72586	0	310.957	310.957	1
vtx_iso	mcp1k	73004	30.2095	30.2095	73.1181	1
vtx_iso	mcp1k	166870	25.3409	45.2464	45.2464	1
vtx_iso	mcp1k	168526	43.3643	151.999	151.999	1
vtx_iso	mcp1k	169824	0	179.507	179.507	1
vtx_iso	mcp1k	170792	41.5223	41.5223	41.5223	1
vtx_iso	mcp1k	170880	16.8448	16.8448	16.8448	1
vtx_iso	mcp1k	171358	0	16.5504	16.5504	1
vtx_iso	mcp1k	171600	0	355.185	355.185	1
vtx_iso	mcp1k	172266	0	12.0707	12.0707	1
vtx_iso	mcp1k	173498	0	172.209	172.209	1
vtx_iso	mcp1k	174114	37.4297	37.4297	37.4297	1
vtx_iso	mcp1k	174928	0	29.5845	29.5845	1
vtx_iso	mcp1k	175808	0	135.943	135.943	1
vtx_iso	mcp1k	278046	15.6291	15.6291	15.6291	1
vtx_iso	mcp1k	278420	32.7171	94.7991	94.7991	1
vtx_iso	mcp1k	279256	47.8508	47.8508	47.8508	1
vtx_iso	mcp1k	280598	18.2128	18.2128	18.2128	1
vtx_iso	mcp1k	280774	0	39.5256	39.5256	1
vtx_iso	mcp1k	280853	29.2883	29.2883	29.2883	1
vtx_iso	mcp1k	280972	40.9882	40.9882	40.9882	1
vtx_iso	mcp1k	281595	0	338.604	338.604	1
vtx_iso	mcp1k	281953	87.6623	87.6623	87.6623	1
vtx_iso	mcp1k	282072	47.6522	145.89	159.973	1
vtx_iso	mcp1k	282204	0	90.1475	90.1475	1
vtx_iso	mcp1k	282231	15.6112	67.2829	67.2829	1
vtx_iso	mcp1k	282979	30.3948	30.3948	30.3948	1
vtx_iso	mcp1k	283463	0	12.5818	12.5818	1
vtx_iso	mcp1k	284103	0	169.716	169.716	1
vtx_iso	mcp1k	284145	0	37.7169	37.7169	1
vtx_iso	mcp1k	284200	22.2971	22.2971	22.2971	1
vtx_iso	mcp1k	284211	21.9096	164.035	164.035	1
vtx_iso	mcp1k	284791	35.998	35.998	35.998	1
vtx_iso	mcp1k	285311	23.9808	23.9808	23.9808	1
vtx_iso	mcp1k	285443	74.8616	74.8616	74.8616	1
vtx_iso	mcp1k	285665	95.8209	95.8209	95.8209	1
vtx_iso	mcp1k	286191	109.97	109.97	109.97	1
vtx_iso	mcp1k	286241	0	306.429	306.429	1
vtx_iso	mcp1k	287211	102.128	102.128	102.128	1
vtx_iso	mcp1k	287517	0	143.231	143.231	1
vtx_iso	mcp1k	287555	21.6822	21.6822	21.6822	1
vtx_iso	mcp1k	287621	0	52.3297	52.3297	1
vtx_iso	mcp1k	288358	0	122.14	122.14	1
vtx_iso	mcp1k	288639	16.4477	16.4477	16.4477	1
vtx_iso	mcp1k	290052	76.716	76.716	76.716	1
vtx_iso	mcp1k	292577	66.4033	66.4033	66.4033	1
vtx_iso	mcp1k	293149	0	25.9981	25.9981	1
vtx_iso	mcp1k	315343	34.8103	34.8103	34.8103	1
vtx_iso	mcp1k	316025	80.5668	80.5668	80.5668	1
vtx_iso	mcp1k	316729	26.3865	26.3865	38.9368	1
vtx_iso	mcp1k	319039	89.1182	89.1182	89.1182	1
vtx_iso	mcp1k	320667	15.9574	15.9574	15.9574	1
vtx_iso	mcp1k	321173	0	23.701	23.701	1
vtx_iso	mcp1k	321371	0	64.111	64.111	1
vtx_iso	mcp1k	348471	54.0446	54.0446	54.0446	1
vtx_iso	mcp1k	348691	0	25.4498	38.8589	1
vtx_iso	mcp1k	348713	0	28.3815	28.3815	1
vtx_iso	mcp1k	348845	0	71.8739	71.8739	1
vtx_iso	mcp1k	349241	52.4164	52.4164	52.4164	1
vtx_iso	mcp1k	349461	69.3887	69.3887	69.3887	1
vtx_iso	mcp1k	349835	32.6566	32.6566	32.6566	1
vtx_iso	mcp1k	350121	0	202.311	244.944	1
vtx_iso	mcp1k	353223	0	30.1946	30.1946	1
vtx_iso	mcp1k	387850	68.4403	68.4403	68.4403	1
vtx_iso	mcp1k	390864	13.9564	13.9564	13.9564	1
vtx_iso	mcp1k	391260	0	104.689	104.689	1
vtx_iso	mcp1k	393608	48.9315	48.9315	48.9315	1
vtx_iso	mcp1k	394796	0	147.263	147.263	1
vtx_iso	mcp1k	399328	12.1046	12.1046	12.1046	1
vtx_iso	mcp1k	399856	0	17.4156	17.4156	1
vtx_iso	mcp1k	399998	0	30.4794	30.4794	1
vtx_iso	mcp1k	400504	56.838	56.838	56.838	1
vtx_iso	mcp1k	401780	97.8263	97.8263	97.8263	1
vtx_iso	mcp1k	402880	72.3747	72.3747	72.3747	1
vtx_iso	mcp1k	405740	23.9051	23.9051	23.9051	1
vtx_iso	mcp1k	409942	22.2509	22.2509	22.2509	1
vtx_iso	mcp1k	412208	0	55.5349	55.5349	1
vtx_iso	mcp1k	486687	0	293.044	293.044	1
vtx_iso	mcp1k	487853	34.8173	34.8173	34.8173	1
vtx_iso	mcp1k	489327	0	392.697	392.697	1
vtx_iso	mcp1k	492913	50.0928	50.0928	50.0928	1
vtx_iso	mcp2k	51546	75.8397	75.8397	75.8397	1
vtx_iso	mcp2k	52044	0	110.604	110.604	1
vtx_iso	mcp2k	53658	0	17.3492	17.3492	1
vtx_iso	mcp2k	53793	27.1874	39.2857	39.2857	1
vtx_iso	mcp2k	53881	80.7741	80.7741	80.7741	1
vtx_iso	mcp2k	54508	0	17.7176	17.7176	1
vtx_iso	mcp2k	55278	40.0552	40.0552	40.0552	1
vtx_iso	mcp2k	55542	0	25.4208	25.4208	1
vtx_iso	mcp2k	57709	84.4136	84.4136	84.4136	1
vtx_iso	mcp2k	58072	107.313	107.313	107.313	1
vtx_iso	mcp2k	66652	53.342	252.976	252.976	1
vtx_iso	mcp2k	66872	66.8657	66.8657	66.8657	1
vtx_iso	mcp2k	67928	89.8058	89.8058	89.8058	1
vtx_iso	mcp2k	69666	0	192.262	192.262	1
vtx_iso	mcp2k	70010	0	80.8953	80.8953	1
vtx_iso	mcp2k	70178	0	28.1163	28.1163	1
vtx_iso	mcp2k	70692	106.916	106.916	106.916	1
vtx_iso	mcp2k	71022	0	59.5806	59.5806	1
vtx_iso	mcp2k	71872	59.4189	59.4189	59.4189	1
vtx_iso	mcp2k	73336	0	23.5117	23.5117	1
vtx_iso	mcp2k	73688	60.2268	351.871	351.871	1
vtx_iso	mcp2k	74380	0	89.4042	89.4042	1
vtx_iso	mcp2k	75954	0	17.46	28.8319	1
vtx_iso	mcp2k	77702	0	348.019	348.019	1
vtx_iso	mcp2k	77878	0	221.928	221.928	1
vtx_iso	mcp2k	79491	0	44.1811	44.1811	1
vtx_iso	mcp2k	81420	0	94.3359	94.3359	1
vtx_iso	mcp2k	93105	97.0993	97.0993	111.44	1
vtx_iso	mcp2k	93696	31.3295	31.3295	31.3295	1
vtx_iso	mcp2k	94224	22.7668	57.8046	57.8046	1
vtx_iso	mcp2k	94392	101.463	137.575	148.893	1
vtx_iso	mcp2k	94546	0	343.488	343.488	1
vtx_iso	mcp2k	94678	105.598	105.598	105.598	1
vtx_iso	mcp2k	95405	104.676	129.7	129.7	1
vtx_iso	mcp2k	95690	0	40.0283	40.0283	1
vtx_iso	mcp2k	97062	76.0323	104.136	104.136	1
vtx_iso	mcp2k	97231	0	109.726	121.379	1
vtx_iso	mcp2k	98294	16.2895	16.2895	16.2895	1
vtx_iso	mcp2k	98470	0	68.5675	82.874	1
vtx_iso	mcp2k	98778	0	431.719	431.719	1
vtx_iso	mcp2k	100222	0	66.4309	66.4309	1
vtx_iso	mcp2k	103952	34.7812	49.0766	49.0766	1
vtx_iso	mcp2k	104216	0	155.44	155.44	1
vtx_iso	mcp2k	105316	0	32.4811	32.4811	1
vtx_iso	mcp2k	105426	0	26.5623	26.5623	1
vtx_iso	mcp2k	163771	0	105.687	105.687	1
vtx_iso	mcp2k	165767	0	13.1793	13.1793	1
vtx_iso	mcp2k	167351	0	375.799	375.799	1
vtx_iso	mcp2k	168209	78.4953	78.4953	78.4953	1
vtx_iso	mcp2k	168448	24.5364	24.5364	24.5364	1
vtx_iso	mcp2k	169152	77.398	77.398	77.398	1
vtx_iso	mcp2k	169221	11.3786	11.3786	11.3786	1
vtx_iso	mcp2k	170098	0	23.6939	23.6939	1
vtx_iso	mcp2k	171528	0	34.9031	34.9031	1
vtx_iso	mcp2k	171729	0	164.876	164.876	1
vtx_iso	mcp2k	171866	0	15.8786	15.8786	1
vtx_iso	mcp2k	172177	0	61.5454	61.5454	1
vtx_iso	mcp2k	172344	0	24.1539	24.1539	1
vtx_iso	mcp2k	172617	27.286	27.286	27.286	1
vtx_iso	mcp2k	172850	53.6674	53.6674	53.6674	1
vtx_iso	mcp2k	173108	36.993	36.993	36.993	1
vtx_iso	mcp2k	173340	91.3214	91.3214	91.3214	1
vtx_iso	mcp2k	173620	106.46	106.46	106.46	1
vtx_iso	mcp2k	173912	0	56.6667	56.6667	1
vtx_iso	mcp2k	174352	69.3072	69.3072	69.3072	1
vtx_iso	mcp2k	174795	0	216.335	216.335	1
vtx_iso	mcp2k	175057	0	236.121	236.121	1
vtx_iso	mcp2k	177366	11.9065	11.9065	11.9065	1
vtx_iso	mcp2k	177939	25.9804	25.9804	25.9804	1
vtx_iso	mcp2k	178570	51.7824	51.7824	51.7824	1
vtx_iso	mcp2k	179752	65.3616	65.3616	65.3616	1
vtx_iso	mcp2k	179765	0	86.7691	86.7691	1
vtx_iso	mcp2k	179897	84.7919	84.7919	84.7919	1
vtx_iso	mcp2k	179912	91.179	91.179	91.179	1
vtx_iso	mcp2k	180117	0	13.4186	13.4186	1
vtx_iso	mcp2k	180544	0	10.9048	10.9048	1
vtx_iso	mcp2k	236610	44.1309	44.1309	44.1309	1
vtx_iso	mcp2k	237446	0	44.352	44.352	1
vtx_iso	mcp2k	240372	26.1208	39.2765	39.2765	1
vtx_iso	mcp2k	242022	0	334.641	334.641	1
vtx_iso	mcp2k	242814	14.2319	14.2319	60.0569	1
vtx_iso	mcp2k	243628	94.0107	186.42	186.42	1
vtx_iso	mcp2k	281567	21.7432	21.7432	21.7432	1
vtx_iso	mcp2k	281985	81.9517	81.9517	81.9517	1
vtx_iso	mcp2k	283568	97.3845	97.3845	97.3845	1
vtx_iso	mcp2k	284047	16.7129	16.7129	16.7129	1
vtx_iso	mcp2k	284866	11.0586	11.0586	11.0586	1
vtx_iso	mcp2k	285680	11.5359	11.5359	11.5359	1
vtx_iso	mcp2k	286296	0	14.3396	14.3396	1
vtx_iso	mcp2k	287770	0	49.3076	49.3076	1
vtx_iso	mcp2k	289862	16.0658	16.0658	16.0658	1
vtx_iso	mcp2k	290588	14.0092	14.0092	14.0092	1
vtx_iso	mcp2k	292524	108.45	158.645	178.992	1
vtx_iso	mcp2k	292568	34.0577	34.0577	34.0577	1
vtx_iso	mcp2k	292722	0	15.2156	15.2156	1
vtx_iso	mcp2k	293536	0	14.6676	14.6676	1
vtx_iso	mcp2k	294174	70.1547	96.734	108.265	1
vtx_iso	mcp2k	315955	0	54.3071	54.3071	1
vtx_iso	mcp2k	316197	35.0057	35.0057	35.0057	1
vtx_iso	mcp2k	318021	16.5347	16.5347	16.5347	1
vtx_iso	mcp2k	319475	0	12.1268	12.1268	1
vtx_iso	mcp2k	320485	15.1581	15.1581	15.1581	1
vtx_iso	mcp2k	321015	0	119.934	119.934	1
vtx_iso	mcp2k	322707	71.6061	71.6061	71.6061	1
vtx_iso	mcp2k	323125	28.394	43.2279	43.2279	1
vtx_iso	mcp2k	323171	10.1842	25.4562	25.4562	1
vtx_iso	mcp2k	323369	13.6021	259.85	259.85	1
vtx_iso	mcp2k	348594	97.921	97.921	97.921	1
vtx_iso	mcp2k	355238	0	30.7285	30.7285	1
vtx_iso	mcp2k	390391	73.3708	84.7076	84.7076	1
vtx_iso	mcp2k	390634	12.9184	12.9184	12.9184	1
vtx_iso	mcp2k	390810	0	28.9419	28.9419	1
vtx_iso	mcp2k	391415	77.6232	95.1054	95.1054	1
vtx_iso	mcp2k	392327	0	143.433	143.433	1
vtx_iso	mcp2k	393727	0	140.381	140.381	1
vtx_iso	mcp2k	395443	64.1038	64.1038	64.1038	1
vtx_iso	mcp2k	395573	12.2116	12.2116	12.2116	1
vtx_iso	mcp2k	395597	0	101.186	141.576	1
vtx_iso	mcp2k	395695	0	101.913	101.913	1
vtx_iso	mcp2k	395870	0	41.9495	41.9495	1
vtx_iso	mcp2k	396355	42.2968	42.2968	42.2968	1
vtx_iso	mcp2k	396882	54.2321	54.2321	54.2321	1
vtx_iso	mcp2k	396927	0	43.9912	43.9912	1
vtx_iso	mcp2k	397190	14.3609	14.3609	14.3609	1
vtx_iso	mcp2k	397542	0	20.8948	20.8948	1
vtx_iso	mcp2k	398181	0	39.3088	39.3088	1
vtx_iso	mcp2k	399303	0	86.2368	86.2368	1
vtx_iso	mcp2k	402209	46.5661	46.5661	46.5661	1
vtx_iso	mcp2k	405201	0	240.57	240.57	1
vtx_iso	mcp2k	406125	0	12.9171	12.9171	1
vtx_iso	mcp2k	407534	66.8487	66.8487	66.8487	1
vtx_iso	mcp2k	407886	91.0732	91.0732	91.0732	1
vtx_iso	mcp2k	408326	60.3838	261.945	261.945	1
vtx_iso	mcp2k	409140	72.5637	72.5637	72.5637	1
vtx_iso	mcp2k	409906	37.8871	37.8871	37.8871	1
vtx_iso	mcp2k	410680	26.8241	26.8241	26.8241	1
vtx_iso	mcp2k	412396	0	42.1767	42.1767	1
vtx_iso	mcp2k	414240	0	289.138	289.138	1
vtx_iso	mcp2k	417100	0	167.346	167.346	1
vtx_iso	mcp2k	417782	11.3353	11.3353	11.3353	1
vtx_iso	mcp2k	478088	0	168.117	168.117	1
vtx_iso	mcp2k	478220	0	274.301	274.301	1
vtx_iso	mcp2k	478594	12.5851	12.5851	12.5851	1
vtx_iso	mcp2k	478638	17.5888	17.5888	17.5888	1
vtx_iso	mcp2k	479650	27.7982	27.7982	27.7982	1
vtx_iso	mcp2k	480728	0	29.0716	29.0716	1
vtx_iso	mcp2k	502525	0	41.1412	41.1412	1
owner	mcp1k	56463	41.7023	41.7023	41.7023	0
owner	mcp1k	59899	0	0	0	1
owner	mcp1k	58717	0	0	0	0
control	mcp1k	50303	0	0	0	0
control	mcp1k	50831	0	0	0	1
control	mcp1k	55627	0	0	0	1
control	mcp1k	57485	0	0	0	1
control	mcp1k	59247	0	0	0	0
control	mcp1k	59929	0	0	0	1
control	mcp1k	61071	0	0	0	0
control	mcp1k	62583	0	0	0	0
control	mcp1k	63603	0	0	0	1
control	mcp1k	63669	0	0	0	1
control	mcp1k	64921	0	0	0	1
control	mcp1k	65267	0	0	0	1
control	mcp1k	71178	0	0	0	1
control	mcp1k	168658	0	0	0	1
control	mcp1k	169356	0	0	0	1
control	mcp1k	172794	0	0	0	1
control	mcp1k	173058	0	0	0	1
control	mcp1k	173146	0	0	0	1
control	mcp1k	278684	0	0	0	1
control	mcp1k	279190	0	0	0	1
control	mcp1k	280752	0	0	0	1
control	mcp1k	281507	0	0	0	1
control	mcp1k	282737	0	0	0	1
control	mcp1k	284013	0	0	0	1
control	mcp1k	284637	0	0	0	1
control	mcp1k	285253	0	0	0	0
control	mcp1k	285531	0	0	0	1
control	mcp1k	286353	0	0	0	1
control	mcp1k	286655	0	0	0	1
control	mcp1k	286818	0	0	0	1
control	mcp1k	287249	0	0	0	1
control	mcp1k	289141	0	0	0	0
control	mcp1k	292797	0	0	0	0
control	mcp1k	313781	0	0	0	1
control	mcp1k	314507	0	0	0	1
control	mcp1k	314705	0	0	0	1
control	mcp1k	315849	0	0	0	1
control	mcp1k	316311	0	0	0	1
control	mcp1k	320029	0	0	0	1
control	mcp1k	349879	0	0	0	1
control	mcp1k	350935	0	0	0	1
control	mcp1k	351639	0	0	0	0
control	mcp1k	351749	0	0	0	1
control	mcp1k	352233	0	0	0	1
control	mcp1k	386332	0	0	0	1
control	mcp1k	388224	0	0	0	1
control	mcp1k	395390	0	0	0	0
control	mcp1k	397722	0	0	0	1
control	mcp1k	399118	0	0	0	1
control	mcp1k	400054	0	0	0	1
control	mcp1k	401252	0	0	0	0
control	mcp1k	405674	0	0	0	1
control	mcp1k	406752	0	0	0	0
control	mcp1k	406796	0	0	0	1
control	mcp1k	407170	0	0	0	0
control	mcp1k	407280	0	0	0	0
control	mcp1k	409282	0	0	0	0
control	mcp1k	411460	0	0	0	1
control	mcp2k	47278	0	0	0	1
control	mcp2k	49742	0	0	0	1
control	mcp2k	52352	0	0	0	0
control	mcp2k	54453	0	0	0	0
control	mcp2k	54629	0	0	0	0
control	mcp2k	55443	0	0	0	0
control	mcp2k	56521	0	0	0	0
control	mcp2k	68346	0	0	0	0
control	mcp2k	69152	0	0	0	1
control	mcp2k	70766	0	0	0	1
control	mcp2k	70912	0	0	0	1
control	mcp2k	71642	0	0	0	0
control	mcp2k	72174	0	0	0	1
control	mcp2k	72649	0	0	0	0
control	mcp2k	73054	0	0	0	0
control	mcp2k	73412	0	0	0	1
control	mcp2k	74146	0	0	0	1
control	mcp2k	74414	0	0	0	0
control	mcp2k	75040	0	0	0	1
control	mcp2k	75729	0	0	0	0
control	mcp2k	76038	0	0	0	1
control	mcp2k	76059	0	0	0	1
control	mcp2k	77846	0	0	0	1
control	mcp2k	78582	0	0	0	0
control	mcp2k	90003	0	0	0	0
control	mcp2k	90179	0	0	0	1
control	mcp2k	91782	0	0	0	0
control	mcp2k	91917	0	0	0	1
control	mcp2k	92159	0	0	0	0
control	mcp2k	92904	0	0	0	1
control	mcp2k	96306	0	0	0	1
control	mcp2k	98704	0	0	0	1
control	mcp2k	99284	0	0	0	0
control	mcp2k	100728	0	0	0	0
control	mcp2k	102841	0	0	0	1
control	mcp2k	103061	0	0	0	0
control	mcp2k	103193	0	0	0	0
control	mcp2k	104260	0	0	0	1
control	mcp2k	105492	0	0	0	1
control	mcp2k	165104	0	0	0	0
control	mcp2k	169966	0	0	0	0
control	mcp2k	170428	0	0	0	1
control	mcp2k	170585	0	0	0	1
control	mcp2k	171473	0	0	0	0
control	mcp2k	171616	0	0	0	0
control	mcp2k	173438	0	0	0	0
control	mcp2k	173643	0	0	0	0
control	mcp2k	173671	0	0	0	0
