run	idx	event	wall_s	peak_rss_gb	ql_took_ms	prefit_ms	xtpc_cull_ms	fit_ms	output_ms	build_bundles_ms	decompose_ms	vis_loop_ms	cand_pts	nflash	ngroups
039349	15	19709	33	0.56	8452	7518.6	339.8	175.2	419.2	7066.6	79.7	1895.2	2807214	185	70
039349	16	19729	40	0.56	7140	6372.9	358.0	88.8	320.5	5921.5	82.0	1833.7	3497584	178	75
039349	17	19749	22	0.42	5272	4483.0	186.8	161.3	441.5	4217.2	58.4	1355.0	1781301	178	75
039349	18	19769	36	0.56	8810	8150.1	166.4	24.7	469.6	7582.8	97.9	1771.8	2713020	174	62
039349	19	19789	23	0.44	4821	4279.1	92.5	147.8	302.3	3990.5	50.4	923.5	1384416	157	70
039349	1	19429	18	0.39	3811	3284.9	89.4	207.9	229.2	3097.6	30.9	661.3	1002876	184	66
039349	20	19809	25	0.48	5693	5015.6	78.4	237.5	361.9	4649.6	55.6	1064.7	1474192	156	81
039349	21	19829	33	0.53	6478	5836.7	58.5	152.9	430.8	5398.4	82.4	1339.4	2081909	154	70
039349	22	19849	37	0.56	8732	7928.5	352.1	76.2	375.9	7418.2	86.6	1897.3	2935786	181	74
039349	23	19869	35	0.57	8316	7668.0	134.8	152.4	361.8	7219.7	82.6	1568.4	2560493	184	70
039349	24	19889	25	0.46	6154	5463.0	241.7	129.0	321.2	5145.2	57.2	1232.0	1867004	165	80
039349	25	19909	41	0.63	8093	7088.7	401.5	89.5	514.2	6569.9	83.0	1772.1	3560593	161	84
039349	26	19929	43	0.60	6648	6173.9	86.6	47.8	340.5	5752.1	73.7	2548.2	5740205	170	64
