# doc pdvd/99 sec 6.4 -- KEY (never shown to a scanner). on=p98vonq prod=p96vprod seed=20260913 n_controls=45; record_verdict = carried record on p98vonq / smx record on p96vprod
scan_id	key	group	arm	vol	status	other	in_prep	record_verdict	record_confidence	record_source
43	039253_15/36	prod_only	p96vprod	bottom	not_candidate	039253_15/29	1	STM_MICHEL	owner	smx6 (owner, 2026-09-11)
44	039349_68/65	on_only	p98vonq	top	not_candidate	039349_68/68	1			
45	039253_8/62	prod_only	p96vprod	top	not_candidate	039253_8/82	1	STM_MICHEL	high	smx1a
46	039349_52/51	on_only	p98vonq	top	object_split	039349_52/52	1	STM_ONLY	high	smx1a
47	039253_7/78	on_only	p98vonq	top	not_candidate	039253_7/70	1			
48	039253_1/98	prod_only	p96vprod	top	candidate_not_stm	039253_1/101	1	STM_ONLY	medium	smx1a
49	039349_63/41	prod_only	p96vprod	top	candidate_not_stm	039349_63/53	1	MESSY	owner	smx4 (owner, 2026-09-10)
50	039349_43/66	prod_only	p96vprod	bottom	object_merged	039349_43/66	1	STM_MICHEL	owner	smx5 (owner, 2026-09-11)
51	039253_0/87	prod_only	p96vprod	top	not_candidate	039253_0/94	1	STM_MICHEL	high	smx1a
52	039349_26/18	on_only	p98vonq	bottom	not_candidate	039349_26/12	1			
53	039253_12/93	prod_only	p96vprod	top	candidate_not_stm	039253_12/92	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
54	039349_47/24	on_only	p98vonq	bottom	candidate_not_stm	039349_47/24	1	THRU	high	smx1a
55	039253_6/46	on_only	p98vonq	bottom	not_candidate	039253_6/43	1			
56	039253_6/99	on_only	p98vonq	top	not_candidate	039253_6/92	1			
57	039252_15/81	prod_only	p96vprod	top	candidate_not_stm	039252_15/88	1	STM_MICHEL	high	smx1a
58	039349_67/75	on_only	p98vonq	top	not_candidate	039349_67/74	1			
59	039349_32/63	on_only	p98vonq	top	candidate_not_stm	039349_32/63	1	THRU	owner	smx7 (owner, 2026-09-11)
60	039349_34/40	prod_only	p96vprod	top	not_candidate	039349_34/41	1	STM_ONLY	high	smx1a
61	039252_12/117	on_only	p98vonq	top	candidate_not_stm	039252_12/123	1	STM_MICHEL	owner	smx7 (owner, 2026-09-11)
62	039349_20/76	on_only	p98vonq	top	not_candidate	039349_20/71	1			
63	039252_3/112	on_only	p98vonq	bottom	object_lost	039252_3/42	1			
64	039349_23/35	on_only	p98vonq	bottom	not_candidate	039349_23/30	1			
65	039253_11/84	on_only	p98vonq	top	candidate_not_stm	039253_11/86	1	THRU	high	smx1a
66	039349_69/44	on_only	p98vonq	top	not_candidate	039349_69/46	1			
67	039349_56/41	prod_only	p96vprod	top	candidate_not_stm	039349_56/49	1	STM_ONLY	high	smx1a
68	039349_81/51	prod_only	p96vprod	top	candidate_not_stm	039349_81/55	1	STM_ONLY	owner	smx4 (owner, 2026-09-10)
69	039253_8/65	prod_only	p96vprod	top	candidate_not_stm	039253_8/69	1	STM_MICHEL	owner	smx3 (owner, 2026-09-10)
70	039349_0/28	on_only	p98vonq	bottom	candidate_not_stm	039349_0/28	1	STM_MICHEL	owner	smx7 (owner, 2026-09-11)
71	039349_65/43	on_only	p98vonq	top	not_candidate	039349_65/43	1			
72	039349_54/20	on_only	p98vonq	bottom	candidate_not_stm	039349_54/18	1	THRU	medium	smx1a
73	039349_70/54	on_only	p98vonq	top	not_candidate	039349_70/58	1			
74	039349_25/72	on_only	p98vonq	bottom	not_candidate	039349_25/68	1			
75	039252_12/96	on_only	p98vonq	top	not_candidate	039252_12/102	1			
76	039349_20/32	prod_only	p96vprod	bottom	candidate_not_stm	039349_20/28	1	STM_ONLY	medium	smx1a
77	039349_59/14	prod_only	p96vprod	bottom	not_candidate	039349_59/13	1	THRU	medium	smx1a
78	039349_52/54	on_only	p98vonq	top	not_candidate	039349_52/31	1			
79	039349_7/67	on_only	p98vonq	top	not_candidate	039349_7/66	1			
80	039253_8/81	prod_only	p96vprod	top	not_candidate	039253_8/67	1			
81	039252_3/85	on_only	p98vonq	top	not_candidate	039252_3/77	1			
82	039349_26/40	prod_only	p96vprod	top	not_candidate	039349_26/41	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
83	039252_7/99	prod_only	p96vprod	top	not_candidate	039252_7/92	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
84	039349_37/69	on_only	p98vonq	bottom	not_candidate	039349_37/63	1			
85	039349_39/56	prod_only	p96vprod	top	candidate_not_stm	039349_39/56	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
86	039349_46/24	on_only	p98vonq	bottom	not_candidate	039349_46/27	1			
87	039253_17/127	prod_only	p96vprod	bottom	object_lost	039253_17/23	1	STM_ONLY	high	smx1a
88	039349_31/39	prod_only	p96vprod	top	candidate_not_stm	039349_31/48	1	STM_MICHEL	medium	smx1a
89	039253_9/108	prod_only	p96vprod	top	candidate_not_stm	039253_9/101	1	STM_ONLY	medium	smx1a
90	039253_5/107	prod_only	p96vprod	top	candidate_not_stm	039253_5/113	1	STM_ONLY	high	smx1a
91	039349_45/57	on_only	p98vonq	top	not_candidate	039349_45/57	1			
92	039252_9/101	prod_only	p96vprod	top	candidate_not_stm	039252_9/103	1	STM_MICHEL	owner	smx8 (owner, 2026-09-11)
93	039349_78/22	on_only	p98vonq	bottom	object_merged	039349_78/58	1			
94	039349_61/58	prod_only	p96vprod	top	not_candidate	039349_61/55	1	MESSY	owner	smx3 (owner, 2026-09-10)
95	039252_1/114	on_only	p98vonq	bottom	not_candidate	039252_1/109	1	STM_MICHEL	owner	smx3 (owner, 2026-09-10)
96	039349_17/24	on_only	p98vonq	bottom	object_merged	039349_17/68	1			
97	039252_9/74	on_only	p98vonq	top	not_candidate	039252_9/99	1			
98	039349_69/23	on_only	p98vonq	bottom	not_candidate	039349_69/26	1			
99	039253_17/88	on_only	p98vonq	top	not_candidate	039253_17/92	1			
100	039349_26/23	on_only	p98vonq	bottom	candidate_not_stm	039349_26/16	1	THRU	high	smx1a
101	039349_5/51	on_only	p98vonq	top	object_merged	039349_5/53	1			
102	039253_8/68	on_only	p98vonq	top	candidate_not_stm	039253_8/64	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
103	039349_20/78	on_only	p98vonq	top	not_candidate	039349_20/74	1			
104	039349_3/50	prod_only	p96vprod	top	not_candidate	039349_3/52	1	STM_ONLY	high	smx1a
105	039253_2/98	on_only	p98vonq	top	not_candidate	039253_2/98	1			
106	039252_5/129	on_only	p98vonq	bottom	not_candidate	039252_5/113	1			
107	039349_54/30	prod_only	p96vprod	bottom	not_candidate	039349_54/33	1	STM_MICHEL	high	smx1a
108	039349_82/41	prod_only	p96vprod	top	not_candidate	039349_82/42	1	STM_ONLY	high	smx1a
109	039349_40/48	on_only	p98vonq	top	not_candidate	039349_40/47	1			
110	039252_13/84	on_only	p98vonq	top	not_candidate	039252_13/80	1			
111	039349_34/64	on_only	p98vonq	bottom	not_candidate	039349_34/22	1			
112	039349_43/43	on_only	p98vonq	top	not_candidate	039349_43/44	1			
113	039253_9/102	on_only	p98vonq	top	not_candidate	039253_9/103	1			
114	039253_4/91	prod_only	p96vprod	top	not_candidate	039253_4/91	1	STM_ONLY	medium	smx1a
115	039253_7/80	prod_only	p96vprod	top	candidate_not_stm	039253_7/89	1	STM_MICHEL	medium	smx1a
116	039349_22/40	on_only	p98vonq	top	candidate_not_stm	039349_22/39	1	THRU	low	smx1a
117	039349_50/52	on_only	p98vonq	top	candidate_not_stm	039349_50/46	1	STM_MICHEL	owner	smx8 (owner, 2026-09-11)
118	039252_6/40	on_only	p98vonq	bottom	not_candidate	039252_6/36	1			
119	039253_1/79	prod_only	p96vprod	top	candidate_not_stm	039253_1/75	1	STM_ONLY	medium	smx1a
120	039349_46/58	prod_only	p96vprod	top	object_lost	039349_46/58	1	MESSY	high	smx1a
121	039252_7/96	on_only	p98vonq	top	not_candidate	039252_7/97	1			
122	039253_6/119	on_only	p98vonq	top	not_candidate	039253_6/112	1			
123	039349_21/68	on_only	p98vonq	bottom	not_candidate	039349_21/65	1			
124	039253_11/117	on_only	p98vonq	top	not_candidate	039253_11/111	1			
125	039253_10/77	prod_only	p96vprod	top	object_lost	039253_10/None	1	STM_MICHEL	medium	smx1a
126	039252_17/104	prod_only	p96vprod	bottom	object_lost	039252_17/78	1	STM_ONLY	high	smx1a
127	039349_22/59	on_only	p98vonq	top	candidate_not_stm	039349_22/56	1	STM_ONLY	owner	smx4 (owner, 2026-09-10)
128	039252_8/118	on_only	p98vonq	bottom	not_candidate	039252_8/99	1			
129	039349_60/44	on_only	p98vonq	top	object_lost	039349_60/41	1			
130	039349_23/58	on_only	p98vonq	top	object_merged	039349_23/56	1			
131	039349_64/45	on_only	p98vonq	top	candidate_not_stm	039349_64/52	1	STM_MICHEL	owner	smx7 (owner, 2026-09-11)
132	039349_7/57	on_only	p98vonq	top	candidate_not_stm	039349_7/57	1	THRU	owner	smx7 (owner, 2026-09-11)
133	039252_0/98	on_only	p98vonq	bottom	not_candidate	039252_0/95	1			
134	039349_7/48	on_only	p98vonq	top	object_lost	039349_7/72	1			
135	039349_35/75	prod_only	p96vprod	bottom	not_candidate	039349_35/78	1	STM_ONLY	medium	smx1a
136	039253_16/51	prod_only	p96vprod	bottom	not_candidate	039253_16/52	1	STM_ONLY	medium	smx1a
