sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	281953	work-d84r3-cens-mcp1k	10000	long_muon_else_pf	1	147	87.7	217.8	0.5652	85.1	218.9	225.2	196.0	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	282072	work-d84r3-cens-mcp1k	7004	long_muon_else_pf	2	518	309.8	745.6	0.04617	307.4	699.1	713.2	682.5	21	false	0	0	2	309.8	713.2	0	0
mcp1k	282204	work-d84r3-cens-mcp1k	4001	long_muon_else_pf	1	148	88.2	199.4	0.1013	87.6	224.1	226.3	222.9	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	282217	work-d84r3-cens-mcp1k	9004	long_muon_else_pf	2	692	414.2	1193.1	0.2365	412.8	934.8	957.4	937.1	28	false	0	0	2	414.2	957.4	0	0
mcp1k	282231	work-d84r3-cens-mcp1k	19000	long_muon_else_pf	1	88	52.4	-1.0	-1	52.0	148.2	149.6	132.6	4	false	3	3	0	0.0	-1.0	0	0
mcp1k	282385	work-d84r3-cens-mcp1k	11005	long_muon_else_pf	3	264	156.7	1949.1	0.9649	155.3	367.2	372.5	398.1	11	false	0	0	3	156.7	372.5	0	0
mcp1k	282459	work-d84r3-cens-mcp1k	10001	long_muon_else_pf	1	153	91.0	378.6	0.7843	90.8	231.0	232.4	203.3	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	282666	work-d84r3-cens-mcp1k	10001	long_muon_else_pf	1	217	129.6	415.2	0.5682	129.6	312.7	314.3	367.3	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	282737	work-d84r3-cens-mcp1k	21018	long_muon_else_pf	1	295	176.6	387.7	0.08446	174.5	408.0	415.6	400.4	12	false	0	0	0	0.0	-1.0	0	0
mcp1k	282899	work-d84r3-cens-mcp1k	7014	long_muon_else_pf	1	224	133.6	489.1	0.7216	132.6	319.0	322.9	437.6	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	283009	work-d84r3-cens-mcp1k	23014	long_muon_else_pf	1	273	163.5	821.4	0.7376	162.8	383.1	387.2	358.3	11	false	0	0	0	0.0	-1.0	0	0
mcp1k	283040	work-d84r3-cens-mcp1k	2008	long_muon_else_pf	2	206	122.1	268.0	0.1795	122.1	297.0	298.5	364.2	8	false	0	0	2	122.1	298.5	0	0
mcp1k	283091	work-d84r3-cens-mcp1k	24014	long_muon_else_pf	1	203	121.0	362.6	0.6142	121.0	294.7	296.1	294.9	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	283229	work-d84r3-cens-mcp1k	6001	long_muon_else_pf	1	292	174.7	446.0	0.232	173.1	404.9	411.5	414.5	12	false	0	0	0	0.0	-1.0	0	0
mcp1k	283713	work-d84r3-cens-mcp1k	17006	long_muon_else_pf	2	833	498.4	2263.9	0.7759	491.8	1117.5	1139.3	1150.7	33	false	0	0	2	498.4	1139.3	0	0
mcp1k	283771	work-d84r3-cens-mcp1k	21001	long_muon_else_pf	1	234	139.7	1286.9	0.9104	137.8	330.0	336.0	308.0	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	283905	work-d84r3-cens-mcp1k	4000	long_muon_else_pf	1	193	115.0	242.6	0.3211	113.8	279.3	283.3	296.4	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	283991	work-d84r3-cens-mcp1k	15003	long_muon_else_pf	1	221	132.1	275.2	0.02697	132.1	318.1	319.8	325.3	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	284013	work-d84r3-cens-mcp1k	8017	long_muon_else_pf	1	243	147.1	367.9	0.3928	147.1	349.8	351.9	345.7	10	false	2	3	0	0.0	-1.0	0	0
mcp1k	284103	work-d84r3-cens-mcp1k	8005	long_muon_else_pf	2	282	167.8	557.1	0.556	166.6	391.0	396.4	362.5	11	false	0	0	2	167.8	396.4	0	0
mcp1k	284153	work-d84r3-cens-mcp1k	14005	long_muon_else_pf	1	228	136.3	317.8	0.3844	136.3	327.0	328.8	328.4	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	284211	work-d84r3-cens-mcp1k	14004	long_muon_else_pf	1	236	141.1	347.8	0.3263	140.8	336.5	339.0	305.1	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	284657	work-d84r3-cens-mcp1k	5005	long_muon_else_pf	1	134	80.0	551.6	0.8843	79.7	207.4	208.9	178.0	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	284769	work-d84r3-cens-mcp1k	16004	long_muon_else_pf	2	622	371.6	4000.0	1	368.1	833.2	856.9	818.3	25	false	0	0	2	371.6	856.9	0	0
mcp1k	284794	work-d84r3-cens-mcp1k	12013	long_muon_else_pf	1	459	274.9	711.9	0.3513	271.7	621.0	633.8	578.0	18	false	0	0	0	0.0	-1.0	0	0
mcp1k	285311	work-d84r3-cens-mcp1k	11003	long_muon_else_pf	1	70	41.5	298.6	0.9238	41.5	124.9	125.3	114.9	3	false	0	0	0	0.0	-1.0	0	0
mcp1k	285366	work-d84r3-cens-mcp1k	13000	long_muon_else_pf	1	114	67.7	565.4	0.8696	67.7	181.9	182.6	225.9	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	285443	work-d84r3-cens-mcp1k	7000	long_muon_else_pf	1	126	74.9	880.1	0.9401	74.9	197.2	197.9	384.1	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	285467	work-d84r3-cens-mcp1k	18000	long_muon_else_pf	1	169	100.6	2716.4	0.9756	100.3	251.0	252.6	234.2	7	false	1	1	0	0.0	-1.0	0	0
mcp1k	285531	work-d84r3-cens-mcp1k	15002	long_muon_else_pf	1	254	152.1	358.3	0.2114	150.5	357.0	362.7	342.8	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	285929	work-d84r3-cens-mcp1k	13005	long_muon_else_pf	1	464	277.6	751.8	0.2651	277.6	633.9	639.8	619.4	19	false	0	0	0	0.0	-1.0	0	0
mcp1k	285971	work-d84r3-cens-mcp1k	7009	long_muon_else_pf	3	453	271.4	605.1	0.00672	269.8	616.9	625.8	672.3	19	false	2	3	3	271.4	625.8	0	0
mcp1k	286191	work-d84r3-cens-mcp1k	7001	long_muon_else_pf	2	186	110.6	254.4	0.116	110.0	271.4	274.0	339.5	8	false	0	0	2	110.6	274.0	0	0
mcp1k	286241	work-d84r3-cens-mcp1k	11000	long_muon_else_pf	1	509	306.5	642.1	0.02088	302.8	689.0	705.7	674.3	20	false	5	6	0	0.0	-1.0	0	0
mcp1k	286268	work-d84r3-cens-mcp1k	11003	long_muon_else_pf	1	337	201.8	462.0	0.06339	201.1	466.3	470.6	490.6	14	false	0	0	0	0.0	-1.0	0	0
mcp1k	286353	work-d84r3-cens-mcp1k	9004	long_muon_else_pf	2	457	273.3	1350.7	0.749	270.4	618.2	630.1	578.5	18	false	0	0	2	273.3	630.1	0	0
mcp1k	286400	work-d84r3-cens-mcp1k	11003	long_muon_else_pf	1	580	350.6	756.8	8.623e-05	348.9	790.1	807.6	831.8	24	false	2	3	0	0.0	-1.0	0	0
mcp1k	286681	work-d84r3-cens-mcp1k	3004	long_muon_else_pf	1	109	65.0	15.4	1	61.7	168.9	176.9	135.2	4	false	0	0	0	0.0	-1.0	0	0
