arm	plane	metric	median	q25	q75	n
d44sigb	U	U_cheb2	0.3543	nan	nan	0
d44sign6	U	B_foot_pooled	-0.185924	nan	nan	562
d44sign6	U	U_foot_pooled	0.344477	nan	nan	562
d44sign6	U	B_cheb2	-0.2026	nan	nan	0
d44sign6	U	U_cheb2	0.3549	nan	nan	0
d44ref	V	B_foot	-0.2189	-0.28655	-0.1544	585
d44sig	V	B_foot	-0.1747	-0.230275	-0.1193	592
d44sigb	V	B_foot	-0.1753	-0.2425	-0.1188	600
d44sign6	V	B_foot	-0.19045	-0.2487	-0.13405	562
d44ref	V	U_foot	0.3702	0.29925	0.47565	585
d44sig	V	U_foot	0.3403	0.292325	0.4254	592
d44sigb	V	U_foot	0.3643	0.3166	0.44	600
d44sign6	V	U_foot	0.35325	0.306675	0.438075	562
d44ref	V	chi2N_foot	6.737	4.373	10.8515	585
d44sig	V	chi2N_foot	5.9535	3.74875	10.1128	592
d44sigb	V	chi2N_foot	6.334	4.227	10.827	600
d44sign6	V	chi2N_foot	6.4085	4.17225	10.9932	562
d44ref	V	pull_rms	1.742	1.3625	2.44	585
d44sig	V	pull_rms	1.6525	1.2915	2.3535	592
d44sigb	V	pull_rms	1.924	1.471	2.648	600
d44sign6	V	pull_rms	1.6885	1.322	2.4335	562
d44ref	V	pull_tail3	0.2	0.13185	0.3047	585
d44sig	V	pull_tail3	0.15295	0.0897	0.269225	592
d44sigb	V	pull_tail3	0.1768	0.1074	0.3073	600
d44sign6	V	pull_tail3	0.16705	0.10305	0.289625	562
d44ref	V	uncov_foot	0.0328	0.01285	0.08605	585
d44sig	V	uncov_foot	0.0018	0.0001	0.0073	592
d44sigb	V	uncov_foot	0.0003	0	0.0037	600
d44sign6	V	uncov_foot	0.0003	0	0.003825	562
d44ref	V	f_off	0.3908	0.196225	0.57255	585
d44sig	V	f_off	0.3909	0.1991	0.5719	592
d44sigb	V	f_off	0.3825	0.1962	0.57335	600
d44sign6	V	f_off	0.3877	0.1977	0.5713	562
d44ref	V	f_off_far	0.2411	0.090525	0.4471	585
d44sig	V	f_off_far	0.238	0.0927	0.4489	592
d44sigb	V	f_off_far	0.2378	0.0932	0.4489	600
d44sign6	V	f_off_far	0.238	0.0928	0.441	562
d44ref	V	B_foot_pooled	-0.211659	nan	nan	583
d44ref	V	U_foot_pooled	0.36167	nan	nan	583
d44ref	V	B_cheb2	-0.2119	nan	nan	0
d44ref	V	U_cheb2	0.3658	nan	nan	0
d44sig	V	B_foot_pooled	-0.173452	nan	nan	590
d44sig	V	U_foot_pooled	0.344814	nan	nan	590
d44sig	V	B_cheb2	-0.1874	nan	nan	0
d44sig	V	U_cheb2	0.3517	nan	nan	0
d44sigb	V	B_foot_pooled	-0.176647	nan	nan	597
d44sigb	V	U_foot_pooled	0.36491	nan	nan	597
d44sigb	V	B_cheb2	-0.1933	nan	nan	0
d44sigb	V	U_cheb2	0.3717	nan	nan	0
d44sign6	V	B_foot_pooled	-0.191398	nan	nan	560
d44sign6	V	U_foot_pooled	0.3612	nan	nan	560
d44sign6	V	B_cheb2	-0.2059	nan	nan	0
d44sign6	V	U_cheb2	0.3686	nan	nan	0
d44ref	W	B_foot	-0.09975	-0.1737	-0.056775	585
d44sig	W	B_foot	-0.0935	-0.16475	-0.04455	592
d44sigb	W	B_foot	-0.1091	-0.18555	-0.0578	600
d44sign6	W	B_foot	-0.1132	-0.1825	-0.0651	562
d44ref	W	U_foot	0.24215	0.197775	0.31795	585
d44sig	W	U_foot	0.22	0.18465	0.2838	592
d44sigb	W	U_foot	0.2782	0.23335	0.34335	600
d44sign6	W	U_foot	0.2379	0.2033	0.298	562
d44ref	W	chi2N_foot	18.748	12.3613	30.1638	585
d44sig	W	chi2N_foot	14.736	10.7465	23.066	592
d44sigb	W	chi2N_foot	20.663	15.4475	31.165	600
d44sign6	W	chi2N_foot	16.399	12.098	25.099	562
d44ref	W	pull_rms	2.817	2.1685	3.83275	585
d44sig	W	pull_rms	2.42	2.0705	3.103	592
d44sigb	W	pull_rms	3.841	3.124	4.7875	600
d44sign6	W	pull_rms	2.526	2.217	3.207	562
d44ref	W	pull_tail3	0.3372	0.2416	0.459175	585
d44sig	W	pull_tail3	0.287	0.2285	0.38875	592
d44sigb	W	pull_tail3	0.4421	0.3671	0.5316	600
d44sign6	W	pull_tail3	0.3052	0.2509	0.4002	562
d44ref	W	uncov_foot	0.0107	0.0018	0.028675	585
d44sig	W	uncov_foot	0.0019	0.0001	0.00635	592
d44sigb	W	uncov_foot	0	0	0	600
d44sign6	W	uncov_foot	0	0	0.0003	562
d44ref	W	f_off	0.2945	0.1596	0.4956	585
d44sig	W	f_off	0.28395	0.15815	0.499775	592
d44sigb	W	f_off	0.29505	0.159375	0.49685	600
d44sign6	W	f_off	0.2948	0.15785	0.4995	562
d44ref	W	f_off_far	0.2441	0.1132	0.4615	585
d44sig	W	f_off_far	0.2384	0.112775	0.463625	592
d44sigb	W	f_off_far	0.24705	0.114625	0.462075	600
d44sign6	W	f_off_far	0.2456	0.11335	0.463025	562
d44ref	W	B_foot_pooled	-0.10908	nan	nan	584
d44ref	W	U_foot_pooled	0.248588	nan	nan	584
d44ref	W	B_cheb2	-0.1327	nan	nan	0
d44ref	W	U_cheb2	0.269	nan	nan	0
d44sig	W	B_foot_pooled	-0.103028	nan	nan	591
d44sig	W	U_foot_pooled	0.231522	nan	nan	591
d44sig	W	B_cheb2	-0.1275	nan	nan	0
d44sig	W	U_cheb2	0.2531	nan	nan	0
d44sigb	W	B_foot_pooled	-0.116529	nan	nan	599
d44sigb	W	U_foot_pooled	0.283526	nan	nan	599
d44sigb	W	B_cheb2	-0.14	nan	nan	0
d44sigb	W	U_cheb2	0.3036	nan	nan	0
d44sign6	W	B_foot_pooled	-0.121801	nan	nan	561
d44sign6	W	U_foot_pooled	0.248885	nan	nan	561
d44sign6	W	B_cheb2	-0.1457	nan	nan	0
d44sign6	W	U_cheb2	0.2699	nan	nan	0
d44ref	-	dqdx:all_status0:ntracks	583	nan	nan	583
d44sig	-	dqdx:all_status0:ntracks	590	nan	nan	590
d44sigb	-	dqdx:all_status0:ntracks	599	nan	nan	599
d44sign6	-	dqdx:all_status0:ntracks	561	nan	nan	561
d44ref	-	dqdx:all_status0:k_pop	0.9207	nan	nan	583
d44sig	-	dqdx:all_status0:k_pop	0.9308	nan	nan	590
d44sigb	-	dqdx:all_status0:k_pop	0.9425	nan	nan	599
d44sign6	-	dqdx:all_status0:k_pop	0.9291	nan	nan	561
d44ref	-	dqdx:all_status0:chi2	2373.79	nan	nan	583
d44sig	-	dqdx:all_status0:chi2	2453.16	nan	nan	590
d44sigb	-	dqdx:all_status0:chi2	2576.76	nan	nan	599
d44sign6	-	dqdx:all_status0:chi2	2311.85	nan	nan	561
d44ref	-	dqdx:all_status0:k_med	0.8595	nan	nan	583
d44sig	-	dqdx:all_status0:k_med	0.867	nan	nan	590
d44sigb	-	dqdx:all_status0:k_med	0.8701	nan	nan	599
d44sign6	-	dqdx:all_status0:k_med	0.8592	nan	nan	561
d44ref	-	dqdx:all_status0:k_rms	0.2435	nan	nan	583
d44sig	-	dqdx:all_status0:k_rms	0.2379	nan	nan	590
d44sigb	-	dqdx:all_status0:k_rms	0.2325	nan	nan	599
d44sign6	-	dqdx:all_status0:k_rms	0.2394	nan	nan	561
d44ref	-	dqdx:all_status0:contrast_med	1.067	nan	nan	583
d44sig	-	dqdx:all_status0:contrast_med	1.05	nan	nan	590
d44sigb	-	dqdx:all_status0:contrast_med	1.051	nan	nan	599
d44sign6	-	dqdx:all_status0:contrast_med	1.084	nan	nan	561
d44ref	-	dqdx:all_status0:hump_3_20	0.88892	nan	nan	0
d44sig	-	dqdx:all_status0:hump_3_20	0.88214	nan	nan	0
d44sigb	-	dqdx:all_status0:hump_3_20	0.87026	nan	nan	0
d44sign6	-	dqdx:all_status0:hump_3_20	0.88462	nan	nan	0
d44ref	-	dqdx:contrast_ge2:ntracks	100	nan	nan	100
d44sig	-	dqdx:contrast_ge2:ntracks	89	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:ntracks	83	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:ntracks	99	nan	nan	99
d44ref	-	dqdx:contrast_ge2:k_pop	0.9123	nan	nan	100
d44sig	-	dqdx:contrast_ge2:k_pop	0.9196	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:k_pop	0.9238	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:k_pop	0.9132	nan	nan	99
d44ref	-	dqdx:contrast_ge2:chi2	52.56	nan	nan	100
d44sig	-	dqdx:contrast_ge2:chi2	37.14	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:chi2	16.64	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:chi2	39.05	nan	nan	99
d44ref	-	dqdx:contrast_ge2:k_med	0.969	nan	nan	100
d44sig	-	dqdx:contrast_ge2:k_med	0.9653	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:k_med	0.942	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:k_med	0.9499	nan	nan	99
d44ref	-	dqdx:contrast_ge2:k_rms	0.2287	nan	nan	100
d44sig	-	dqdx:contrast_ge2:k_rms	0.2118	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:k_rms	0.2455	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:k_rms	0.2359	nan	nan	99
d44ref	-	dqdx:contrast_ge2:contrast_med	2.428	nan	nan	100
d44sig	-	dqdx:contrast_ge2:contrast_med	2.449	nan	nan	89
d44sigb	-	dqdx:contrast_ge2:contrast_med	2.354	nan	nan	83
d44sign6	-	dqdx:contrast_ge2:contrast_med	2.444	nan	nan	99
d44ref	-	dqdx:contrast_ge2:hump_3_20	1.09796	nan	nan	0
d44sig	-	dqdx:contrast_ge2:hump_3_20	1.07722	nan	nan	0
d44sigb	-	dqdx:contrast_ge2:hump_3_20	1.04882	nan	nan	0
d44sign6	-	dqdx:contrast_ge2:hump_3_20	1.0734	nan	nan	0
d44ref	-	dqdx:doc55_cuts:ntracks	47	nan	nan	47
d44sig	-	dqdx:doc55_cuts:ntracks	42	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:ntracks	37	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:ntracks	46	nan	nan	46
d44ref	-	dqdx:doc55_cuts:k_pop	0.9277	nan	nan	47
d44sig	-	dqdx:doc55_cuts:k_pop	0.9316	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:k_pop	0.9429	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:k_pop	0.9461	nan	nan	46
d44ref	-	dqdx:doc55_cuts:chi2	66.7	nan	nan	47
d44sig	-	dqdx:doc55_cuts:chi2	73.7	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:chi2	47.68	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:chi2	60.84	nan	nan	46
d44ref	-	dqdx:doc55_cuts:k_med	1.0125	nan	nan	47
d44sig	-	dqdx:doc55_cuts:k_med	1.0075	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:k_med	1.002	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:k_med	1.0148	nan	nan	46
d44ref	-	dqdx:doc55_cuts:k_rms	0.0885	nan	nan	47
d44sig	-	dqdx:doc55_cuts:k_rms	0.0813	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:k_rms	0.0679	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:k_rms	0.0871	nan	nan	46
d44ref	-	dqdx:doc55_cuts:contrast_med	2.282	nan	nan	47
d44sig	-	dqdx:doc55_cuts:contrast_med	2.345	nan	nan	42
d44sigb	-	dqdx:doc55_cuts:contrast_med	2.29	nan	nan	37
d44sign6	-	dqdx:doc55_cuts:contrast_med	2.346	nan	nan	46
d44ref	-	dqdx:doc55_cuts:hump_3_20	1.10992	nan	nan	0
d44sig	-	dqdx:doc55_cuts:hump_3_20	1.12182	nan	nan	0
d44sigb	-	dqdx:doc55_cuts:hump_3_20	1.09618	nan	nan	0
d44sign6	-	dqdx:doc55_cuts:hump_3_20	1.09876	nan	nan	0
d44ref	-	dqdx:doc55_muon:ntracks	45	nan	nan	45
d44sig	-	dqdx:doc55_muon:ntracks	41	nan	nan	41
d44sigb	-	dqdx:doc55_muon:ntracks	37	nan	nan	37
d44sign6	-	dqdx:doc55_muon:ntracks	44	nan	nan	44
d44ref	-	dqdx:doc55_muon:k_pop	0.9329	nan	nan	45
d44sig	-	dqdx:doc55_muon:k_pop	0.9335	nan	nan	41
d44sigb	-	dqdx:doc55_muon:k_pop	0.9429	nan	nan	37
d44sign6	-	dqdx:doc55_muon:k_pop	0.9489	nan	nan	44
d44ref	-	dqdx:doc55_muon:chi2	68.91	nan	nan	45
d44sig	-	dqdx:doc55_muon:chi2	74.87	nan	nan	41
d44sigb	-	dqdx:doc55_muon:chi2	47.68	nan	nan	37
d44sign6	-	dqdx:doc55_muon:chi2	64.34	nan	nan	44
d44ref	-	dqdx:doc55_muon:k_med	1.013	nan	nan	45
d44sig	-	dqdx:doc55_muon:k_med	1.0097	nan	nan	41
d44sigb	-	dqdx:doc55_muon:k_med	1.002	nan	nan	37
d44sign6	-	dqdx:doc55_muon:k_med	1.0236	nan	nan	44
d44ref	-	dqdx:doc55_muon:k_rms	0.0817	nan	nan	45
d44sig	-	dqdx:doc55_muon:k_rms	0.0753	nan	nan	41
d44sigb	-	dqdx:doc55_muon:k_rms	0.0679	nan	nan	37
d44sign6	-	dqdx:doc55_muon:k_rms	0.0779	nan	nan	44
d44ref	-	dqdx:doc55_muon:contrast_med	2.282	nan	nan	45
d44sig	-	dqdx:doc55_muon:contrast_med	2.352	nan	nan	41
d44sigb	-	dqdx:doc55_muon:contrast_med	2.29	nan	nan	37
d44sign6	-	dqdx:doc55_muon:contrast_med	2.346	nan	nan	44
d44ref	-	dqdx:doc55_muon:hump_3_20	1.11284	nan	nan	0
d44sig	-	dqdx:doc55_muon:hump_3_20	1.12272	nan	nan	0
d44sigb	-	dqdx:doc55_muon:hump_3_20	1.09618	nan	nan	0
d44sign6	-	dqdx:doc55_muon:hump_3_20	1.1015	nan	nan	0
