det	event	block	status	plane	rr_bin	N	abs	sum_y	sum_yhat	uncov_y
pdvd	039252_0_d42fit	410	7	U	40+	375	1362492	4485492	3781760	23237
pdvd	039252_0_d42fit	410	7	V	0-2	8	154832	163247	87267	0
pdvd	039252_0_d42fit	410	7	V	2-5	14	452948	652511	504261	673
pdvd	039252_0_d42fit	410	7	V	5-10	17	796639	592365	470010	0
pdvd	039252_0_d42fit	410	7	V	10-20	44	1541163	2174120	1632119	0
pdvd	039252_0_d42fit	410	7	V	20-40	67	1836658	3410793	2730193	0
pdvd	039252_0_d42fit	410	7	V	40+	227	4490853	9446930	7313989	3103
pdvd	039252_0_d42fit	410	7	W	0-2	14	77443	125489	49464	0
pdvd	039252_0_d42fit	410	7	W	2-5	21	23838	258125	276719	0
pdvd	039252_0_d42fit	410	7	W	5-10	28	92258	275768	264390	0
pdvd	039252_0_d42fit	410	7	W	10-20	60	93164	726264	771870	0
pdvd	039252_0_d42fit	410	7	W	20-40	121	272307	1495288	1419969	0
pdvd	039252_0_d42fit	410	7	W	40+	390	1368678	4774569	3863035	0
pdvd	039252_0_d42fit	440	0	U	0-2	12	65458	91406	45308	38593
pdvd	039252_0_d42fit	440	0	U	2-5	6	14010	12768	2950	5870
pdvd	039252_0_d42fit	440	0	U	5-10	13	96035	109148	198573	2596
pdvd	039252_0_d42fit	440	0	U	10-20	45	204339	562549	521970	58462
pdvd	039252_0_d42fit	440	0	U	20-40	120	636084	2030599	1427339	251510
pdvd	039252_0_d42fit	440	0	U	40+	1391	4817762	14784994	10863648	1124526
pdvd	039252_0_d42fit	440	0	V	0-2	9	64060	138599	85421	3416
pdvd	039252_0_d42fit	440	0	V	2-5	10	65954	32255	79875	173
pdvd	039252_0_d42fit	440	0	V	5-10	23	104155	221338	117183	4446
pdvd	039252_0_d42fit	440	0	V	10-20	57	151525	514639	373272	12025
pdvd	039252_0_d42fit	440	0	V	20-40	122	366193	1037578	856275	44218
pdvd	039252_0_d42fit	440	0	V	40+	1768	7778841	30187458	23666891	465031
pdvd	039252_0_d42fit	440	0	W	0-2	16	111182	146433	42539	35936
pdvd	039252_0_d42fit	440	0	W	2-5	23	94418	133603	52029	22000
pdvd	039252_0_d42fit	440	0	W	5-10	35	105998	253503	155243	2978
pdvd	039252_0_d42fit	440	0	W	10-20	69	68256	431040	397492	3572
pdvd	039252_0_d42fit	440	0	W	20-40	152	126704	971592	968164	2222
pdvd	039252_0_d42fit	440	0	W	40+	1957	2167282	13635087	13297349	12880
pdvd	039252_0_d42fit	740	0	U	0-2	15	93365	132004	87167	35087
pdvd	039252_0_d42fit	740	0	U	2-5	13	87563	86445	20626	71226
pdvd	039252_0_d42fit	740	0	V	0-2	8	59134	77176	92932	20934
pdvd	039252_0_d42fit	740	0	V	2-5	13	51792	74837	53347	27358
pdvd	039252_0_d42fit	740	0	W	0-2	15	86880	126285	41191	51232
pdvd	039252_0_d42fit	740	0	W	2-5	8	51268	73282	22014	44354
pdvd	039252_0_d42fit	750	0	U	0-2	9	153328	255357	168895	32974
pdvd	039252_0_d42fit	750	0	U	2-5	23	357572	653078	372060	266457
pdvd	039252_0_d42fit	750	0	U	5-10	31	161197	736251	599240	5917
pdvd	039252_0_d42fit	750	0	U	10-20	69	199776	1440767	1363665	2800
pdvd	039252_0_d42fit	750	0	U	20-40	146	553862	2513915	2074781	50416
pdvd	039252_0_d42fit	750	0	U	40+	1815	4073175	16813760	14050871	117261
pdvd	039252_0_d42fit	750	0	V	0-2	12	157900	208659	73433	15004
pdvd	039252_0_d42fit	750	0	V	2-5	16	195869	249715	67144	1737
pdvd	039252_0_d42fit	750	0	V	5-10	18	51364	199543	167411	0
pdvd	039252_0_d42fit	750	0	V	10-20	60	190237	686930	504893	3103
pdvd	039252_0_d42fit	750	0	V	20-40	104	217927	853520	675401	2231
pdvd	039252_0_d42fit	750	0	V	40+	1412	5245087	13204403	9486642	1101858
pdvd	039252_0_d42fit	750	0	W	0-2	14	288376	373949	91415	0
pdvd	039252_0_d42fit	750	0	W	2-5	25	171958	289058	180560	0
pdvd	039252_0_d42fit	750	0	W	5-10	38	35914	360957	361813	0
pdvd	039252_0_d42fit	750	0	W	10-20	83	77353	700557	702310	0
pdvd	039252_0_d42fit	750	0	W	20-40	155	103214	1048182	1052528	0
pdvd	039252_0_d42fit	750	0	W	40+	1951	3110000	14905061	14080871	310117
pdvd	039252_0_d42fit	760	0	U	0-2	25	86010	343955	310541	837
pdvd	039252_0_d42fit	760	0	U	2-5	19	36685	207174	190793	438
pdvd	039252_0_d42fit	760	0	U	5-10	38	49094	444251	417603	0
pdvd	039252_0_d42fit	760	0	U	10-20	78	112833	734818	647909	390
pdvd	039252_0_d42fit	760	0	U	20-40	155	355372	1282558	1032126	14384
pdvd	039252_0_d42fit	760	0	U	40+	2103	10953846	31286676	25065622	2746550
pdvd	039252_0_d42fit	760	0	V	0-2	21	92388	279364	192518	8936
pdvd	039252_0_d42fit	760	0	V	2-5	13	34590	141210	108070	0
pdvd	039252_0_d42fit	760	0	V	5-10	32	59001	337045	283824	912
pdvd	039252_0_d42fit	760	0	V	10-20	54	109850	513126	409702	332
pdvd	039252_0_d42fit	760	0	V	20-40	117	429256	1113930	715390	23232
pdvd	039252_0_d42fit	760	0	V	40+	1788	7003536	17355323	11624031	1722846
pdvd	039252_0_d42fit	760	0	W	0-2	25	43717	320240	310671	0
pdvd	039252_0_d42fit	760	0	W	2-5	21	29827	181373	191324	0
pdvd	039252_0_d42fit	760	0	W	5-10	42	43703	402319	414468	0
pdvd	039252_0_d42fit	760	0	W	10-20	86	132633	650114	650185	0
pdvd	039252_0_d42fit	760	0	W	20-40	163	177364	1019469	1039415	167
pdvd	039252_0_d42fit	760	0	W	40+	2568	3320622	15974331	14495821	312866
pdvd	039252_0_d42fit	770	0	U	0-2	15	41746	307138	306384	207
pdvd	039252_0_d42fit	770	0	U	2-5	17	46148	282274	247182	0
pdvd	039252_0_d42fit	770	0	U	5-10	35	89715	400477	374210	24
pdvd	039252_0_d42fit	770	0	U	10-20	61	125679	702946	651951	1928
pdvd	039252_0_d42fit	770	0	U	20-40	147	269241	1280566	1103183	19865
pdvd	039252_0_d42fit	770	0	U	40+	537	1050377	5294805	4504872	30403
pdvd	039252_0_d42fit	770	0	V	0-2	14	42735	208355	179906	347
pdvd	039252_0_d42fit	770	0	V	2-5	17	25526	237222	234448	880
pdvd	039252_0_d42fit	770	0	V	5-10	36	49263	367373	339644	497
pdvd	039252_0_d42fit	770	0	V	10-20	57	104994	586474	509932	4827
pdvd	039252_0_d42fit	770	0	V	20-40	113	337853	940795	738294	3629
pdvd	039252_0_d42fit	770	0	V	40+	484	1242842	4344458	3454866	60292
pdvd	039252_0_d42fit	770	0	W	0-2	17	49547	306693	308396	0
pdvd	039252_0_d42fit	770	0	W	2-5	19	55185	253032	248915	933
pdvd	039252_0_d42fit	770	0	W	5-10	40	52038	378592	376990	821
pdvd	039252_0_d42fit	770	0	W	10-20	72	111395	642372	661321	520
pdvd	039252_0_d42fit	770	0	W	20-40	48	58748	387993	402469	0
pdvd	039252_0_d42fit	770	0	W	40+	499	962459	3787705	3960322	40601
pdvd	039252_0_d42fit	790	7	U	0-2	13	43015	186201	190994	172
pdvd	039252_0_d42fit	790	7	U	2-5	17	153117	307588	182073	376
pdvd	039252_0_d42fit	790	7	U	5-10	35	120719	623714	534885	4883
pdvd	039252_0_d42fit	790	7	U	10-20	50	204545	816631	685386	611
pdvd	039252_0_d42fit	790	7	U	20-40	128	1397323	2781874	1568137	281982
pdvd	039252_0_d42fit	790	7	U	40+	1198	4163211	12473976	9143101	782095
pdvd	039252_0_d42fit	790	7	V	0-2	16	67330	251190	218746	2454
pdvd	039252_0_d42fit	790	7	V	2-5	13	70332	179060	112940	0
pdvd	039252_0_d42fit	790	7	V	5-10	36	111750	620146	544888	2453
pdvd	039252_0_d42fit	790	7	V	10-20	56	235390	811817	642815	4586
pdvd	039252_0_d42fit	790	7	V	20-40	95	468731	1410247	1138760	2090
pdvd	039252_0_d42fit	790	7	V	40+	1042	3110816	9331058	6778612	499307
pdvd	039252_0_d42fit	790	7	W	0-2	7	18948	105446	93110	0
pdvd	039252_0_d42fit	790	7	W	2-5	7	14870	66024	80888	0
pdvd	039252_0_d42fit	790	7	W	5-10	16	29522	202952	216120	0
pdvd	039252_0_d42fit	790	7	W	10-20	51	79904	330332	333668	267
pdvd	039252_0_d42fit	790	7	W	20-40	128	314423	1025218	818933	8564
pdvd	039252_0_d42fit	790	7	W	40+	1210	2558411	9369120	8437023	665320
pdvd	039252_0_d42fit	800	3	U	0-2	15	97690	260824	247108	0
pdvd	039252_0_d42fit	800	3	U	2-5	16	53440	284856	312252	0
pdvd	039252_0_d42fit	800	3	U	5-10	31	147675	587452	544581	0
pdvd	039252_0_d42fit	800	3	U	10-20	57	98425	634935	633566	0
pdvd	039252_0_d42fit	800	3	U	20-40	116	275130	1163576	1104720	1584
pdvd	039252_0_d42fit	800	3	U	40+	1325	4700800	16651433	13776445	95707
pdvd	039252_0_d42fit	800	3	V	0-2	5	55517	50197	98860	0
pdvd	039252_0_d42fit	800	3	V	2-5	11	246244	206782	326380	19186
pdvd	039252_0_d42fit	800	3	V	5-10	7	91126	129262	194656	0
pdvd	039252_0_d42fit	800	3	V	10-20	35	255907	1111498	986985	51230
pdvd	039252_0_d42fit	800	3	V	20-40	53	998310	1897920	1753628	136419
pdvd	039252_0_d42fit	800	3	V	40+	704	6631943	15164660	10765281	1574158
pdvd	039252_0_d42fit	800	3	W	0-2	19	32048	145707	120777	0
pdvd	039252_0_d42fit	800	3	W	2-5	22	22203	161116	140843	0
pdvd	039252_0_d42fit	800	3	W	5-10	39	28569	290978	282483	0
pdvd	039252_0_d42fit	800	3	W	10-20	71	55440	565097	553727	0
pdvd	039252_0_d42fit	800	3	W	20-40	155	135139	1227764	1164435	0
pdvd	039252_0_d42fit	800	3	W	40+	1690	1997718	13804953	13257771	18663
pdvd	039252_0_d42fit	810	3	U	0-2	5	7365	21163	28424	52
pdvd	039252_0_d42fit	810	3	U	2-5	20	38327	121930	122305	2412
pdvd	039252_0_d42fit	810	3	U	5-10	28	49047	246608	217237	5982
pdvd	039252_0_d42fit	810	3	U	10-20	70	214252	704160	516432	35608
pdvd	039252_0_d42fit	810	3	U	20-40	139	298804	1209586	986292	80067
pdvd	039252_0_d42fit	810	3	U	40+	542	1611718	4690047	3653847	362174
pdvd	039252_0_d42fit	810	3	V	0-2	5	24792	11983	36775	0
pdvd	039252_0_d42fit	810	3	V	5-10	14	114417	152894	147333	0
pdvd	039252_0_d42fit	810	3	V	10-20	51	282740	808005	630633	5452
pdvd	039252_0_d42fit	810	3	V	20-40	79	343100	1100144	859426	15483
pdvd	039252_0_d42fit	810	3	V	40+	347	1765685	4578049	3703632	242985
pdvd	039252_0_d42fit	810	3	W	0-2	5	52928	69794	16866	0
pdvd	039252_0_d42fit	810	3	W	2-5	20	16477	135315	119774	3
pdvd	039252_0_d42fit	810	3	W	5-10	35	44911	235230	220521	0
pdvd	039252_0_d42fit	810	3	W	10-20	76	92717	480632	466527	41
pdvd	039252_0_d42fit	810	3	W	20-40	168	149809	1049616	993629	2349
pdvd	039252_0_d42fit	810	3	W	40+	615	677213	3977012	3683259	21226
pdvd	039252_0_d42fit	820	0	U	0-2	14	48166	163729	130467	0
pdvd	039252_0_d42fit	820	0	U	2-5	18	26862	183259	169331	0
pdvd	039252_0_d42fit	820	0	U	5-10	32	137304	497663	472923	46314
pdvd	039252_0_d42fit	820	0	U	10-20	54	141944	710611	668367	13692
pdvd	039252_0_d42fit	820	0	U	20-40	115	245858	1060394	929096	43570
pdvd	039252_0_d42fit	820	0	U	40+	363	2021575	3283914	2252527	486216
pdvd	039252_0_d42fit	820	0	V	0-2	10	53555	153609	134842	238
pdvd	039252_0_d42fit	820	0	V	2-5	8	100520	166033	133557	0
pdvd	039252_0_d42fit	820	0	V	5-10	28	124401	454702	367381	14164
pdvd	039252_0_d42fit	820	0	V	10-20	38	166148	388699	290453	30701
pdvd	039252_0_d42fit	820	0	V	20-40	102	268012	815608	650826	70768
pdvd	039252_0_d42fit	820	0	V	40+	332	1352572	2367730	1320218	415184
pdvd	039252_0_d42fit	820	0	W	0-2	18	55855	159265	134038	0
pdvd	039252_0_d42fit	820	0	W	2-5	16	30029	186536	169323	0
pdvd	039252_0_d42fit	820	0	W	5-10	39	88878	537234	478894	0
pdvd	039252_0_d42fit	820	0	W	10-20	78	101832	736569	674265	1933
pdvd	039252_0_d42fit	820	0	W	20-40	148	372396	1261804	1011046	35023
pdvd	039252_0_d42fit	820	0	W	40+	448	604348	2793561	2409781	40682
pdvd	039252_0_d42fit	860	3	U	0-2	11	80282	297404	278294	0
pdvd	039252_0_d42fit	860	3	U	2-5	7	48299	324923	291740	0
pdvd	039252_0_d42fit	860	3	U	5-10	15	89460	654189	655873	0
pdvd	039252_0_d42fit	860	3	U	10-20	32	187508	1034177	1049233	335
pdvd	039252_0_d42fit	860	3	U	20-40	70	424267	2657857	2533750	2024
pdvd	039252_0_d42fit	860	3	U	40+	260	4525115	10058968	8098285	457871
pdvd	039252_0_d42fit	860	3	V	0-2	14	46376	104324	84966	27466
pdvd	039252_0_d42fit	860	3	V	2-5	20	27573	217956	202187	115
pdvd	039252_0_d42fit	860	3	V	5-10	30	26065	294981	291670	1941
pdvd	039252_0_d42fit	860	3	V	10-20	48	78329	445007	426336	1188
pdvd	039252_0_d42fit	860	3	V	20-40	113	219265	1210527	1151682	920
pdvd	039252_0_d42fit	860	3	V	40+	447	3100646	7186665	5657973	13682
pdvd	039252_0_d42fit	860	3	W	0-2	18	37444	147645	130157	0
pdvd	039252_0_d42fit	860	3	W	2-5	15	20481	167886	162409	0
pdvd	039252_0_d42fit	860	3	W	5-10	35	39265	333140	331581	0
pdvd	039252_0_d42fit	860	3	W	10-20	60	60693	528834	523579	0
pdvd	039252_0_d42fit	860	3	W	20-40	123	247365	1363139	1263906	0
pdvd	039252_0_d42fit	860	3	W	40+	445	1408622	4965690	4034612	0
pdvd	039252_0_d42fit	990	3	U	0-2	20	62997	143362	170817	139
pdvd	039252_0_d42fit	990	3	U	2-5	18	55496	281129	245963	5
pdvd	039252_0_d42fit	990	3	U	5-10	37	176659	747142	611739	1493
pdvd	039252_0_d42fit	990	3	U	10-20	75	196703	952860	826769	12220
pdvd	039252_0_d42fit	990	3	U	20-40	150	248318	1191141	1061887	4829
pdvd	039252_0_d42fit	990	3	U	40+	1607	3517577	13699625	11164716	111001
pdvd	039252_0_d42fit	990	3	V	0-2	5	3637	1369	4780	108
pdvd	039252_0_d42fit	990	3	V	2-5	13	26187	72462	79515	0
pdvd	039252_0_d42fit	990	3	V	5-10	24	100782	340221	250617	2138
pdvd	039252_0_d42fit	990	3	V	10-20	43	98638	377473	336317	6416
pdvd	039252_0_d42fit	990	3	V	20-40	96	289338	804524	563148	31242
pdvd	039252_0_d42fit	990	3	V	40+	1387	3890270	12830398	10238030	315651
pdvd	039252_0_d42fit	990	3	W	0-2	21	66784	150955	85587	147
pdvd	039252_0_d42fit	990	3	W	2-5	22	15551	136899	132616	636
pdvd	039252_0_d42fit	990	3	W	5-10	39	84709	339927	300400	7855
pdvd	039252_0_d42fit	990	3	W	10-20	79	78582	508070	511886	622
pdvd	039252_0_d42fit	990	3	W	20-40	163	227870	1211410	1104532	1382
pdvd	039252_0_d42fit	990	3	W	40+	1814	2973134	13929068	12899104	35072
pdvd	039252_10_d42fit	290	3	U	0-2	7	57232	35462	91840	427
pdvd	039252_10_d42fit	290	3	U	2-5	10	68935	232524	207483	2624
pdvd	039252_10_d42fit	290	3	U	5-10	24	75184	309553	253953	12717
pdvd	039252_10_d42fit	290	3	U	10-20	44	493764	939978	464472	86217
pdvd	039252_10_d42fit	290	3	U	20-40	101	604965	1724757	1242060	66495
pdvd	039252_10_d42fit	290	3	U	40+	879	4344725	14495016	11225607	472488
pdvd	039252_10_d42fit	290	3	V	0-2	8	63945	140081	182310	0
pdvd	039252_10_d42fit	290	3	V	2-5	18	102617	470059	385346	0
pdvd	039252_10_d42fit	290	3	V	5-10	35	117175	554787	447614	14336
pdvd	039252_10_d42fit	290	3	V	10-20	61	522122	1515931	1025557	53617
pdvd	039252_10_d42fit	290	3	V	20-40	141	896361	2658092	1973087	58561
pdvd	039252_10_d42fit	290	3	V	40+	1134	5550966	22259852	18339146	263613
pdvd	039252_10_d42fit	290	3	W	0-2	16	31158	122165	92181	0
pdvd	039252_10_d42fit	290	3	W	2-5	26	37896	206334	194704	20
pdvd	039252_10_d42fit	290	3	W	5-10	30	36463	224286	212035	0
pdvd	039252_10_d42fit	290	3	W	10-20	77	162425	585999	535252	827
pdvd	039252_10_d42fit	290	3	W	20-40	146	229013	1057349	1009186	520
pdvd	039252_10_d42fit	290	3	W	40+	1235	2039204	9750095	9097625	40194
pdvd	039252_10_d42fit	300	3	U	0-2	3	7442	38401	30959	0
pdvd	039252_10_d42fit	300	3	U	2-5	16	44895	165154	138325	0
pdvd	039252_10_d42fit	300	3	U	5-10	24	48716	224635	202605	838
pdvd	039252_10_d42fit	300	3	U	10-20	53	90957	522633	472370	667
pdvd	039252_10_d42fit	300	3	U	20-40	79	150821	745731	652748	1815
pdvd	039252_10_d42fit	300	3	U	40+	1030	10764223	19835649	10480378	3423962
pdvd	039252_10_d42fit	300	3	V	0-2	12	50994	83542	66912	1248
pdvd	039252_10_d42fit	300	3	V	2-5	18	86999	204724	134377	10208
pdvd	039252_10_d42fit	300	3	V	5-10	31	35092	330487	331035	0
pdvd	039252_10_d42fit	300	3	V	10-20	60	86194	573609	575329	444
pdvd	039252_10_d42fit	300	3	V	20-40	127	184164	1249388	1200680	31
pdvd	039252_10_d42fit	300	3	V	40+	1550	10838394	23545157	16206769	2335467
pdvd	039252_10_d42fit	300	3	W	0-2	12	40947	110744	69797	0
pdvd	039252_10_d42fit	300	3	W	2-5	20	18413	152208	146511	0
pdvd	039252_10_d42fit	300	3	W	5-10	38	32370	329091	333487	0
pdvd	039252_10_d42fit	300	3	W	10-20	67	218151	730805	570354	17084
pdvd	039252_10_d42fit	300	3	W	20-40	139	164492	1241437	1208645	2640
pdvd	039252_10_d42fit	300	3	W	40+	1690	11214023	25312115	17575130	1880231
pdvd	039252_10_d42fit	310	2	U	0-2	7	9704	9962	1798	8006
pdvd	039252_10_d42fit	310	2	U	10-20	6	10592	17326	11546	609
pdvd	039252_10_d42fit	310	2	U	20-40	20	93914	83841	48493	43167
pdvd	039252_10_d42fit	310	2	U	40+	121	1418786	1685837	319809	131672
pdvd	039252_10_d42fit	310	2	V	0-2	12	21804	86361	69711	175
pdvd	039252_10_d42fit	310	2	V	10-20	19	73581	100084	47269	4764
pdvd	039252_10_d42fit	310	2	V	20-40	23	90717	116595	45528	13254
pdvd	039252_10_d42fit	310	2	V	40+	124	754125	1052786	428569	267341
pdvd	039252_10_d42fit	310	2	W	0-2	11	13647	74837	71234	5349
pdvd	039252_10_d42fit	310	2	W	2-5	1	416	11	-405	0
pdvd	039252_10_d42fit	310	2	W	10-20	16	70313	121594	71961	172
pdvd	039252_10_d42fit	310	2	W	20-40	40	370999	407046	43623	2635
pdvd	039252_10_d42fit	310	2	W	40+	169	1644217	1978410	501641	499609
pdvd	039252_10_d42fit	320	0	U	0-2	12	106187	138581	41236	84786
pdvd	039252_10_d42fit	320	0	U	2-5	18	84154	259158	202660	7981
pdvd	039252_10_d42fit	320	0	U	5-10	10	33650	83447	49797	6031
pdvd	039252_10_d42fit	320	0	U	20-40	48	127865	555068	457783	11370
pdvd	039252_10_d42fit	320	0	U	40+	170	991049	2052053	1237252	296275
pdvd	039252_10_d42fit	320	0	V	0-2	22	187540	209362	70850	64645
pdvd	039252_10_d42fit	320	0	V	2-5	18	114061	266519	190132	0
pdvd	039252_10_d42fit	320	0	V	5-10	25	57000	249137	232147	513
pdvd	039252_10_d42fit	320	0	V	10-20	2	20302	6921	27223	0
pdvd	039252_10_d42fit	320	0	V	20-40	103	227940	1092474	926088	4109
pdvd	039252_10_d42fit	320	0	V	40+	187	620082	2279247	1873939	3810
pdvd	039252_10_d42fit	320	0	W	0-2	19	287342	357298	76602	3379
pdvd	039252_10_d42fit	320	0	W	2-5	15	101194	271008	204406	94
pdvd	039252_10_d42fit	320	0	W	5-10	28	36486	252965	248299	917
pdvd	039252_10_d42fit	320	0	W	10-20	57	97058	422539	379387	254
pdvd	039252_10_d42fit	320	0	W	20-40	118	152862	985410	1013712	3865
pdvd	039252_10_d42fit	320	0	W	40+	239	516742	2251982	2005298	92996
pdvd	039252_10_d42fit	360	7	U	0-2	5	5730	14432	18934	0
pdvd	039252_10_d42fit	360	7	U	2-5	11	25776	120240	103282	0
pdvd	039252_10_d42fit	360	7	U	5-10	25	41826	362111	341297	90
pdvd	039252_10_d42fit	360	7	U	10-20	48	247932	818545	685695	908
pdvd	039252_10_d42fit	360	7	U	20-40	88	425988	1256953	1092781	4751
pdvd	039252_10_d42fit	360	7	U	40+	832	2321247	13292246	11932143	21711
pdvd	039252_10_d42fit	360	7	V	0-2	9	15806	31882	27158	0
pdvd	039252_10_d42fit	360	7	V	2-5	11	29506	102700	82468	0
pdvd	039252_10_d42fit	360	7	V	5-10	22	59290	368031	323353	0
pdvd	039252_10_d42fit	360	7	V	10-20	36	282394	890686	695528	0
pdvd	039252_10_d42fit	360	7	V	20-40	88	636967	1603321	1169080	327
pdvd	039252_10_d42fit	360	7	V	40+	1032	3022925	14213535	13062664	565
pdvd	039252_10_d42fit	360	7	W	0-2	12	10663	36547	29440	0
pdvd	039252_10_d42fit	360	7	W	2-5	21	25096	93955	87313	0
pdvd	039252_10_d42fit	360	7	W	5-10	43	35258	327182	326926	0
pdvd	039252_10_d42fit	360	7	W	10-20	73	164166	745456	679038	0
pdvd	039252_10_d42fit	360	7	W	20-40	155	543175	1516614	1135559	0
pdvd	039252_10_d42fit	360	7	W	40+	1923	1851224	14034001	13489715	0
pdvd	039252_10_d42fit	700	0	U	20-40	4	12053	19005	10544	0
pdvd	039252_10_d42fit	700	0	U	40+	46	33711	47400	23443	0
pdvd	039252_10_d42fit	700	0	V	0-2	7	21787	46803	33052	10699
pdvd	039252_10_d42fit	700	0	V	2-5	11	25199	42114	25087	0
pdvd	039252_10_d42fit	700	0	V	5-10	13	15916	42712	44646	0
pdvd	039252_10_d42fit	700	0	V	10-20	19	44479	55860	32399	0
pdvd	039252_10_d42fit	700	0	V	20-40	14	27663	48714	73989	0
pdvd	039252_10_d42fit	700	0	V	40+	70	51600	42323	57883	4763
pdvd	039252_10_d42fit	700	0	W	0-2	5	55960	72244	16284	0
pdvd	039252_10_d42fit	700	0	W	5-10	7	112392	139274	26882	0
pdvd	039252_10_d42fit	700	0	W	10-20	20	190365	225188	36159	56740
pdvd	039252_10_d42fit	700	0	W	20-40	26	481643	597222	115579	0
pdvd	039252_10_d42fit	700	0	W	40+	153	2608518	2961349	357323	110998
pdvd	039252_10_d42fit	730	0	U	0-2	9	45715	205784	160069	3431
