det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
sbnd	share	V	q4	old	-1	nan	nan	nan	nan	nan	1.58769	6.51245	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q4	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	centre	bin	0	64.7396	0.332073	1.35392	1.09221	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	bin	1	205.628	0.234008	1.42228	1.1688	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	bin	2	335.83	1.45519e-11	1.48265	1.2201	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	bin	3	634.313	0.659227	1.61254	1.42163	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	bin	4	960.853	1.45519e-11	1.74359	1.53132	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	bin	5	1184.39	1.45519e-11	1.82789	1.62798	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	centre	old	-1	nan	nan	nan	nan	nan	1.03131	7.18675	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	centre	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	edge	bin	0	64.7396	0.332073	1.35392	1.6247	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	bin	1	205.628	0.234008	1.42228	1.67349	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	bin	2	335.83	1.45519e-11	1.48265	1.70705	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	bin	3	634.313	0.659227	1.61254	1.83808	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	bin	4	960.853	1.45519e-11	1.74359	1.92485	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	bin	5	1184.39	1.45519e-11	1.82789	1.99813	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	edge	old	-1	nan	nan	nan	nan	nan	1.58769	6.51245	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	edge	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	W	full	bin	0	133.08	0.590197	0.567514	0.585163	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	bin	1	317.632	0.359505	0.755413	0.748636	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	bin	2	393.236	1.45519e-11	0.82005	0.764493	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	bin	3	555.758	1.45519e-11	0.944133	0.894865	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	bin	4	658.486	0.302429	1.01477	1.00141	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	bin	5	945.611	0.789285	1.19016	1.20579	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	full	old	-1	nan	nan	nan	nan	nan	0.406224	6.36679	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	full	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q1	bin	0	133.08	0.590197	0.567514	1.13188	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	bin	1	317.632	0.359505	0.755413	1.20747	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	bin	2	393.236	1.45519e-11	0.82005	1.21375	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	bin	3	555.758	1.45519e-11	0.944133	1.30733	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	bin	4	658.486	0.302429	1.01477	1.37893	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	bin	5	945.611	0.789285	1.19016	1.50616	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	q1	old	-1	nan	nan	nan	nan	nan	1.05376	6.00518	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q1	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q2	bin	0	133.08	0.590197	0.567514	0.06	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	bin	1	317.632	0.359505	0.755413	0.196006	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	bin	2	393.236	1.45519e-11	0.82005	0.318124	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	bin	3	555.758	1.45519e-11	0.944133	0.491246	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	bin	4	658.486	0.302429	1.01477	0.631252	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	bin	5	945.611	0.789285	1.19016	0.911649	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	q2	old	-1	nan	nan	nan	nan	nan	-0.370556	4.07735	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q2	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q3	bin	0	133.08	0.590197	0.567514	0.06	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	bin	1	317.632	0.359505	0.755413	0.196006	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	bin	2	393.236	1.45519e-11	0.82005	0.318124	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	bin	3	555.758	1.45519e-11	0.944133	0.491246	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	bin	4	658.486	0.302429	1.01477	0.631252	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	bin	5	945.611	0.789285	1.19016	0.911649	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	q3	old	-1	nan	nan	nan	nan	nan	-0.370556	4.07735	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q3	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q4	bin	0	133.08	0.590197	0.567514	1.13188	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	bin	1	317.632	0.359505	0.755413	1.20747	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	bin	2	393.236	1.45519e-11	0.82005	1.21375	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	bin	3	555.758	1.45519e-11	0.944133	1.30733	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	bin	4	658.486	0.302429	1.01477	1.37893	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	bin	5	945.611	0.789285	1.19016	1.50616	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	q4	old	-1	nan	nan	nan	nan	nan	1.05376	6.00518	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	q4	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	centre	bin	0	133.08	0.590197	0.567514	0.06	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	bin	1	317.632	0.359505	0.755413	0.196006	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	bin	2	393.236	1.45519e-11	0.82005	0.318124	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	bin	3	555.758	1.45519e-11	0.944133	0.491246	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	bin	4	658.486	0.302429	1.01477	0.631252	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	bin	5	945.611	0.789285	1.19016	0.911649	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	centre	old	-1	nan	nan	nan	nan	nan	-0.370556	4.07735	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	centre	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	edge	bin	0	133.08	0.590197	0.567514	1.13188	0.567514	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	bin	1	317.632	0.359505	0.755413	1.20747	0.755413	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	bin	2	393.236	1.45519e-11	0.82005	1.21375	0.82005	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	bin	3	555.758	1.45519e-11	0.944133	1.30733	0.944133	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	bin	4	658.486	0.302429	1.01477	1.37893	1.01477	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	bin	5	945.611	0.789285	1.19016	1.50616	1.19016	nan	nan	nan	nan	nan	nan
sbnd	share	W	edge	old	-1	nan	nan	nan	nan	nan	1.05376	6.00518	0.377921	6.73461	0.189171	0.396721
sbnd	share	W	edge	corrected	-1	nan	nan	nan	nan	nan	0.377921	6.73461	0.377921	6.73461	0.189171	0.396721
