root	plane	slice	t_ns	adv	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
work/039252_16_d42fit/tracking-stm.root	0	1112	1.51803e+06	0.0631545	254.904	0	0	6237	11210	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1114	1.52183e+06	0.0986415	254.904	0	0	3359	14527	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1116	1.52549e+06	0.0138199	254.904	0	0	1319	17572	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1117	1.52803e+06	0.02871	254.904	0	0	688	18484	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1118	1.53054e+06	0.119915	254.904	0	0	23	19345	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1119	1.53054e+06	0.119915	254.904	0	0	29	19029	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1121	1.53522e+06	0.0285296	291.27	0	0	0	0	20365	0	0
work/039252_16_d42fit/tracking-stm.root	0	1123	1.54041e+06	0.171825	254.904	0	0	0	21020	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1124	1.54041e+06	0.171825	254.904	0	0	0	20498	0	31	0
work/039252_16_d42fit/tracking-stm.root	0	1125	1.5438e+06	0.111818	254.904	0	0	0	20788	0	262	0
work/039252_16_d42fit/tracking-stm.root	0	1131	1.55492e+06	0.0655613	254.904	0	0	0	15441	3721	0	0
work/039252_16_d42fit/tracking-stm.root	0	1132	1.55828e+06	0.0758135	254.904	0	0	0	13736	4344	0	0
work/039252_16_d42fit/tracking-stm.root	0	1134	1.56113e+06	0.10481	246.288	0	0	9884	7586	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1135	1.56397e+06	0.0153287	246.288	0	0	9056	7619	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1137	1.568e+06	0.0340581	246.288	0	0	6570	10021	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1139	1.57134e+06	0.0911459	246.288	0	0	5848	10427	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1141	1.57506e+06	0.0374142	246.288	0	465	3635	13867	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1143	1.57982e+06	0.00891845	246.288	0	207	2245	19520	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1145	1.5843e+06	0.013615	246.288	0	0	1482	17433	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1147	1.58694e+06	0.104615	246.288	0	0	0	26196	0	0	0
