arm	plane	metric	median	q25	q75	n
sbnd-ref	W	B_foot_pooled	-0.0802809	nan	nan	45
sbnd-ref	W	U_foot_pooled	0.184033	nan	nan	45
sbnd-ref	W	B_cheb2	-0.0848	nan	nan	0
sbnd-ref	W	U_cheb2	0.2034	nan	nan	0
sbnd-d44	W	B_foot_pooled	-0.077062	nan	nan	45
sbnd-d44	W	U_foot_pooled	0.182345	nan	nan	45
sbnd-d44	W	B_cheb2	-0.0814	nan	nan	0
sbnd-d44	W	U_cheb2	0.2013	nan	nan	0
sbnd-ref	-	dqdx:all_status0:ntracks	44	nan	nan	44
sbnd-d44	-	dqdx:all_status0:ntracks	44	nan	nan	44
sbnd-ref	-	dqdx:all_status0:k_pop	0.9972	nan	nan	44
sbnd-d44	-	dqdx:all_status0:k_pop	0.988	nan	nan	44
sbnd-ref	-	dqdx:all_status0:chi2	50.71	nan	nan	44
sbnd-d44	-	dqdx:all_status0:chi2	51.75	nan	nan	44
sbnd-ref	-	dqdx:all_status0:k_med	1.0656	nan	nan	44
sbnd-d44	-	dqdx:all_status0:k_med	1.0556	nan	nan	44
sbnd-ref	-	dqdx:all_status0:k_rms	0.4622	nan	nan	44
sbnd-d44	-	dqdx:all_status0:k_rms	0.4333	nan	nan	44
sbnd-ref	-	dqdx:all_status0:contrast_med	2.044	nan	nan	44
sbnd-d44	-	dqdx:all_status0:contrast_med	2.124	nan	nan	44
sbnd-ref	-	dqdx:all_status0:hump_3_20	1.12546	nan	nan	0
sbnd-d44	-	dqdx:all_status0:hump_3_20	1.12168	nan	nan	0
sbnd-ref	-	dqdx:contrast_ge2:ntracks	16	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:ntracks	17	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:k_pop	1.0975	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:k_pop	1.0409	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:chi2	56.72	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:chi2	53.19	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:k_med	1.0751	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:k_med	1.0622	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:k_rms	0.4322	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:k_rms	0.4334	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:contrast_med	2.171	nan	nan	16
sbnd-d44	-	dqdx:contrast_ge2:contrast_med	2.195	nan	nan	17
sbnd-ref	-	dqdx:contrast_ge2:hump_3_20	1.17336	nan	nan	0
sbnd-d44	-	dqdx:contrast_ge2:hump_3_20	1.19144	nan	nan	0
sbnd-ref	-	dqdx:doc55_cuts:ntracks	10	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:ntracks	9	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:k_pop	1.3789	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:k_pop	1.1692	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:chi2	88.16	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:chi2	16.75	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:k_med	1.4747	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:k_med	1.0665	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:k_rms	0.4339	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:k_rms	0.435	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:contrast_med	2.171	nan	nan	10
sbnd-d44	-	dqdx:doc55_cuts:contrast_med	2.195	nan	nan	9
sbnd-ref	-	dqdx:doc55_cuts:hump_3_20	1.15396	nan	nan	0
sbnd-d44	-	dqdx:doc55_cuts:hump_3_20	1.05856	nan	nan	0
sbnd-ref	-	dqdx:doc55_muon:ntracks	5	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:ntracks	5	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:k_pop	1.0087	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:k_pop	1.0066	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:chi2	10.03	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:chi2	8.87	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:k_med	1.0441	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:k_med	1.041	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:k_rms	0.0106	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:k_rms	0.0119	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:contrast_med	2.246	nan	nan	5
sbnd-d44	-	dqdx:doc55_muon:contrast_med	2.339	nan	nan	5
sbnd-ref	-	dqdx:doc55_muon:hump_3_20	1.03424	nan	nan	0
sbnd-d44	-	dqdx:doc55_muon:hump_3_20	1.03706	nan	nan	0
