case	det	event	cluster	click	R	class	nrows	length_cm	max_d_ridge	max_d_img	seed_vertices
pdvd_D-sbt_1	pdvd	039252_16	120	291.4,249.2,206.3	12.0	D-sbt	3	1.84	1.31	1.52	3live:i/3live:t
pdvd_D-sbt_2	pdvd	039349_28	50	233.7,-315.3,281.2	12.0	D-sbt	3	1.69	1.85	1.07	1dead:t/3live:i
pdvd_D-3live_1	pdvd	039252_6	74	187.6,60.4,119.2	12.0	D-3live	7	4.18	1.57	2.95	3live:i/3live:i
pdvd_D-3live_2	pdvd	039253_15	67	82.3,-12.8,161.0	12.0	D-3live	8	5.30	2.24	1.56	3live:i/3live:i/3live:i/3live:i/3live:t/3live:i/3live:i/3live:t
pdvd_D-3live_3	pdvd	039349_21	55	320.3,44.9,65.5	12.0	D-3live	6	3.74	2.69	2.14	3live:i/3live:t
pdvd_FIT_1	pdvd	039349_74	60	233.1,119.9,6.9	13.6	FIT	5	14.59	2.58	1.50	3live:i/3live:t/1dead:i/1dead:t/3live:t
pdvd_FIT_2	pdvd	039349_61	55	118.2,151.8,12.3	12.0	FIT	12	7.95	3.74	2.64	3live:i/3live:t/3live:i/3live:i
pdvd_FIT_3	pdvd	039349_68	52	62.4,-168.7,14.3	12.0	FIT	5	11.10	1.74	1.76	1blank:t/3live:i/3live:t/3live:i
h1	pdhd	029107_16	108	75.3,438.3,450.1	12.0	spot	-	-	-	-	-
v3	pdvd	039349_20	25	-270.2,-243.7,36.0	12.0	spot	-	-	-	-	-
