wall,vol,x_cm,n_points,n_tracks,d_eq_cm,d_eq_err_cm,d50_cm,d50_err_cm,rho_per_cm,d_2nd_cm,n_ends_through,end_mode_cm,end_mode_err_cm,n_ends_all,end_mode_all_cm,n_lines_pred0to10,n_lines_survive,line_resid_cm,line_resid_err_cm
y+,top,170.000,18953,121,0.732,7.156,0.646,1.603,316.038,-0.094,12,0.500,2.439,18,0.500,0,0,nan,nan
y+,top,190.000,17037,131,4.534,7.769,-0.623,0.603,305.732,-0.094,22,0.500,2.149,26,0.500,0,0,nan,nan
y+,top,210.000,26852,143,-3.159,5.804,0.276,0.633,431.857,-0.094,19,0.500,6.416,33,0.500,0,0,nan,nan
y+,top,230.000,21998,158,-2.797,7.190,0.087,1.302,346.966,-0.094,25,0.500,4.819,30,0.500,0,0,nan,nan
y+,top,250.000,31753,155,-0.696,4.259,1.246,1.037,518.220,-0.094,13,0.500,9.783,18,0.500,0,0,nan,nan
y+,top,270.000,33021,158,1.231,5.062,0.838,0.701,553.146,-0.081,15,0.500,0.776,26,0.500,0,0,nan,nan
y+,top,290.000,33515,152,1.539,3.940,0.485,0.633,562.556,-0.094,24,0.500,1.762,35,0.500,0,0,nan,nan
y+,top,310.000,20531,136,-1.825,6.532,0.242,0.564,333.399,-0.094,20,0.500,3.149,31,0.500,0,0,nan,nan
y+,top,330.000,14051,120,-19.264,12.854,-0.631,1.175,172.446,-0.094,11,0.500,11.841,20,0.500,0,0,nan,nan
y-,bot,11.500,9499,100,-2.267,9.862,6.229,4.124,152.097,-0.053,23,10.500,21.477,35,10.500,0,0,nan,nan
y-,bot,30.000,11903,95,1.194,14.454,6.500,3.088,203.980,1.811,15,11.500,8.710,17,11.500,0,0,nan,nan
y-,bot,50.000,11985,99,5.298,8.908,8.839,2.283,219.271,1.613,15,8.500,19.622,16,8.500,0,0,nan,nan
y-,bot,70.000,10768,97,6.552,7.416,9.794,0.816,208.010,4.019,10,11.500,8.619,12,11.500,0,0,nan,nan
y-,bot,90.000,10425,97,-1.994,10.514,8.240,2.333,165.604,0.044,20,10.500,14.951,25,0.500,0,0,nan,nan
y-,bot,110.000,9288,84,4.827,7.771,7.230,3.752,172.122,0.486,8,8.500,1.362,10,8.500,0,0,nan,nan
y-,bot,130.000,11859,104,-3.240,9.512,6.647,2.110,191.030,2.008,9,4.500,4.062,12,4.500,0,0,nan,nan
y-,bot,150.000,14029,102,-5.947,8.600,4.241,1.531,217.878,0.044,12,0.500,15.844,15,0.500,0,0,nan,nan
y-,bot,170.000,14287,98,-10.363,11.319,0.880,0.874,209.853,-0.123,9,0.500,14.112,10,0.500,0,0,nan,nan
y-,bot,190.000,10536,97,-12.714,10.188,-0.319,0.703,144.546,-0.123,14,0.500,3.385,15,0.500,1,1,nan,nan
y-,bot,210.000,10911,95,-0.036,7.909,0.467,1.461,182.582,-0.053,11,0.500,11.160,14,0.500,0,0,nan,nan
y-,bot,230.000,14234,97,-9.107,11.889,0.255,1.211,203.453,-0.123,11,0.500,18.289,14,0.500,0,0,nan,nan
y-,bot,250.000,17610,98,-10.775,18.818,0.175,3.195,253.344,-0.123,4,nan,nan,11,0.500,0,0,nan,nan
y-,bot,270.000,14682,103,8.578,8.240,-0.092,2.289,281.451,-0.053,10,0.500,9.777,16,0.500,0,0,nan,nan
y-,bot,290.000,10789,83,-1.722,10.037,0.200,0.759,176.950,-0.053,11,0.500,9.632,14,0.500,0,0,nan,nan
y-,bot,310.000,9362,77,0.503,8.950,-0.299,1.915,159.906,-0.123,7,0.500,10.135,8,0.500,0,0,nan,nan
y-,bot,330.000,8409,76,8.252,9.504,-0.948,3.051,164.585,-0.123,9,1.500,12.600,15,0.500,0,0,nan,nan
y-,top,11.500,17833,93,-2.541,5.833,1.588,1.158,284.220,-0.081,40,0.500,16.977,46,0.500,0,0,nan,nan
y-,top,30.000,18110,95,-7.517,10.522,2.386,1.382,267.697,0.044,13,7.500,12.331,15,7.500,0,0,nan,nan
y-,top,50.000,13814,97,-22.662,17.877,0.774,1.215,166.533,0.486,9,1.500,6.479,11,1.500,0,0,nan,nan
y-,top,70.000,13734,102,-1.934,8.502,1.291,1.740,229.526,-0.081,12,3.500,9.420,15,3.500,0,0,nan,nan
y-,top,90.000,16271,102,3.724,8.164,2.093,3.524,297.011,-0.081,14,3.500,10.015,16,3.500,0,0,nan,nan
y-,top,110.000,17788,98,12.744,6.454,8.256,3.777,382.892,-0.094,12,0.500,10.338,15,0.500,0,0,nan,nan
y-,top,130.000,21368,105,7.073,9.905,2.743,4.706,411.464,-0.094,11,0.500,10.017,17,0.500,0,0,nan,nan
y-,top,150.000,22859,127,9.978,6.833,1.167,3.401,451.926,-0.094,19,0.500,3.713,24,0.500,0,0,nan,nan
y-,top,170.000,20465,135,5.601,8.868,0.922,1.558,380.643,-0.094,24,0.500,5.113,30,0.500,0,0,nan,nan
y-,top,190.000,29501,134,11.269,3.544,2.111,3.732,613.140,-0.081,13,0.500,0.837,24,0.500,0,0,nan,nan
y-,top,210.000,43584,158,-0.595,7.567,0.660,0.619,728.906,-0.094,23,0.500,0.000,31,0.500,0,0,nan,nan
y-,top,230.000,36314,155,3.465,4.509,1.655,1.149,643.483,-0.094,18,0.500,2.464,27,0.500,0,0,nan,nan
y-,top,250.000,41417,168,-0.379,4.356,1.182,0.523,688.807,-0.094,24,0.500,0.000,30,0.500,0,0,nan,nan
y-,top,270.000,46114,159,4.542,2.418,1.372,1.153,833.625,-0.094,24,0.500,1.058,39,0.500,0,0,nan,nan
y-,top,290.000,39256,147,-0.350,4.168,0.729,0.367,644.398,-0.094,25,0.500,0.000,29,0.500,0,0,nan,nan
y-,top,310.000,26648,132,-1.817,4.015,0.137,0.405,421.252,-0.094,18,0.500,0.000,29,0.500,0,0,nan,nan
y-,top,330.000,43554,124,2.871,2.740,1.642,0.470,752.852,-0.094,25,0.500,0.650,30,0.500,0,0,nan,nan
z-,bot,11.500,27437,279,13.330,3.986,12.230,4.042,604.364,0.552,73,40.500,13.099,93,40.500,0,0,nan,nan
z-,bot,30.000,38057,239,15.315,4.212,12.633,3.216,847.437,0.632,20,0.500,10.755,23,0.500,0,0,nan,nan
z-,bot,50.000,37173,241,9.311,3.209,6.573,1.524,741.348,0.552,26,8.500,8.674,31,8.500,0,0,nan,nan
z-,bot,70.000,30889,222,10.279,3.682,8.132,2.002,635.947,0.552,19,40.500,15.591,29,11.500,0,0,nan,nan
z-,bot,90.000,27249,205,6.507,4.400,8.772,2.669,521.833,0.552,21,8.500,12.316,28,8.500,0,0,nan,nan
z-,bot,110.000,28090,202,1.502,4.630,3.689,2.689,478.010,0.552,23,7.500,2.535,34,7.500,0,0,nan,nan
z-,bot,130.000,26896,198,1.439,4.767,6.264,1.968,463.051,0.552,19,1.500,12.985,22,1.500,0,0,nan,nan
z-,bot,150.000,27510,211,4.547,4.669,2.292,1.362,492.980,0.552,25,0.500,6.373,30,0.500,0,0,nan,nan
z-,bot,170.000,28324,223,6.494,3.820,1.350,0.827,523.664,0.552,22,0.500,0.312,30,0.500,0,0,nan,nan
z-,bot,190.000,27291,221,8.724,3.883,1.412,1.399,505.907,0.552,22,0.500,3.639,30,0.500,0,0,nan,nan
z-,bot,210.000,32132,221,6.674,5.831,1.404,2.197,590.893,0.552,15,0.500,8.534,25,0.500,0,0,nan,nan
z-,bot,230.000,29404,220,6.549,4.100,1.048,2.955,568.456,0.552,25,0.500,1.053,35,0.500,0,0,nan,nan
z-,bot,250.000,30601,219,-6.229,5.963,0.110,0.619,460.480,0.552,24,0.500,0.709,32,0.500,0,0,nan,nan
z-,bot,270.000,29073,202,-12.756,7.474,0.082,0.280,408.322,0.552,19,0.500,7.501,29,0.500,0,0,nan,nan
z-,bot,290.000,25916,180,-7.054,7.252,-0.132,0.527,400.756,0.552,20,0.500,1.531,36,0.500,0,0,nan,nan
z-,bot,310.000,23733,155,-2.222,8.064,-0.137,0.859,384.688,0.552,22,0.500,0.207,30,0.500,0,0,nan,nan
z-,bot,330.000,15486,157,-9.608,10.760,-0.487,0.544,220.888,0.552,22,0.500,10.730,34,0.500,0,0,nan,nan
z-,top,11.500,40611,252,2.318,7.355,1.678,3.354,723.213,0.632,80,8.500,14.368,98,8.500,1,1,nan,nan
z-,top,30.000,56103,253,11.660,5.079,9.094,4.285,1167.473,0.632,31,1.500,8.952,40,1.500,1,1,nan,nan
z-,top,50.000,81446,247,13.321,4.489,10.420,3.784,1771.156,0.632,34,2.500,5.647,44,1.500,1,1,nan,nan
z-,top,70.000,39196,250,9.487,6.618,3.821,3.126,752.542,0.632,31,2.500,4.464,42,1.500,0,0,nan,nan
z-,top,90.000,54018,297,13.278,5.436,6.854,5.746,1146.686,0.632,33,1.500,10.790,49,1.500,1,1,nan,nan
z-,top,110.000,71107,322,-2.779,3.871,2.581,0.334,1154.459,0.632,28,0.500,19.340,55,2.500,1,1,nan,nan
z-,top,130.000,66044,350,5.459,4.176,2.471,1.423,1225.317,0.632,32,0.500,0.993,45,1.500,1,1,nan,nan
z-,top,150.000,63250,341,7.400,3.782,2.489,1.452,1221.565,0.632,31,1.500,5.164,52,1.500,1,1,nan,nan
z-,top,170.000,69215,375,10.998,4.588,1.718,2.458,1412.807,0.632,45,1.500,0.344,61,1.500,1,1,nan,nan
z-,top,190.000,83294,370,10.972,4.347,1.479,2.444,1697.697,0.632,41,1.500,0.972,66,1.500,1,1,nan,nan
z-,top,210.000,123003,405,11.248,4.993,2.022,4.760,2521.487,0.632,50,1.500,0.313,76,1.500,0,0,nan,nan
z-,top,230.000,83922,388,-2.508,5.145,0.922,0.278,1317.331,0.632,50,1.500,0.286,73,1.500,0,0,nan,nan
z-,top,250.000,107462,386,-12.742,4.954,0.844,0.127,1484.435,0.632,51,1.500,0.313,79,1.500,0,0,nan,nan
z-,top,270.000,108876,381,-0.704,3.344,1.080,0.229,1827.492,0.632,45,1.500,0.293,71,1.500,0,0,nan,nan
z-,top,290.000,86818,344,-1.312,4.006,0.991,0.242,1446.782,0.632,41,1.500,0.380,77,1.500,0,0,nan,nan
z-,top,310.000,78670,328,-5.138,2.770,0.695,0.202,1235.936,0.632,51,1.500,2.558,77,1.500,0,0,nan,nan
z-,top,330.000,82149,293,5.052,4.459,1.028,0.328,1529.428,0.632,43,1.500,0.474,77,1.500,0,0,nan,nan
z+,bot,11.500,29450,276,15.894,2.738,18.421,3.525,686.937,0.070,72,37.500,13.426,94,42.500,0,0,nan,nan
z+,bot,30.000,29437,253,11.297,3.326,16.698,2.236,608.156,0.500,26,19.500,8.594,33,19.500,0,0,nan,nan
z+,bot,50.000,28747,225,8.799,3.561,14.091,1.670,562.459,-0.010,21,17.500,9.159,30,17.500,0,0,nan,nan
z+,bot,70.000,28327,210,-1.443,5.616,8.977,1.614,467.857,0.210,24,16.500,9.591,32,13.500,0,0,nan,nan
z+,bot,90.000,25193,200,0.951,5.000,9.840,1.287,436.943,-0.010,23,7.500,10.887,26,7.500,0,0,nan,nan
z+,bot,110.000,24077,204,13.666,3.684,12.067,3.179,526.800,-0.010,22,6.500,5.037,24,-0.500,0,0,nan,nan
z+,bot,130.000,24571,209,13.616,3.718,9.561,1.931,519.051,-0.010,23,0.500,9.241,29,0.500,0,0,nan,nan
z+,bot,150.000,27554,226,9.132,4.362,4.796,1.536,535.739,-0.010,16,0.500,9.437,25,0.500,0,0,nan,nan
z+,bot,170.000,28405,228,2.400,4.381,2.168,0.823,486.432,-0.010,17,0.500,6.815,24,-0.500,0,0,nan,nan
z+,bot,190.000,30436,225,1.132,4.889,4.168,1.889,508.208,-0.010,24,0.500,8.826,28,0.500,0,0,nan,nan
z+,bot,210.000,31619,250,4.066,3.240,-0.068,1.685,587.233,-0.010,23,0.500,4.735,39,0.500,0,0,nan,nan
z+,bot,230.000,29480,237,5.546,3.973,0.064,2.687,547.542,-0.010,23,0.500,1.722,35,0.500,0,0,nan,nan
z+,bot,250.000,31144,228,-0.129,6.041,-0.461,0.539,518.553,-0.010,20,-0.500,4.394,32,-0.500,0,0,nan,nan
z+,bot,270.000,30018,225,-0.528,5.179,0.812,1.240,507.117,-0.010,20,0.500,10.073,33,0.500,0,0,nan,nan
z+,bot,290.000,25876,215,3.312,3.947,-0.156,0.962,466.608,-0.010,30,-0.500,1.468,41,-0.500,0,0,nan,nan
z+,bot,310.000,23497,179,-4.294,6.364,-0.360,0.610,378.762,-0.010,18,0.500,2.484,26,0.500,0,0,nan,nan
z+,bot,330.000,19954,175,-1.016,6.873,-0.278,0.630,332.251,-0.010,15,-0.500,4.663,30,-0.500,0,0,nan,nan
z+,top,11.500,31057,286,8.748,4.251,11.252,0.719,618.219,0.070,99,17.500,18.199,120,34.500,1,1,nan,nan
z+,top,30.000,42290,279,4.906,3.980,9.649,1.179,765.010,0.070,36,30.500,14.986,47,7.500,2,2,nan,nan
z+,top,50.000,37592,264,0.044,4.957,6.556,0.913,625.485,0.070,38,1.500,8.113,46,1.500,1,1,nan,nan
z+,top,70.000,32426,271,4.829,3.802,4.811,1.384,586.219,0.070,33,6.500,5.451,46,6.500,1,1,nan,nan
z+,top,90.000,41882,261,1.673,4.340,3.795,1.125,724.311,0.070,33,5.500,7.356,39,5.500,1,1,nan,nan
z+,top,110.000,39559,269,6.306,3.137,3.786,0.681,727.981,0.070,38,4.500,6.234,51,4.500,1,0,nan,nan
z+,top,130.000,47384,267,8.073,2.665,2.712,0.663,895.888,0.070,22,4.500,2.723,32,4.500,1,1,nan,nan
z+,top,150.000,42879,318,3.633,3.578,1.334,0.799,770.036,0.070,34,0.500,0.286,44,0.500,2,1,nan,nan
z+,top,170.000,44953,320,3.201,3.594,0.340,0.906,810.839,0.070,36,0.500,0.000,48,0.500,3,3,1.449,0.942
z+,top,190.000,52793,334,3.710,4.442,0.054,0.532,948.511,0.070,30,0.500,0.000,48,0.500,3,3,1.683,0.572
z+,top,210.000,66712,344,8.195,3.918,0.400,0.379,1299.231,0.070,34,0.500,0.000,57,0.500,0,0,nan,nan
z+,top,230.000,49583,351,4.612,3.235,0.064,0.473,905.479,0.070,39,0.500,0.000,70,0.500,0,0,nan,nan
z+,top,250.000,78155,375,2.585,3.579,-0.053,0.365,1361.188,0.070,45,0.500,0.000,69,0.500,0,0,nan,nan
z+,top,270.000,87956,353,-12.397,15.386,-0.135,0.323,1205.889,0.070,33,0.500,2.116,54,0.500,0,0,nan,nan
z+,top,290.000,64461,337,-0.834,3.196,-0.147,0.284,1060.807,0.070,43,0.500,0.122,64,0.500,0,0,nan,nan
z+,top,310.000,45069,294,-5.217,4.441,-0.495,0.282,693.690,0.070,32,0.500,1.270,58,0.500,0,0,nan,nan
z+,top,330.000,39088,261,-5.916,6.306,-0.006,0.581,603.221,0.070,34,0.500,4.323,59,0.500,0,0,nan,nan
