label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:full	share	W	4	658.486	37	1.18086e+06	1.43189	1.41208	1.08064	1.01928	0.0509638	1.22411	0.318315	0	0.719263
phase:full	share	W	5	945.611	45	1.23587e+06	1.85794	1.71178	1.29349	1.07958	0.771731	2.19488	0.787558	0	0.663113
phase:q1	rms	U	0	71.3497	17	613981	1.9409	1.35144	0.599529	2.83217	1.19556	2.30014	0.435579	0	0.625238
phase:q1	rms	U	1	231.857	34	742197	1.60933	1.38727	0.801204	1.66474	0.312338	1.30736	0.251138	0	0.589106
phase:q1	rms	U	2	494.772	13	658037	1.97933	1.48451	1.05103	3.01305	0.94809	2.81865	0.395177	0	0.623561
phase:q1	rms	U	3	597.794	13	691618	1.70994	1.50485	1.13401	2.06848	0.159251	1.94529	0.213764	0	0.613985
phase:q1	rms	U	4	752.364	10	689532	1.67642	1.52779	1.24821	1.98838	0.0994191	2.03423	1.45519e-11	0	0.607937
phase:q1	rms	U	5	1017.91	14	691798	2.01625	1.6698	1.42316	3.30893	0.923852	3.30244	1.45519e-11	0	0.522525
phase:q1	share	U	0	71.3497	17	613981	1.9409	1.35144	0.599529	0.981016	0.286742	2.30014	0.435579	0	0.625238
phase:q1	share	U	1	231.857	34	742197	1.60933	1.38727	0.801204	1.62187	0.340685	1.30736	0.251138	0	0.589106
phase:q1	share	U	2	494.772	13	658037	1.97933	1.48451	1.05103	1.03197	0.575447	2.81865	0.395177	0	0.623561
phase:q1	share	U	3	597.794	13	691618	1.70994	1.50485	1.13401	1.26382	0.303432	1.94529	0.213764	0	0.613985
phase:q1	share	U	4	752.364	10	689532	1.67642	1.52779	1.24821	1.39856	0.0699281	2.03423	1.45519e-11	0	0.607937
phase:q1	share	U	5	1017.91	14	691798	2.01625	1.6698	1.42316	2.91763	0.783712	3.30244	1.45519e-11	0	0.522525
phase:q1	rms	V	0	114.842	17	614405	2.06369	1.46283	0.922899	3.19864	1.14844	2.9707	0.591565	0	0.576309
phase:q1	rms	V	1	228.022	21	567149	1.8147	1.40768	1.02515	2.51505	1.05956	2.36252	1.45519e-11	0	0.646084
phase:q1	rms	V	2	328.335	16	617520	1.84584	1.45175	1.10792	2.63458	0.916321	2.52704	1.45519e-11	0	0.62004
phase:q1	rms	V	3	544.341	13	690507	1.96414	1.62818	1.26794	2.88808	0.495045	2.81453	0.483754	0	0.514059
phase:q1	rms	V	4	939.927	17	619747	2.0309	1.68257	1.51786	3.36889	0.355353	3.5974	1.45519e-11	0	0.560329
phase:q1	rms	V	5	1157.9	8	654866	2.07348	1.74444	1.63937	3.54527	0.177263	3.94375	1.45519e-11	0	0.541474
phase:q1	share	V	0	114.842	17	614405	2.06369	1.46283	0.922899	1.5829	1.02262	2.9707	0.591565	0	0.576309
phase:q1	share	V	1	228.022	21	567149	1.8147	1.40768	1.02515	0.904609	0.442492	2.36252	1.45519e-11	0	0.646084
phase:q1	share	V	2	328.335	16	617520	1.84584	1.45175	1.10792	1.22817	0.378096	2.52704	1.45519e-11	0	0.62004
phase:q1	share	V	3	544.341	13	690507	1.96414	1.62818	1.26794	2.89134	0.650374	2.81453	0.483754	0	0.514059
phase:q1	share	V	4	939.927	17	619747	2.0309	1.68257	1.51786	2.17266	0.352856	3.5974	1.45519e-11	0	0.560329
phase:q1	share	V	5	1157.9	8	654866	2.07348	1.74444	1.63937	2.52765	0.126382	3.94375	1.45519e-11	0	0.541474
phase:q1	rms	W	0	253.793	6	122681	1.43129	1.35751	0.674921	0.83309	0.0416545	0.661275	0.289312	0	0.638347
phase:q1	rms	W	1	309.307	6	113185	1.27279	1.36158	0.743789	0.299792	0.279922	0.319325	0.0730331	0	0.721438
phase:q1	rms	W	2	459.041	5	149727	1.70346	1.40898	0.903744	2.04782	0.603942	1.7333	0.204599	0	0.568374
phase:q1	rms	W	3	593.221	3	92087	1.45988	1.44012	1.02611	1.06849	0.0534247	1.11023	1.45519e-11	0	0.595122
phase:q1	rms	W	4	627.317	5	163869	1.6469	1.43721	1.05495	1.87467	0.0937337	1.75963	1.45519e-11	0	0.597929
phase:q1	rms	W	5	856.656	7	152916	1.45496	1.40348	1.23149	1.04303	0.119376	1.66373	1.45519e-11	0	0.60819
phase:q1	share	W	0	253.793	6	122681	1.43129	1.35751	0.674921	0.909058	0.0454529	0.661275	0.289312	0	0.638347
phase:q1	share	W	1	309.307	6	113185	1.27279	1.36158	0.743789	0.35145	0.341995	0.319325	0.0730331	0	0.721438
phase:q1	share	W	2	459.041	5	149727	1.70346	1.40898	0.903744	1.98605	0.336558	1.7333	0.204599	0	0.568374
phase:q1	share	W	3	593.221	3	92087	1.45988	1.44012	1.02611	1.59087	0.0795434	1.11023	1.45519e-11	0	0.595122
phase:q1	share	W	4	627.317	5	163869	1.6469	1.43721	1.05495	1.54774	0.077387	1.75963	1.45519e-11	0	0.597929
phase:q1	share	W	5	856.656	7	152916	1.45496	1.40348	1.23149	1.39488	0.603792	1.66373	1.45519e-11	0	0.60819
phase:q2	rms	U	0	71.5874	25	828472	1.75373	0.687308	0.599878	2.20047	0.394472	2.96302	0.419792	0	0.745236
phase:q2	rms	U	1	212.812	19	873027	2.40174	1.58217	0.780006	3.86331	0.568192	3.87351	1.19215	0	0.522586
phase:q2	rms	U	2	349.013	21	866262	2.11554	1.24732	0.920936	3.46223	0.654295	3.7678	0.551269	0	0.571641
phase:q2	rms	U	3	531.072	14	887730	2.09681	1.30772	1.08099	3.59867	0.631655	3.85503	0.220892	0	0.582869
phase:q2	rms	U	4	728.116	13	834015	1.88207	1.40714	1.23099	2.80853	0.140427	3.0775	1.45519e-11	0	0.564959
phase:q2	rms	U	5	1002.75	17	901528	2.13663	1.71927	1.41375	3.5462	0.931688	3.60801	0.556732	0	0.564161
phase:q2	share	U	0	71.5874	25	828472	1.75373	0.687308	0.599878	1.37949	0.0725815	2.96302	0.419792	0	0.745236
phase:q2	share	U	1	212.812	19	873027	2.40174	1.58217	0.780006	3.01795	1.61357	3.87351	1.19215	0	0.522586
phase:q2	share	U	2	349.013	21	866262	2.11554	1.24732	0.920936	3.12623	0.488777	3.7678	0.551269	0	0.571641
phase:q2	share	U	3	531.072	14	887730	2.09681	1.30772	1.08099	3.17611	0.211729	3.85503	0.220892	0	0.582869
phase:q2	share	U	4	728.116	13	834015	1.88207	1.40714	1.23099	3.50281	0.175141	3.0775	1.45519e-11	0	0.564959
phase:q2	share	U	5	1002.75	17	901528	2.13663	1.71927	1.41375	3.23938	0.753851	3.60801	0.556732	0	0.564161
phase:q2	rms	V	0	57.9927	20	708400	1.69067	1.02179	0.866999	2.12151	0.471042	2.56599	0.188506	0	0.706016
phase:q2	rms	V	1	188.809	25	633082	1.70086	1.14404	0.990921	2.19319	0.540361	2.56604	1.45519e-11	0	0.646479
phase:q2	rms	V	2	333.793	21	865052	1.64733	1.42186	1.11225	1.81044	0.236045	1.92909	0.492551	0	0.656873
phase:q2	rms	V	3	711.687	11	715718	1.78712	1.72203	1.3792	2.0976	0.243057	2.1306	0.659863	0	0.600007
phase:q2	rms	V	4	1007.69	15	752656	2.05262	1.75989	1.55665	3.46795	0.640424	3.53919	1.45519e-11	0	0.586773
phase:q2	rms	V	5	1196.72	8	784657	2.30671	1.8668	1.66007	4.56846	0.228423	4.59181	0.0363906	0	0.505393
phase:q2	share	V	0	57.9927	20	708400	1.69067	1.02179	0.866999	1.81207	0.283724	2.56599	0.188506	0	0.706016
phase:q2	share	V	1	188.809	25	633082	1.70086	1.14404	0.990921	2.42348	0.414843	2.56604	1.45519e-11	0	0.646479
phase:q2	share	V	2	333.793	21	865052	1.64733	1.42186	1.11225	2.09042	0.264278	1.92909	0.492551	0	0.656873
phase:q2	share	V	3	711.687	11	715718	1.78712	1.72203	1.3792	2.60206	0.339336	2.1306	0.659863	0	0.600007
phase:q2	share	V	4	1007.69	15	752656	2.05262	1.75989	1.55665	3.17078	0.267015	3.53919	1.45519e-11	0	0.586773
phase:q2	share	V	5	1196.72	8	784657	2.30671	1.8668	1.66007	4.63097	0.231548	4.59181	0.0363906	0	0.505393
phase:q2	rms	W	0	115.383	16	412099	1.08732	0.585576	0.460343	0.544377	0.271169	1.05129	0.602646	0	0.814219
phase:q2	rms	W	1	293.31	20	433908	1.07547	0.961835	0.724615	0.623724	0.165706	0.75657	0.494541	0	0.836053
phase:q2	rms	W	2	404.363	8	430816	1.20278	1.07744	0.848835	0.888778	0.0805255	1.00632	0.392061	0	0.810898
phase:q2	rms	W	3	576.187	13	411284	1.22114	1.13654	1.0114	1.06432	0.139362	1.22239	1.45519e-11	0	0.785858
phase:q2	rms	W	4	741.675	15	433142	1.38855	1.35146	1.14638	1.37823	0.247593	1.4158	1.45519e-11	0	0.753439
phase:q2	rms	W	5	992.26	16	441139	1.44283	1.40824	1.32485	1.49713	0.427603	1.85382	1.45519e-11	0	0.728059
phase:q2	share	W	0	115.383	16	412099	1.08732	0.585576	0.460343	0.769896	0.375544	1.05129	0.602646	0	0.814219
phase:q2	share	W	1	293.31	20	433908	1.07547	0.961835	0.724615	0.746069	0.184349	0.75657	0.494541	0	0.836053
phase:q2	share	W	2	404.363	8	430816	1.20278	1.07744	0.848835	0.967498	0.0681477	1.00632	0.392061	0	0.810898
phase:q2	share	W	3	576.187	13	411284	1.22114	1.13654	1.0114	1.26697	0.495418	1.22239	1.45519e-11	0	0.785858
phase:q2	share	W	4	741.675	15	433142	1.38855	1.35146	1.14638	1.4847	0.235146	1.4158	1.45519e-11	0	0.753439
phase:q2	share	W	5	992.26	16	441139	1.44283	1.40824	1.32485	1.67327	0.417975	1.85382	1.45519e-11	0	0.728059
phase:q3	rms	U	0	68.878	18	751564	1.72807	0.500136	0.59589	2.22601	0.313183	3.09119	0.225188	0	0.701939
phase:q3	rms	U	1	220.621	29	774124	1.68833	0.959732	0.788766	2.04472	0.19524	2.55151	0.336524	0	0.670626
