label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
run:run039253	rms	W	-2.96341	2.11539	2.13795	0.162522	4.57084	0.694929	6.65208	4	7.9135	0.0575	-2.96341e-07	2.13795
run:run039253	share	W	1.61779	1.0967	1.33066	0.106598	1.77066	0.283692	4.5991	4	7.9135	0.0575	1.61779e-07	1.33066
run:run039253	rms	U(joint)	-1.49627	1.82464	2.79239	0.112706	7.79742	0.629438	20.8891	14	7.9135	0.259	-1.49627e-07	2.79239
run:run039253	rms	V(joint)	-1.49627	1.82464	2.76249	0.111242	7.63134	0.614609	20.8891	14	7.9135	0.4316	-1.49627e-07	2.76249
run:run039253	rms	W(joint)	-1.49627	1.82464	2.02793	0.150201	4.11249	0.609191	20.8891	14	7.9135	0.0575	-1.49627e-07	2.02793
run:run039253	share	U(joint)	2.23655	0.938417	2.33373	0.0678783	5.44629	0.316819	20.1475	14	7.9135	0.259	2.23655e-07	2.33373
run:run039253	share	V(joint)	2.23655	0.938417	2.30021	0.0719337	5.29096	0.330925	20.1475	14	7.9135	0.4316	2.23655e-07	2.30021
run:run039253	share	W(joint)	2.23655	0.938417	1.27537	0.098413	1.62657	0.251026	20.1475	14	7.9135	0.0575	2.23655e-07	1.27537
run:run039349	rms	U	7.8254	4.57649	2.86488	0.135489	8.20753	0.776321	4.55071	4	7.9135	0.259	7.8254e-07	2.86488
run:run039349	share	U	8.33057	1.86298	2.21303	0.0749253	4.8975	0.331624	4.92368	4	7.9135	0.259	8.33057e-07	2.21303
run:run039349	rms	V	1.8342	3.1712	2.92937	0.121258	8.58118	0.71042	3.45073	4	7.9135	0.4316	1.8342e-07	2.92937
run:run039349	share	V	3.28907	1.64835	2.37787	0.0744088	5.65425	0.353868	1.84511	4	7.9135	0.4316	3.28907e-07	2.37787
run:run039349	rms	W	4.09856	1.78785	1.99123	0.0995267	3.96498	0.39636	0.778069	4	7.9135	0.0575	4.09856e-07	1.99123
run:run039349	share	W	5.38788	0.729957	1.1543	0.062991	1.3324	0.145421	0.383326	4	7.9135	0.0575	5.38788e-07	1.1543
run:run039349	rms	U(joint)	3.99591	1.47436	2.96086	0.0759907	8.76668	0.449995	9.94767	14	7.9135	0.259	3.99591e-07	2.96086
run:run039349	rms	V(joint)	3.99591	1.47436	2.85832	0.0819573	8.17001	0.468521	9.94767	14	7.9135	0.4316	3.99591e-07	2.85832
run:run039349	rms	W(joint)	3.99591	1.47436	1.99629	0.0858481	3.98519	0.342756	9.94767	14	7.9135	0.0575	3.99591e-07	1.99629
run:run039349	share	U(joint)	5.41766	0.628332	2.31008	0.043352	5.33649	0.200293	11.2661	14	7.9135	0.259	5.41766e-07	2.31008
run:run039349	share	V(joint)	5.41766	0.628332	2.29498	0.0479013	5.26695	0.219866	11.2661	14	7.9135	0.4316	5.41766e-07	2.29498
run:run039349	share	W(joint)	5.41766	0.628332	1.15208	0.0566801	1.32728	0.1306	11.2661	14	7.9135	0.0575	5.41766e-07	1.15208
length:L<100cm	rms	U	47.0601	16.0229	2.23113	0.253256	4.97796	1.1301	2.53467	4	7.9135	0.259	4.70601e-06	2.23113
length:L<100cm	share	U	20.5244	4.98664	1.80541	0.115877	3.2595	0.418411	5.70129	4	7.9135	0.259	2.05244e-06	1.80541
length:L<100cm	rms	V	-18.2846	9.03785	3.25721	0.23741	10.6094	1.54659	5.85795	4	7.9135	0.4316	-1.82846e-06	3.25721
length:L<100cm	share	V	-4.7963	4.20689	2.56836	0.131076	6.59648	0.673302	4.08521	4	7.9135	0.4316	-4.7963e-07	2.56836
length:L<100cm	rms	W	6.15232	4.90754	2.20793	0.221357	4.87493	0.977479	4.43891	4	7.9135	0.0575	6.15232e-07	2.20793
length:L<100cm	share	W	5.68268	1.9344	1.23358	0.12424	1.52173	0.306521	4.96568	4	7.9135	0.0575	5.68268e-07	1.23358
length:L<100cm	rms	U(joint)	3.72722	4.16454	2.65475	0.161028	7.04769	0.854978	26.3215	14	7.9135	0.259	3.72722e-07	2.65475
length:L<100cm	rms	V(joint)	3.72722	4.16454	2.68187	0.171025	7.19243	0.917332	26.3215	14	7.9135	0.4316	3.72722e-07	2.68187
length:L<100cm	rms	W(joint)	3.72722	4.16454	2.28889	0.195818	5.239	0.896408	26.3215	14	7.9135	0.0575	3.72722e-07	2.28889
length:L<100cm	share	U(joint)	5.69573	1.65757	2.02246	0.0803501	4.09033	0.325009	29.8151	14	7.9135	0.259	5.69573e-07	2.02246
