# doc pdvd/116 movers pdvd: A0=d115voff A1=d115vp3bwp05; truth sources [('pdvd_stm_michel_own103v2_verdicts.json', 24), ('pdvd_stm_michel_own103v_verdicts.json', 40), ('pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json', 610), ('pdvd_stm_michel_smx11_verdicts.json', 204)]
population 550 (Michel population 550); candidates A0 563, A1 543, common 478, A0-only 85, A1-only 65; unlabelled candidates 25

== is_stm
      039252_7/91      truth STM_MICHEL/attached [record]  A0 (1, 0)  A1 (0, 1)
      039252_7/96      truth STM_MICHEL/both [record]  A0 (1, 0)  A1 (1, 1)
      039252_8/96      truth STM_MICHEL/attached [record]  A0 (0, 0)  A1 (1, 1)
      039253_10/93     truth STM_MICHEL/both [record]  A0 None  A1 (1, 1)
      039253_12/77     truth STM_MICHEL/attached [new_agent]  A0 None  A1 (1, 1)
      039253_13/39     truth STM_MICHEL/attached [record]  A0 None  A1 (1, 1)
      039253_3/31      truth STM_MICHEL/both [record]  A0 None  A1 (1, 1)
      039253_6/99      truth STM_MICHEL/attached [record]  A0 None  A1 (1, 1)
      039253_7/89      truth STM_MICHEL/attached [record]  A0 (0, 0)  A1 (1, 1)
      039253_8/65      truth STM_MICHEL/both [record]  A0 None  A1 (1, 1)
      039253_9/36      truth STM_MICHEL/both [owner_review]  A0 (0, 0)  A1 (0, 1)
      039349_32/63     truth STM_MICHEL/attached [record]  A0 (1, 0)  A1 (1, 1)
      039349_4/39      truth STM_MICHEL/both [record]  A0 None  A1 (1, 1)
      039349_43/48     truth STM_MICHEL/attached [record]  A0 (1, 0)  A1 (1, 1)
      039349_51/27     truth STM_MICHEL/both [record]  A0 (0, 0)  A1 (1, 1)
      039349_65/43     truth STM_MICHEL/attached [record]  A0 None  A1 (1, 1)
      039349_72/60     truth STM_MICHEL/attached [record]  A0 (0, 0)  A1 (1, 1)
      039349_77/66     truth STM_MICHEL/attached [owner_review]  A0 (1, 0)  A1 (1, 1)
      039349_78/22     truth STM_MICHEL/attached [record]  A0 (1, 0)  A1 (1, 1)
      039349_83/24     truth STM_MICHEL/attached [new_agent]  A0 (0, 0)  A1 (1, 1)
      039349_83/67     truth STM_MICHEL/attached [owner_review]  A0 (0, 0)  A1 (1, 1)
  fp_new    10  candidate in: {'both': 6, 'A0 only': 0, 'A1 only': 4}  truth source: {'record': 5, 'new_agent': 5}
      039252_12/84     truth STM_ONLY/detached dots [record]  A0 None  A1 (0, 1)
      039252_4/104     truth THRU/none [new_agent]  A0 (0, 0)  A1 (0, 1)
      039253_12/98     truth THRU/none [new_agent]  A0 (0, 0)  A1 (0, 1)
      039253_16/104    truth THRU/none [new_agent]  A0 (0, 0)  A1 (1, 1)
