metric	class	key	verdict	michel_kind	source	A0_is_stm	A0_michel	A1_is_stm	A1_michel
is_stm	tp_lost	039349_44/38	STM_MICHEL	attached	new_agent	1	1	0	0
is_stm	tp_new	039349_44/78	STM_MICHEL	attached	record	-	-	1	0
is_stm	tp_lost	039349_45/49	STM_MICHEL	both	new_agent	1	1	-	-
is_stm	tp_new	039349_48/59	STM_MICHEL	attached	record	-	-	1	1
is_stm	tp_new	039349_5/65	STM_MICHEL	attached	record	0	1	1	1
is_stm	tp_new	039349_50/52	STM_MICHEL	attached	record	-	-	1	0
is_stm	tp_new	039349_51/27	STM_MICHEL	both	record	0	0	1	1
is_stm	tp_new	039349_52/33	STM_MICHEL	both	owner_review	0	1	1	0
is_stm	tp_lost	039349_53/28	STM_ONLY	None	owner_review	1	0	-	-
is_stm	tp_lost	039349_53/44	STM_MICHEL	attached	new_agent	1	0	0	0
is_stm	tp_new	039349_58/22	STM_ONLY	none	record	0	0	1	0
is_stm	tp_lost	039349_60/40	STM_MICHEL	attached	record	1	0	-	-
is_stm	tp_new	039349_60/59	STM_MICHEL	attached	new_agent	0	1	1	1
is_stm	tp_lost	039349_62/69	STM_MICHEL	attached	record	1	1	0	1
is_stm	tp_lost	039349_63/55	STM_MICHEL	attached	record	1	0	-	-
is_stm	tp_lost	039349_63/66	STM_MICHEL	attached	record	1	1	-	-
is_stm	tp_new	039349_64/45	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_lost	039349_65/41	STM_MICHEL	both	new_agent	1	1	-	-
is_stm	tp_new	039349_65/43	STM_MICHEL	attached	record	-	-	1	1
is_stm	fp_new	039349_66/85	THRU	none	record	0	0	1	1
is_stm	tp_lost	039349_67/78	STM_MICHEL	both	record	1	1	0	0
is_stm	fp_gone	039349_69/23	THRU	none	record	1	0	0	0
is_stm	tp_new	039349_69/64	STM_ONLY	none	new_agent	0	0	1	0
is_stm	fp_new	039349_7/57	THRU	None	record	0	0	1	0
is_stm	tp_new	039349_70/58	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_new	039349_72/60	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_lost	039349_73/57	STM_MICHEL	both	record	1	1	-	-
is_stm	tp_lost	039349_76/82	STM_ONLY	detached dots	record	1	0	-	-
is_stm	fp_new	039349_81/22	THRU	None	record	0	0	1	0
is_stm	fp_gone	039349_82/25	THRU	— not set —	record	1	1	0	1
is_stm	tp_lost	039349_82/42	STM_ONLY	none	record	1	0	0	0
is_stm	tp_lost	039349_82/61	STM_ONLY	none	record	1	0	-	-
is_stm	tp_new	039349_83/24	STM_MICHEL	attached	new_agent	0	0	1	1
is_stm	tp_new	039349_83/67	STM_MICHEL	attached	owner_review	0	0	1	1
michel_found	tp_new	039252_1/114	STM_MICHEL	both	record	0	0	1	1
michel_found	tp_lost	039252_1/36	STM_MICHEL	attached	owner_review	0	1	0	0
michel_found	fp_new	039252_12/84	STM_ONLY	detached dots	record	-	-	0	1
michel_found	tp_lost	039252_14/37	STM_MICHEL	both	record	1	1	1	0
michel_found	tp_new	039252_15/83	STM_MICHEL	attached	owner_review	-	-	1	1
michel_found	tp_new	039252_16/44	STM_MICHEL	attached	owner_review	-	-	1	1
michel_found	tp_lost	039252_17/94	STM_MICHEL	attached	record	1	1	-	-
michel_found	tp_new	039252_2/36	STM_MICHEL	both	record	0	0	1	1
michel_found	fp_new	039252_4/104	THRU	None	record	0	0	0	1
michel_found	fp_new	039252_5/79	THRU	none	new_agent	0	0	0	1
michel_found	tp_lost	039252_6/40	STM_MICHEL	attached	record	1	1	0	0
michel_found	tp_new	039252_7/91	STM_MICHEL	attached	record	1	0	0	1
michel_found	tp_new	039252_7/96	STM_MICHEL	both	record	1	0	1	1
michel_found	tp_new	039252_8/96	STM_MICHEL	attached	record	0	0	1	1
michel_found	fp_new	039252_9/74	STM_ONLY	detached dots	record	1	0	1	1
michel_found	fp_gone	039253_1/101	STM_ONLY	None	record	0	1	0	0
michel_found	tp_new	039253_10/93	STM_MICHEL	both	record	-	-	1	1
michel_found	tp_new	039253_12/77	STM_MICHEL	attached	new_agent	-	-	1	1
michel_found	tp_new	039253_12/98	STM_MICHEL	attached	record	0	0	0	1
michel_found	tp_new	039253_13/39	STM_MICHEL	attached	record	-	-	1	1
michel_found	fp_new	039253_13/74	STM_ONLY	detached dots	owner_review	1	0	1	1
michel_found	tp_new	039253_13/75	STM_MICHEL	both	record	0	0	1	1
michel_found	tp_lost	039253_14/130	STM_MICHEL	attached	new_agent	1	1	0	0
michel_found	tp_new	039253_16/104	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_new	039253_17/107	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_lost	039253_17/21	STM_MICHEL	attached	new_agent	0	1	0	0
michel_found	tp_new	039253_3/31	STM_MICHEL	both	record	-	-	1	1
michel_found	tp_new	039253_6/99	STM_MICHEL	attached	record	-	-	1	1
michel_found	tp_new	039253_7/89	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_new	039253_8/65	STM_MICHEL	both	record	-	-	1	1
michel_found	fp_new	039253_9/102	STM_ONLY	detached dots	record	1	0	0	1
michel_found	tp_new	039253_9/36	STM_MICHEL	both	owner_review	0	0	0	1
michel_found	tp_lost	039349_1/61	STM_MICHEL	attached	record	0	1	0	0
michel_found	tp_lost	039349_11/19	STM_MICHEL	attached	record	1	1	1	0
michel_found	tp_lost	039349_16/42	STM_MICHEL	attached	new_agent	1	1	-	-
michel_found	tp_lost	039349_20/34	STM_MICHEL	attached	new_agent	1	1	-	-
michel_found	tp_new	039349_21/27	STM_MICHEL	attached	record	-	-	1	1
michel_found	tp_new	039349_23/55	STM_MICHEL	attached	record	0	0	0	1
michel_found	tp_lost	039349_24/88	STM_MICHEL	both	new_agent	1	1	0	0
michel_found	fp_gone	039349_28/50	THRU	None	owner_review	0	1	-	-
michel_found	fp_gone	039349_29/48	STM_ONLY	None	record	1	1	1	0
michel_found	tp_new	039349_3/74	STM_MICHEL	both	smx116	-	-	1	1
michel_found	tp_lost	039349_30/55	STM_MICHEL	attached	record	1	1	1	0
michel_found	tp_new	039349_32/63	STM_MICHEL	attached	record	1	0	1	1
michel_found	tp_lost	039349_33/15	STM_MICHEL	attached	owner_review	0	1	0	0
michel_found	tp_new	039349_34/47	STM_MICHEL	both	smx116	-	-	0	1
michel_found	tp_lost	039349_38/68	STM_MICHEL	attached	new_agent	1	1	-	-
michel_found	tp_new	039349_4/39	STM_MICHEL	both	record	-	-	1	1
michel_found	tp_lost	039349_41/58	STM_MICHEL	attached	record	1	1	0	0
michel_found	tp_new	039349_43/48	STM_MICHEL	attached	record	1	0	1	1
michel_found	tp_lost	039349_44/38	STM_MICHEL	attached	new_agent	1	1	0	0
michel_found	tp_lost	039349_45/49	STM_MICHEL	both	new_agent	1	1	-	-
michel_found	tp_new	039349_48/59	STM_MICHEL	attached	record	-	-	1	1
michel_found	fp_new	039349_50/55	STM_ONLY	detached dots	record	0	0	0	1
michel_found	tp_new	039349_51/27	STM_MICHEL	both	record	0	0	1	1
michel_found	tp_lost	039349_52/33	STM_MICHEL	both	owner_review	0	1	1	0
michel_found	fp_new	039349_57/21	THRU	None	record	0	0	0	1
michel_found	tp_new	039349_57/25	STM_MICHEL	attached	owner_review	1	0	1	1
michel_found	tp_lost	039349_63/66	STM_MICHEL	attached	record	1	1	-	-
michel_found	tp_new	039349_64/45	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_lost	039349_64/55	STM_MICHEL	attached	owner_review	1	1	1	0
michel_found	tp_lost	039349_65/41	STM_MICHEL	both	new_agent	1	1	-	-
michel_found	tp_new	039349_65/43	STM_MICHEL	attached	record	-	-	1	1
michel_found	fp_new	039349_66/85	THRU	none	record	0	0	1	1
michel_found	tp_lost	039349_67/78	STM_MICHEL	both	record	1	1	0	0
michel_found	tp_lost	039349_7/4	STM_MICHEL	attached	owner_review	0	1	0	0
michel_found	tp_new	039349_70/58	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_new	039349_72/60	STM_MICHEL	attached	record	0	0	1	1
michel_found	tp_lost	039349_73/57	STM_MICHEL	both	record	1	1	-	-
michel_found	tp_new	039349_77/66	STM_MICHEL	attached	owner_review	1	0	1	1
michel_found	tp_new	039349_78/22	STM_MICHEL	attached	record	1	0	1	1
michel_found	tp_new	039349_83/24	STM_MICHEL	attached	new_agent	0	0	1	1
michel_found	tp_new	039349_83/67	STM_MICHEL	attached	owner_review	0	0	1	1
