det	arm	tag	n_tracks	q_per_tick	q_ratio	dtick	vratio	DT_share	DTerr_share	DT_model	chi2_share	ndf_share	cU_share	cUerr_share	cU_share_pitch	cV_share	cVerr_share	cV_share_pitch	cW_share	cWerr_share	cW_share_pitch	DT_rms	DTerr_rms	chi2_rms	ndf_rms	cU_rms	cUerr_rms	cU_rms_pitch	cV_rms	cVerr_rms	cV_rms_pitch	cW_rms	cWerr_rms	cW_rms_pitch	DT_truth	DTerr_truth	chi2_truth	ndf_truth	cU_truth	cUerr_truth	cU_truth_pitch	cV_truth	cVerr_truth	cV_truth_pitch	cW_truth	cWerr_truth	cW_truth_pitch	ksr_U_pitch	ksr_excess_U_mm	ksr_V_pitch	ksr_excess_V_mm	ksr_W_pitch	ksr_excess_W_mm
pdhd	S1n2	gauss	10	4232.31	1.07419	13.2288	0.999979	7.16974	0.264456	8.2017	18.6731	14	1.64259	0.0538616	0.3518	1.61638	0.0620998	0.346187	0.463508	0.0382934	0.0967355	7.65443	0.321058	19.6523	14	1.57811	0.0551335	0.33799	1.50358	0.0944446	0.322028	0.677894	0.0362037	0.141478	6.95312	0.359267	26.3227	14	3.34445	5.06296e-05	0.716294	3.03704	4.047e-05	0.650455	0.848439	0.0361422	0.177072						
pdhd	S2	gauss	10	4190.88	1.06367	13.0699	0.999926	7.15948	0.244103	8.2017	3.92098	14	3.27372	0.0389331	0.701146	3.52931	0.0413968	0.755887	0.302776	0.0484609	0.0631902	6.86011	0.288261	13.927	14	3.75674	0.0472651	0.804596	4.22591	0.053894	0.90508	0.598761	0.0350643	0.124963	6.25663	0.321888	14.4656	14	3.79794	0.0483617	0.81342	4.39767	0.0607187	0.941867	0.72703	0.0380093	0.151733						
pdhd	S2	raw	10	608.653	0.15448	15.822	0.999972	7.37952	0.271592	8.2017	43.5953	14	1.83721	0.0313268	0.393483	1.60458	0.0301579	0.343659	0.591309	0.0323831	0.123408	6.93268	0.433043	71.1157	14	2.37582	0.0367985	0.508839	2.49912	0.0383429	0.535247	1.21642	0.0333802	0.25387	7.67796	0.522415	9.64538	14	6.69744	0.0713304	1.43442	5.79812	0.0627754	1.24181	1.25692	0.0403482	0.262323						
pdhd	S2	rawdecon	10	6208.7	1.57581	9.50186	1.00009	7.86559	6.18707	8.2017	65.6671	14	8.31419	0.137653	1.78068	11.5507	0.149079	2.47386	5.46115	0.132685	1.13976	-1.75686	5.75861	7.65833	14	7.73372	0.113901	1.65636	8.33054	0.116514	1.78419	7.30559	0.115952	1.5247	-3.04113	7.17241	3.15723	14	9.21857	0.126381	1.97438	9.14831	0.130114	1.95933	7.82231	0.13122	1.63254						
pdhd	S2	wiener	10	4200.56	1.06613	13.235	0.999977	6.44028	0.191794	8.2017	9.0009	14	3.27962	0.0382305	0.702409	3.546	0.0408717	0.759461	0.260267	0.0354245	0.0543185	6.38927	0.268887	18.6567	14	3.79582	0.0475727	0.812966	4.28788	0.0537524	0.918353	0.466346	0.0447142	0.0973278	5.366	0.327265	22.8335	14	3.8483	0.0486035	0.824206	4.46743	0.0604797	0.956808	0.732963	0.0444742	0.152972						
pdhd	S3	gauss	10	4444.38	1.12801	13.288	0.999885	0.0121117	0.0421787	8.2017	3.13459	14	3.36054	2.75228e-06	0.71974	3.65969	1.82616e-06	0.783811	0.499155	0.0108666	0.104175	0.237251	0.112285	10.1427	14	4.04103	1.19783e-05	0.865484	4.59015	8.054e-06	0.983091	0.71901	0.0178231	0.150059	0.429081	0.197272	10.0149	14	4.05709	6.62428e-05	0.868923	4.7025	3.63444e-05	1.00715	0.917915	0.0251802	0.191572	0.927908	3.88303	1.05336	4.52793	0.367615	0
pdhd	S3	gauss_ph	10	4444.38	1.12801	13.288	0.999885	0.0121117	0.0421787	8.2017	3.13459	14	3.36054	2.75228e-06	0.71974	3.65969	1.82616e-06	0.783811	0.499155	0.0108666	0.104175	0.245234	0.124246	9.49468	14	4.039	1.57308e-05	0.865049	4.58968	1.06551e-05	0.98299	0.716948	0.0195484	0.149629	0.443664	0.218182	9.35297	14	4.05501	8.71421e-05	0.868478	4.70285	4.82882e-05	1.00723	0.914864	0.0276382	0.190935						
pdhd	S3	raw	10	630.867	0.160119	16.0413	0.999884	-0.0190564	0.0627016	8.2017	2.67118	14	2.1195	0.0218859	0.453942	1.82554	0.0190286	0.390983	0.617146	0.0131603	0.1288	-0.12142	0.189728	3.92444	14	2.70148	0.0286537	0.578587	2.7734	0.0303983	0.59399	1.08804	0.022735	0.227077	-0.069821	0.278658	0.370835	14	6.41376	3.24572e-05	1.37366	5.60814	6.38995e-05	1.20112	1.3008	0.0278074	0.271481						
pdhd	S3	rawdecon	10	6043.25	1.53382	9.62077	0.999886	-11.9545	7.26457	8.2017	17.1128	14	8.23374	0.128463	1.76345	11.8927	0.178239	2.54711	5.37666	0.218306	1.12212	-8.27444	5.84454	8.38369	14	7.57952	0.113824	1.62334	8.31034	0.11396	1.77986	7.31552	0.123633	1.52677	-9.55768	7.07715	2.94377	14	9.30099	0.12549	1.99203	9.11122	0.1252	1.95139	7.88705	0.128991	1.64605	1.98913	9.09014	1.94835	8.89423	1.64665	7.65036
pdhd	S3	wiener	10	4566	1.15888	13.3816	0.999891	0.0135726	0.0239359	8.2017	5.25619	14	3.37951	4.8235e-07	0.723803	3.70739	3.08913e-07	0.794027	0.374436	0.00818422	0.0781459	0.29923	0.138132	10.2044	14	4.13031	1.97848e-05	0.884605	4.736	1.34975e-05	1.01433	0.698646	0.0227646	0.145809	0.560366	0.250743	10.0389	14	4.14847	0.047963	0.888495	4.84339	0.00125298	1.03733	1.03773	0.028695	0.216577						
pdhd	S5	gauss	10	4215.12	1.06983	13.208	0.999961	4.58563	0.1801	8.2017	239.492	14	1.02954	0.0243319	0.220501	1.07668	0.0224966	0.230597	0.572034	0.0221277	0.119385	5.65996	0.231388	153.111	14	1.02144	0.0349029	0.218766	1.10281	0.0431703	0.236193	0.627146	0.0264064	0.130887	6.06945	0.252227	61.3387	14	1.17065	0.0353659	0.250723	1.38161	0.0420897	0.295905	0.661731	0.029007	0.138105	0.459368	1.0476	0.476093	1.2927	0.421089	0.542603
pdhd	S5	raw	10	613.109	0.155611	15.4457	0.999969	8.64147	0.331436	8.2017	11.1131	14	3.10629	0.0389343	0.665287	3.71186	0.0443977	0.794984	0.586292	0.0399283	0.122361	7.90208	0.811797	2.94267	14	5.02243	0.0571728	1.07567	5.73544	0.0634446	1.22838	1.82165	0.0487016	0.380184	6.66894	0.874472	7.95528	14	7.69478	0.0813663	1.64802	7.5873	0.0803569	1.625	1.94522	0.0506649	0.405973						
pdhd	S5	rawdecon	10	18208.3	4.62141	2.15693	1.00022	5.98432	8.18839	8.2017	10.7957	14	7.52735	0.157894	1.61216	9.4946	0.138371	2.0335	8.80688	0.137863	1.83802	-1.47572	6.16516	5.14762	14	7.3287	0.123086	1.56962	8.47439	0.119494	1.81499	8.21075	0.118868	1.71361	1.42031	8.21296	0.600276	14	9.21982	0.138956	1.97465	9.30986	0.138484	1.99393	8.97535	0.13904	1.87318						
pdhd	S5	wiener	10	4251.25	1.079	13.4008	1.00002	4.91695	0.164494	8.2017	225.913	14	1.02973	0.0247222	0.220541	1.0896	0.0244912	0.233364	0.279997	0.0322301	0.0584362	6.50603	0.231758	126.012	14	1.09557	0.0396373	0.234643	1.16904	0.0496588	0.250378	0.403534	0.0347185	0.0842187	6.07004	0.260646	47.4918	14	1.34299	0.0381082	0.287634	1.52376	0.044485	0.32635	0.645666	0.0306471	0.134752						
pdhd	S6a	gauss	10	4211.38	1.06888	13.2279	0.999965	6.7803	0.247738	8.2017	80.9617	14	2.67911	0.0347949	0.573796	2.79001	0.035168	0.597548	0.393165	0.0387825	0.0820547	6.96841	0.279999	92.726	14	2.68144	0.0350397	0.574295	2.76039	0.0355132	0.591204	0.555977	0.0340913	0.116034	6.81457	0.294577	37.3775	14	2.92224	0.0362495	0.625868	2.95189	0.0366156	0.632218	0.643031	0.0337641	0.134202						
pdhd	S6b	gauss	10	6346.06	1.61068	8.22875	1.0007	5.63941	0.2171	8.2017	76.5256	14	3.14854	0.0367799	0.674336	0.384354	0.0376441	0.0823186	4.42333	6.63243e-05	0.923162	6.0752	0.348669	86.036	14	3.20937	0.0388163	0.687364	0.892415	0.0343636	0.191132	4.97108	0.000249453	1.03748	7.02697	1.02025	14.7177	14	3.51482	0.0504808	0.752783	1.58831	0.0702853	0.340175	6.95218	0.0761869	1.45094						
pdhd	S6b	rawdecon	10	1793.83	0.455288	-6.90151	0.999933	10.2378	4.08795	8.2017	12.3321	14	6.00635	0.103021	1.2864	9.12505	0.109492	1.95435	5.61547	0.0987207	1.17196	7.80291	4.77501	1.40496	14	8.12806	0.108988	1.74082	8.00357	0.107755	1.71416	5.83004	0.109096	1.21675	3.56417	6.18725	0.511637	14	9.29444	0.123264	1.99063	9.05461	0.121825	1.93926	6.78198	0.123492	1.41542						
pdhd	nsig5	gauss	10	4188.38	1.06304	13.0727	0.999928	7.20718	0.245314	8.2017	3.66855	14	3.26992	0.0389394	0.700332	3.5365	0.0416471	0.757426	0.30121	0.0488513	0.0628634	6.88008	0.29021	15.2713	14	3.74216	0.0472839	0.801474	4.23471	0.0535637	0.906965	0.600226	0.0352381	0.125269	6.28283	0.328657	15.2226	14	3.78286	0.0482984	0.81019	4.41595	0.0618293	0.945782	0.729275	0.0398302	0.152202						
pdhd	nsig5	raw	10	607.839	0.154274	15.852	0.99997	7.45257	0.27258	8.2017	41.1796	14	1.83848	0.0313293	0.393755	1.60508	0.0301922	0.343766	0.585944	0.0327032	0.122288	6.97374	0.431152	68.3363	14	2.37603	0.0367462	0.508884	2.51324	0.0379622	0.538271	1.20346	0.033437	0.251166	7.71596	0.520396	9.48299	14	6.70254	0.0713889	1.43551	5.80294	0.0628263	1.24284	1.24277	0.04044	0.25937						
pdhd	nsig5	rawdecon	10	6735.66	1.70956	8.86745	1.00005	25.5468	7.24955	8.2017	25.2159	14	8.35131	0.144037	1.78863	11.748	0.166665	2.51612	5.40788	0.141928	1.12864	5.57499	6.00636	7.59622	14	7.72633	0.119571	1.65478	8.22151	0.120272	1.76083	7.42211	0.120236	1.54902	1.53502	7.28458	3.94101	14	9.15992	0.131204	1.96182	9.0792	0.132152	1.94453	7.91853	0.132667	1.65262						
pdhd	nsig5	wiener	10	4198.81	1.06569	13.2361	0.999977	6.47752	0.192953	8.2017	8.96793	14	3.27485	0.0382189	0.701388	3.55404	0.0411621	0.761183	0.261626	0.0354277	0.0546021	6.42085	0.273501	21.3087	14	3.78103	0.0475034	0.809798	4.29888	0.0535082	0.920708	0.466471	0.0463056	0.0973539	5.41997	0.335735	26.3408	14	3.83311	0.0486561	0.820953	4.48684	0.0615455	0.960965	0.72903	0.046631	0.152151						
pdvd	S0	splat	8	499.759	0.12749	-33.7385	0.999999	5.96053	0.153651	7.9135	154.408	14	0.249935	0.0727724	0.0326712	0.2743	0.0665131	0.0358562	0.252169	0.0414449	0.0494449	6.25685	0.159314	146.481	14	0.26594	0.0713448	0.0347634	0.287541	0.066175	0.0375871	0.305861	0.0344808	0.0599727	5.37224	0.199203	590.326	14	0.433161	0.0657004	0.0566224	0.46808	0.0601298	0.0611869	0.351172	0.0430781	0.0688573						
pdvd	S0n5	splat	8	499.963	0.127542	-33.7482	0.999997	6.82686	0.122044	7.9135	54.562	14	0.490773	0.0187832	0.0641533	0.488518	0.0187102	0.0638586	0.457952	0.0158478	0.0897945	7.21044	0.12666	44.3227	14	0.513529	0.0183157	0.067128	0.512971	0.0181023	0.067055	0.493742	0.0147315	0.0968122	6.10302	0.14902	466.794	14	0.237323	0.0748344	0.0310226	0.125721	0.142489	0.0164341	0.385349	0.0210801	0.0755586						
pdvd	S0n5v2	splat	8	4092.21	1.04393	-33.7448	0.999998	6.83539	0.122088	7.9135	54.6897	14	0.491764	0.0187863	0.0642829	0.490408	0.0185994	0.0641056	0.459395	0.0157922	0.0900775	7.21996	0.126698	44.2283	14	0.514641	0.0183085	0.0672733	0.514778	0.0180073	0.0672912	0.495447	0.0146648	0.0971465	6.10742	0.148776	456.543	14	0.239657	0.0740018	0.0313277	0.07291	0.246571	0.00953072	0.391589	0.0205075	0.0767822						
pdvd	S0v2	splat	8	4092.21	1.04393	-33.7448	0.999998	5.95692	0.153612	7.9135	152.776	14	0.250743	0.0724635	0.0327769	0.274827	0.0663482	0.0359251	0.249869	0.0419521	0.0489939	6.25104	0.159217	144.902	14	0.2671	0.0709625	0.034915	0.28848	0.0659045	0.0377098	0.304372	0.0347272	0.0596808	5.35919	0.199093	590.763	14	0.436401	0.0648758	0.0570459	0.471501	0.0599304	0.0616341	0.350613	0.0431791	0.0687476	0.35027	0.591983	0.350756	0.608137	0.391843	0
pdvd	S1	gauss	8	4188.75	1.06856	-21.0419	1.00002	5.53126	0.21804	7.9135	55.2367	14	1.29046	0.0277498	0.168688	1.27195	0.0280932	0.166268	0.540067	0.032434	0.105895	5.63005	0.262516	66.5497	14	1.46483	0.031998	0.191481	1.44143	0.0300556	0.188422	0.731446	0.0310266	0.143421	4.84317	0.281812	80.4164	14	1.59903	0.0323866	0.209024	1.58443	0.030386	0.207115	0.86769	0.0299205	0.170135						
pdvd	S1	gauss_ph	8	4188.75	1.06856	-21.0419	1.00002	5.53126	0.21804	7.9135	55.2367	14	1.29046	0.0277498	0.168688	1.27195	0.0280932	0.166268	0.540067	0.032434	0.105895	5.63614	0.262858	66.1817	14	1.46325	0.0322369	0.191275	1.44099	0.0300807	0.188365	0.730895	0.0310737	0.143313	4.8499	0.282109	79.9277	14	1.59704	0.0326205	0.208763	1.58396	0.0304085	0.207054	0.867129	0.0299593	0.170025						
pdvd	S1	raw	8	328.39	0.083773	-19.4991	1.00005	8.6828	0.381816	7.9135	42.6575	14	5.64448	1.87367e-05	0.737841	5.7799	1.72742e-05	0.755542	0.628121	0.0479064	0.123161	7.54154	0.967869	7.4572	14	9.87882	0.000103525	1.29135	9.97438	0.000101994	1.30384	1.94744	0.0554058	0.381851	5.99586	1.03319	5.52822	14	11.8953	5.45966e-05	1.55494	11.7526	5.9387e-05	1.53629	2.09255	0.0567865	0.410304						
pdvd	S1	rawdecon	8	51415.4	13.1162	-0.902136	1.00006	11.988	15.9021	7.9135	9.72868	14	14.6135	0.22559	1.91026	14.5877	0.248171	1.90689	9.7233	0.209331	1.90653	6.02304	12.3912	1.00492	14	13.2431	0.172874	1.73112	13.1745	0.172628	1.72216	8.89177	0.182703	1.74348	2.19809	15.682	0.432575	14	15.0662	0.194863	1.96944	14.9969	0.193926	1.96038	9.99268	0.205928	1.95935						
pdvd	S1	wiener	8	4188.75	1.06856	-21.0419	1.00002	5.53126	0.21804	7.9135	55.2367	14	1.29046	0.0277498	0.168688	1.27195	0.0280932	0.166268	0.540067	0.032434	0.105895	5.63005	0.262516	66.5497	14	1.46483	0.031998	0.191481	1.44143	0.0300556	0.188422	0.731446	0.0310266	0.143421	4.84317	0.281812	80.4164	14	1.59903	0.0323866	0.209024	1.58443	0.030386	0.207115	0.86769	0.0299205	0.170135						
pdvd	S1n05	gauss	8	4177.25	1.06563	-21.0537	1.00002	5.92112	0.235586	7.9135	37.8051	14	1.25972	0.0384813	0.164669	1.25101	0.0285927	0.163531	0.460804	0.0395123	0.0903537	6.56805	0.286718	31.4999	14	1.53425	0.103522	0.200556	1.57898	0.0493182	0.206403	0.486104	0.0459851	0.0953145	6.09799	0.298454	37.559	14	1.68445	0.111097	0.22019	1.71459	0.0474819	0.224129	0.587641	0.0420848	0.115224						
pdvd	S1n2	gauss	8	4218.94	1.07626	-21.026	1.00003	6.22161	0.245259	7.9135	28.4622	14	1.4522	0.0290779	0.18983	1.46493	0.0293674	0.191494	0.558494	0.0352401	0.109509	6.92981	0.346659	24.1778	14	1.79598	0.0339473	0.234769	1.78745	0.03764	0.233654	0.869527	0.0360691	0.170495	6.00341	0.378099	22.5748	14	1.993	0.0346125	0.260523	2.00414	0.0377286	0.261979	1.03996	0.0355585	0.203914						
pdvd	S2	gauss	8	4192.69	1.06956	-21.0797	1.00002	6.99198	0.255243	7.9135	24.7235	14	4.05811	0.0506528	0.530472	4.34966	0.00014211	0.568583	0.21003	0.0816028	0.0411824	6.61848	0.301131	13.8946	14	9.73197	1.71421e-06	1.27215	9.69069	1.63517e-06	1.26676	0.564982	0.0419556	0.110781	6.04831	0.315322	14.3046	14	9.89896	2.11584e-06	1.29398	10.0276	1.72043e-06	1.3108	0.682194	0.0391047	0.133764						
pdvd	S2	raw	8	326.457	0.0832799	-20.4378	1.00001	6.50649	0.278175	7.9135	103.436	14	0.240599	0.14387	0.0314508	0.615327	0.0703523	0.0804349	0.691534	0.0323286	0.135595	8.92495	0.470183	21.2734	14	1.37966	0.10701	0.180348	1.76743	0.127373	0.231037	0.907931	0.0454403	0.178026	7.89165	0.504416	13.8515	14	7.08826	0.00142166	0.92657	6.24797	0.0669647	0.816728	1.06834	0.0446142	0.209478						
pdvd	S2	rawdecon	8	7571.16	1.93142	-14.6424	1.00027	4.06767	6.92908	7.9135	55.2063	14	10.8346	0.161713	1.41629	8.98618	0.19705	1.17466	4.13549	0.198407	0.81088	6.9674	5.81498	46.9723	14	10.7692	0.130438	1.40774	9.24861	0.122392	1.20897	5.74789	0.126456	1.12704	5.24894	9.33251	61.916	14	12.1973	0.154473	1.59442	10.5963	0.144326	1.38514	6.65171	0.183238	1.30426						
pdvd	S2	wiener	8	4192.69	1.06956	-21.0797	1.00002	6.99198	0.255243	7.9135	24.7235	14	4.05811	0.0506528	0.530472	4.34966	0.00014211	0.568583	0.21003	0.0816028	0.0411824	6.61848	0.301131	13.8946	14	9.73197	1.71421e-06	1.27215	9.69069	1.63517e-06	1.26676	0.564982	0.0419556	0.110781	6.04831	0.315322	14.3046	14	9.89896	2.11584e-06	1.29398	10.0276	1.72043e-06	1.3108	0.682194	0.0391047	0.133764						
pdvd	S3	gauss	8	4275.94	1.0908	-20.9755	0.999995	0.00701441	0.0505617	7.9135	54.2033	14	4.4368	1.00744e-06	0.579974	4.21193	3.81461e-07	0.550579	0.523348	0.0122298	0.102617	-0.00401561	0.0910537	19.5221	14	10.5272	8.98801e-08	1.3761	10.3568	9.61943e-08	1.35383	0.700661	0.0164463	0.137385	0.00118269	0.126079	22.2423	14	10.6653	2.23035e-07	1.39416	10.538	2.16966e-07	1.37752	0.819723	0.0194174	0.16073	1.42954	10.6252	1.41403	10.5026	0.345648	0
pdvd	S3	gauss_ph	8	4275.94	1.0908	-20.9755	0.999995	0.00684869	0.0505623	7.9135	50.8787	14	4.43668	9.9538e-07	0.579958	4.19256	3.64893e-07	0.548047	0.523384	0.012229	0.102624	-0.00401242	0.0910536	19.5279	14	10.5272	8.988e-08	1.3761	10.3573	9.69086e-08	1.3539	0.70066	0.0164463	0.137384	0.00120722	0.126078	22.2724	14	10.6653	2.23033e-07	1.39416	10.5402	2.22322e-07	1.3778	0.81972	0.0194174	0.160729						
pdvd	S3	raw	8	327.707	0.0835987	-20.4633	0.999989	0.010015	0.0811539	7.9135	8.56203	14	1.21635	0.0247259	0.159	1.24558	0.0217967	0.162821	0.672009	0.0153839	0.131766	-0.0258576	0.169592	11.5945	14	2.09229	0.000103471	0.273502	2.20542	0.000117147	0.28829	0.96619	0.0223328	0.189449	-0.0321105	0.246608	5.53597	14	6.77613	1.65222e-05	0.885769	5.92493	3.20633e-05	0.774501	1.16018	0.0269931	0.227486						
pdvd	S3	rawdecon	8	7680.09	1.95921	-14.4753	1.00037	3.23102	9.29513	7.9135	40.8849	14	10.8889	0.154826	1.42339	8.8067	0.221839	1.1512	4.35114	0.258097	0.853165	3.87753	6.30433	43.2392	14	10.7794	0.129706	1.40907	9.04715	0.128526	1.18263	5.87867	0.1372	1.15268	12.2939	10.7768	57.2016	14	12.2003	0.162331	1.59481	10.3646	0.161386	1.35485	6.56403	0.212643	1.28706	1.63651	12.2492	1.40359	10.4202	1.46533	7.20088
pdvd	S3	wiener	8	4275.94	1.0908	-20.9755	0.999995	0.00701441	0.0505617	7.9135	54.2033	14	4.4368	1.00744e-06	0.579974	4.21193	3.81461e-07	0.550579	0.523348	0.0122298	0.102617	-0.00401561	0.0910537	19.5221	14	10.5272	8.98801e-08	1.3761	10.3568	9.61943e-08	1.35383	0.700661	0.0164463	0.137385	0.00118269	0.126079	22.2423	14	10.6653	2.23035e-07	1.39416	10.538	2.16966e-07	1.37752	0.819723	0.0194174	0.16073						
pdvd	S5	gauss	8	4196	1.07041	-21.0332	1.00002	5.31258	0.214549	7.9135	60.6565	14	1.26988	0.0274578	0.165997	1.27046	0.0279831	0.166073	0.555494	0.0315043	0.10892	5.36134	0.258376	66.878	14	1.44841	0.0307776	0.189335	1.45096	0.0300527	0.189668	0.750167	0.0303359	0.147092	4.4365	0.279301	89.2943	14	1.62419	0.0301127	0.212312	1.63228	0.0306012	0.21337	0.899687	0.0292118	0.176409	0.390128	1.48309	0.390006	1.47372	0.410131	0.628653
pdvd	S5	raw	8	328.341	0.0837605	-19.5001	1.00005	8.67792	0.381801	7.9135	40.0404	14	5.65466	1.82086e-05	0.739171	5.7817	1.71717e-05	0.755778	0.62839	0.0478728	0.123214	7.53325	0.967932	6.85687	14	9.88023	0.000103696	1.29153	9.97565	0.000101998	1.30401	1.94782	0.0554011	0.381925	5.99147	1.03326	5.35354	14	11.8954	5.46563e-05	1.55495	11.7537	5.93888e-05	1.53643	2.09271	0.0567876	0.410335						
pdvd	S5	rawdecon	8	51466.3	13.1292	-0.997533	1.00005	14.9166	15.5786	7.9135	10.4638	14	14.5086	0.214024	1.89655	14.5401	0.242753	1.90067	9.67486	0.206583	1.89703	6.40963	12.3662	1.11655	14	13.213	0.172479	1.72719	13.1661	0.172517	1.72106	8.88405	0.18246	1.74197	2.60423	15.6726	0.33116	14	15.0495	0.194423	1.96725	14.9916	0.193924	1.95969	9.98788	0.205962	1.95841						
