det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_12	113	0	2982	2983	2	1.28	1.78	196.2	108.0	85.1	1.18	0.96	1	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.50	0.00	1blank:i/1blank:t/3live:t	0	5.23	5.58	1.076
pdvd	039252_12	113	0	3003	3092	90	56.06	51.15	194.6	142.0	99.4	18.82	3.67	3	GAP-live	0	0.05	0.00	0.05	0.00	0.00	0.02	0.48	0.02	3live:t/3live:i/3live:i/3live:t	0			
pdvd	039252_12	115	0	3106	3107	2	1.19	0.95	201.9	137.3	11.0	1.15	1.60	2	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	3live:i/3live:t	0			
pdvd	039252_12	115	0	3255	3256	2	1.35	1.79	126.9	118.2	49.3	1.89	1.51	2	FIT	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	1.00	3live:t/3live:t/3live:i/3live:t	0			
pdvd	039252_12	115	0	3284	3292	9	5.33	5.65	110.0	113.2	57.6	5.25	1.78	3	GAP-live	0	0.18	0.00	0.18	0.00	0.00	0.00	0.00	0.00	1blank:t/3live:i	0			
pdvd	039252_12	116	0	3390	3391	2	1.28	1.91	332.0	69.4	11.8	1.13	0.99	1	D-sbt	1	1.00	0.00	1.00	0.00	0.00	0.00	0.50	0.50	3live:i/3live:t/3live:i	0	14.94	15.98	1.074
pdvd	039252_12	116	0	3394	3399	6	3.69	4.06	331.9	72.8	12.0	1.47	1.70	1	D-3live	1	0.88	0.00	0.88	0.00	0.00	0.00	0.00	0.33	3live:t/3live:i	0	0.45	0.45	1.000
pdvd	039252_12	116	0	3506	3510	5	2.94	3.18	334.5	88.7	46.4	1.35	2.17	2	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.40	3live:t/3live:i/3live:i/3live:i	0	4.52		
pdvd	039252_12	116	0	3517	3521	5	3.50	3.91	335.7	89.9	51.2	2.87	3.95	1	GAP-live	0	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdvd	039252_12	116	0	3543	3544	2	1.30	1.85	337.5	88.4	63.4	0.81	1.27	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i	0			
pdvd	039252_12	116	0	3552	3572	21	12.28	12.46	331.7	88.4	68.0	6.09	3.40	2	GAP-live	0	0.16	0.00	0.16	0.00	0.00	0.05	0.00	0.10	1blank:i/1blank:i/3live:i/3live:i	0			
pdvd	039252_12	116	0	3580	3585	6	3.63	3.99	325.9	93.9	71.0	1.03	1.54	1	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.50	3live:i/1dead:i/1dead:t/3live:i	0	4.04		
pdvd	039252_12	116	0	3602	3607	6	3.52	4.41	325.7	106.0	74.1	2.84	3.79	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.17	0.33	3live:t/3live:t/3live:i/3live:i	0			
