label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
phase:q3	share	V	8.37976	0.627811	1.02722	0.0352984	1.05518	0.0725184	2.90138	4	8.8	0	8.37976e-07	1.02722
phase:q3	truth	V	8.40167	0.944311	1.44115	0.041594	2.0769	0.119886	1.94703	4	8.8	0	8.40167e-07	1.44115
phase:q3	rms	W	11.0716	0.422556	-0.476068	0.0469173	-0.226641	0.0446717	1.33896	4	8.8	0	1.10716e-06	0.476068
phase:q3	share	W	6.8249	0.257878	-0.447918	0.0311483	-0.20063	0.0279038	8.90208	4	8.8	0	6.8249e-07	0.447918
phase:q3	truth	W	11.9236	0.478812	-0.593748	0.047534	-0.352536	0.0564464	1.96614	4	8.8	0	1.19236e-06	0.593748
phase:q3	rms	U(joint)	10.1975	0.352391	1.34809	0.0264022	1.81735	0.0711853	21.1496	14	8.8	0	1.01975e-06	1.34809
phase:q3	rms	V(joint)	10.1975	0.352391	1.30775	0.0266727	1.7102	0.0697623	21.1496	14	8.8	0	1.01975e-06	1.30775
phase:q3	rms	W(joint)	10.1975	0.352391	-0.385174	0.0512624	-0.148359	0.0394899	21.1496	14	8.8	0	1.01975e-06	0.385174
phase:q3	share	U(joint)	7.26788	0.222484	1.067	0.0206081	1.13849	0.0439777	26.361	14	8.8	0	7.26788e-07	1.067
phase:q3	share	V(joint)	7.26788	0.222484	1.07831	0.0209046	1.16276	0.0450835	26.361	14	8.8	0	7.26788e-07	1.07831
phase:q3	share	W(joint)	7.26788	0.222484	-0.490313	0.025829	-0.240407	0.0253286	26.361	14	8.8	0	7.26788e-07	0.490313
phase:q3	truth	U(joint)	10.737	0.388763	1.35413	0.0275531	1.83366	0.0746206	25.477	14	8.8	0	1.0737e-06	1.35413
phase:q3	truth	V(joint)	10.737	0.388763	1.35028	0.0278006	1.82326	0.0750774	25.477	14	8.8	0	1.0737e-06	1.35028
phase:q3	truth	W(joint)	10.737	0.388763	-0.479515	0.0505708	-0.229935	0.0484989	25.477	14	8.8	0	1.0737e-06	0.479515
phase:q4	rms	U	4.94814	0.970169	1.5816	0.0413012	2.50145	0.130644	2.27398	4	8.8	0	4.94814e-07	1.5816
phase:q4	share	U	5.87709	1.06312	1.65005	0.043155	2.72266	0.142416	0.502374	4	8.8	0	5.87709e-07	1.65005
phase:q4	truth	U	5.16505	0.993351	1.59702	0.0418073	2.55048	0.133534	2.33664	4	8.8	0	5.16505e-07	1.59702
phase:q4	rms	V	5.33656	0.863532	1.46773	0.0389963	2.15424	0.114472	0.642188	4	8.8	0	5.33656e-07	1.46773
phase:q4	share	V	4.06004	1.03916	1.67392	0.0426795	2.80202	0.142884	4.882	4	8.8	0	4.06004e-07	1.67392
phase:q4	truth	V	5.66689	0.903657	1.49899	0.0398971	2.24698	0.119611	0.735699	4	8.8	0	5.66689e-07	1.49899
phase:q4	rms	W	6.19252	0.664698	0.875134	0.0546057	0.76586	0.0955746	0.641349	4	8.8	0	6.19252e-07	0.875134
phase:q4	share	W	7.82864	1.25469	0.794554	0.141934	0.631316	0.225548	1.44965	4	8.8	0	7.82864e-07	0.794554
phase:q4	truth	W	5.92569	0.654051	0.903546	0.0516415	0.816395	0.093321	1.17646	4	8.8	0	5.92569e-07	0.903546
phase:q4	rms	U(joint)	5.66326	0.462902	1.55474	0.0268747	2.41722	0.0835666	4.87799	14	8.8	0	5.66326e-07	1.55474
phase:q4	rms	V(joint)	5.66326	0.462902	1.45488	0.0267926	2.11667	0.0779599	4.87799	14	8.8	0	5.66326e-07	1.45488
phase:q4	rms	W(joint)	5.66326	0.462902	0.91426	0.0392577	0.835871	0.0717834	4.87799	14	8.8	0	5.66326e-07	0.91426
phase:q4	share	U(joint)	5.69598	0.639391	1.65644	0.0308809	2.74379	0.102305	12.2306	14	8.8	0	5.69598e-07	1.65644
phase:q4	share	V(joint)	5.69598	0.639391	1.61362	0.0318456	2.60378	0.102774	12.2306	14	8.8	0	5.69598e-07	1.61362
phase:q4	share	W(joint)	5.69598	0.639391	1.00009	0.063253	1.00019	0.126518	12.2306	14	8.8	0	5.69598e-07	1.00009
phase:q4	truth	U(joint)	5.68796	0.467491	1.57767	0.0269354	2.48903	0.0849901	4.65856	14	8.8	0	5.68796e-07	1.57767
phase:q4	truth	V(joint)	5.68796	0.467491	1.49819	0.0267693	2.24456	0.080211	4.65856	14	8.8	0	5.68796e-07	1.49819
phase:q4	truth	W(joint)	5.68796	0.467491	0.920598	0.038888	0.847501	0.0716005	4.65856	14	8.8	0	5.68796e-07	0.920598
