det	event	block	status	plane	rr_bin	N	abs	sum_y	sum_yhat	uncov_y
sbnd	nusel_evt283229	60	3	V	5-10	25	133348	252466	213686	0
sbnd	nusel_evt283229	60	3	V	10-20	59	136092	593797	544137	0
sbnd	nusel_evt283229	60	3	V	20-40	129	538837	1437160	1063485	0
sbnd	nusel_evt283229	60	3	V	40+	740	2841528	8638580	7722494	5989
sbnd	nusel_evt283229	60	3	W	0-2	22	509124	658467	200507	0
sbnd	nusel_evt283229	60	3	W	2-5	22	257455	305653	64648	0
sbnd	nusel_evt283229	60	3	W	5-10	34	173788	312021	210211	0
sbnd	nusel_evt283229	60	3	W	10-20	82	69338	547404	541876	0
sbnd	nusel_evt283229	60	3	W	20-40	152	344105	1202884	1022303	0
sbnd	nusel_evt283229	60	3	W	40+	1022	1260382	7947895	7493975	28377
sbnd	nusel_evt283463	140	3	U	0-2	21	55728	127233	97025	0
sbnd	nusel_evt283463	140	3	U	2-5	10	76052	97318	31314	0
sbnd	nusel_evt283463	140	3	U	5-10	42	203867	371814	219267	0
sbnd	nusel_evt283463	140	3	U	10-20	30	269517	445753	208698	0
sbnd	nusel_evt283463	140	3	U	20-40	22	363360	469791	160251	0
sbnd	nusel_evt283463	140	3	V	0-2	10	76632	132192	87556	0
sbnd	nusel_evt283463	140	3	V	2-5	28	546936	571977	226023	0
sbnd	nusel_evt283463	140	3	V	5-10	3	167359	88500	255859	0
sbnd	nusel_evt283463	140	3	V	10-20	11	197902	183995	245185	0
sbnd	nusel_evt283463	140	3	V	20-40	42	186394	315887	167197	0
sbnd	nusel_evt283463	140	3	W	0-2	16	64856	141040	94104	0
sbnd	nusel_evt283463	140	3	W	2-5	25	81638	138042	79120	0
sbnd	nusel_evt283463	140	3	W	5-10	42	112796	257068	226358	0
sbnd	nusel_evt283463	140	3	W	10-20	43	185422	402957	326869	0
sbnd	nusel_evt283463	140	3	W	20-40	34	103277	215119	183430	0
sbnd	nusel_evt284103	80	7	U	0-2	14	123935	209267	97554	0
sbnd	nusel_evt284103	80	7	U	2-5	21	118315	167766	75539	0
sbnd	nusel_evt284103	80	7	U	5-10	35	116136	345717	322949	0
sbnd	nusel_evt284103	80	7	U	10-20	62	285559	574957	690916	0
sbnd	nusel_evt284103	80	7	U	20-40	116	648477	1231533	1064826	0
sbnd	nusel_evt284103	80	7	U	40+	794	1729939	6886823	6554816	0
sbnd	nusel_evt284103	80	7	V	0-2	16	238477	301315	89336	0
sbnd	nusel_evt284103	80	7	V	2-5	31	78132	152116	93382	0
sbnd	nusel_evt284103	80	7	V	5-10	46	120136	284957	289697	0
sbnd	nusel_evt284103	80	7	V	10-20	96	370273	730625	653546	0
sbnd	nusel_evt284103	80	7	V	20-40	180	535129	1098329	1013584	0
sbnd	nusel_evt284103	80	7	V	40+	1156	1720663	6050472	6134265	0
sbnd	nusel_evt284103	80	7	W	0-2	11	149926	259228	125356	0
sbnd	nusel_evt284103	80	7	W	2-5	10	90195	187135	100518	0
sbnd	nusel_evt284103	80	7	W	5-10	27	285639	586671	301862	0
sbnd	nusel_evt284103	80	7	W	10-20	60	713260	1410346	697086	0
sbnd	nusel_evt284103	80	7	W	20-40	117	1834281	2942146	1107865	0
sbnd	nusel_evt284103	80	7	W	40+	672	1474277	7010765	6083642	42730
sbnd	nusel_evt284145	110	4	U	0-2	9	103282	253397	186517	0
sbnd	nusel_evt284145	110	4	U	2-5	8	67415	291930	235159	0
sbnd	nusel_evt284145	110	4	U	5-10	10	190894	516263	381429	0
sbnd	nusel_evt284145	110	4	U	10-20	16	198931	666419	675284	0
sbnd	nusel_evt284145	110	4	U	20-40	93	362643	1610456	1434505	0
sbnd	nusel_evt284145	110	4	U	40+	1266	5440835	12088713	11649060	286324
sbnd	nusel_evt284145	110	4	V	0-2	15	38462	143992	130442	0
sbnd	nusel_evt284145	110	4	V	2-5	31	34860	191679	201687	0
sbnd	nusel_evt284145	110	4	V	5-10	43	55642	252826	251996	0
sbnd	nusel_evt284145	110	4	V	10-20	89	124417	801220	766745	0
sbnd	nusel_evt284145	110	4	V	20-40	169	562191	1652917	1411466	0
sbnd	nusel_evt284145	110	4	V	40+	1507	6088977	12879591	11634414	167658
sbnd	nusel_evt284145	110	4	W	0-2	21	58536	180913	131419	0
sbnd	nusel_evt284145	110	4	W	2-5	33	34338	231435	220459	0
sbnd	nusel_evt284145	110	4	W	5-10	45	51177	287527	260536	0
sbnd	nusel_evt284145	110	4	W	10-20	90	116615	820638	772055	0
sbnd	nusel_evt284145	110	4	W	20-40	193	217889	1476455	1397576	0
sbnd	nusel_evt284145	110	4	W	40+	1803	5061374	15922157	11984001	45506
sbnd	nusel_evt284657	50	7	U	0-2	13	64232	108487	65357	0
sbnd	nusel_evt284657	50	7	U	2-5	18	71887	86494	29799	0
sbnd	nusel_evt284657	50	7	U	5-10	43	113363	640457	608162	0
sbnd	nusel_evt284657	50	7	U	10-20	60	358285	966511	827892	0
sbnd	nusel_evt284657	50	7	U	20-40	114	680043	1700309	1272306	0
sbnd	nusel_evt284657	50	7	U	40+	310	942720	4227931	3661775	0
sbnd	nusel_evt284657	50	7	V	0-2	13	110507	189018	147611	0
sbnd	nusel_evt284657	50	7	V	2-5	19	79945	264600	242237	0
sbnd	nusel_evt284657	50	7	V	5-10	28	132555	496027	427068	0
sbnd	nusel_evt284657	50	7	V	10-20	82	184827	851201	761368	0
sbnd	nusel_evt284657	50	7	V	20-40	159	534488	1486953	1174351	0
sbnd	nusel_evt284657	50	7	V	40+	528	960739	3964079	3476856	0
sbnd	nusel_evt284657	50	7	W	0-2	14	64167	122158	93303	0
sbnd	nusel_evt284657	50	7	W	2-5	18	78531	131536	55715	0
sbnd	nusel_evt284657	50	7	W	5-10	48	130750	686876	576108	0
sbnd	nusel_evt284657	50	7	W	10-20	88	83046	834510	812346	0
sbnd	nusel_evt284657	50	7	W	20-40	174	344885	1392851	1199952	0
sbnd	nusel_evt284657	50	7	W	40+	666	801217	3711372	3411463	0
sbnd	nusel_evt285185	210	0	U	0-2	19	79291	194740	149761	0
sbnd	nusel_evt285185	210	0	U	2-5	24	39922	157872	165598	0
sbnd	nusel_evt285185	210	0	U	5-10	40	157449	580723	527390	0
sbnd	nusel_evt285185	210	0	U	10-20	80	93679	800703	789976	0
sbnd	nusel_evt285185	210	0	U	20-40	173	175881	1255940	1207739	0
sbnd	nusel_evt285185	210	0	U	40+	850	1189720	5815823	5427027	10053
sbnd	nusel_evt285185	210	0	V	0-2	18	97796	200779	153031	0
sbnd	nusel_evt285185	210	0	V	2-5	28	69165	172338	161465	0
sbnd	nusel_evt285185	210	0	V	5-10	26	164947	563221	518828	0
sbnd	nusel_evt285185	210	0	V	10-20	51	167531	869872	815615	0
sbnd	nusel_evt285185	210	0	V	20-40	81	356358	1237151	1227195	0
sbnd	nusel_evt285185	210	0	V	40+	397	1572629	5896943	5558888	0
sbnd	nusel_evt285185	210	0	W	0-2	18	72616	214354	154284	0
sbnd	nusel_evt285185	210	0	W	2-5	27	17319	168221	162642	0
sbnd	nusel_evt285185	210	0	W	5-10	44	105269	594365	525806	0
sbnd	nusel_evt285185	210	0	W	10-20	90	76010	769907	749187	0
sbnd	nusel_evt285185	210	0	W	20-40	186	148073	1209202	1189147	0
sbnd	nusel_evt285185	210	0	W	40+	931	1569565	5981146	5057803	0
sbnd	nusel_evt285366	130	7	U	0-2	17	260281	486478	332359	102741
sbnd	nusel_evt285366	130	7	U	2-5	11	68443	115076	167641	0
sbnd	nusel_evt285366	130	7	U	5-10	38	101132	491063	481605	0
sbnd	nusel_evt285366	130	7	U	10-20	74	244006	941233	909739	0
sbnd	nusel_evt285366	130	7	U	20-40	156	508080	1866655	1708811	2952
sbnd	nusel_evt285366	130	7	U	40+	203	791619	2307699	2090800	23427
sbnd	nusel_evt285366	130	7	V	0-2	19	358395	684819	344426	0
sbnd	nusel_evt285366	130	7	V	2-5	31	72737	351275	291022	0
sbnd	nusel_evt285366	130	7	V	5-10	42	72569	481713	452450	0
sbnd	nusel_evt285366	130	7	V	10-20	88	143339	927263	892552	0
sbnd	nusel_evt285366	130	7	V	20-40	178	284544	1651745	1644611	0
sbnd	nusel_evt285366	130	7	V	40+	229	494958	1941814	2071762	0
sbnd	nusel_evt285366	130	7	W	0-2	20	366451	654363	346390	0
sbnd	nusel_evt285366	130	7	W	2-5	26	46280	345572	304272	0
sbnd	nusel_evt285366	130	7	W	5-10	40	31967	476099	463690	0
sbnd	nusel_evt285366	130	7	W	10-20	73	56629	920837	900266	0
sbnd	nusel_evt285366	130	7	W	20-40	154	154941	1791061	1687178	0
sbnd	nusel_evt285366	130	7	W	40+	191	368624	2213604	1882266	41345
sbnd	nusel_evt285443	70	3	U	0-2	6	84350	122508	64760	0
sbnd	nusel_evt285443	70	3	U	2-5	4	51944	31115	83059	0
sbnd	nusel_evt285443	70	3	U	5-10	16	323862	397339	344291	0
sbnd	nusel_evt285443	70	3	U	10-20	12	252213	381019	128806	0
sbnd	nusel_evt285443	70	3	U	20-40	15	409579	684538	456573	0
sbnd	nusel_evt285443	70	3	U	40+	391	2060773	4902936	5566559	0
sbnd	nusel_evt285443	70	3	V	0-2	22	99408	179339	96525	0
sbnd	nusel_evt285443	70	3	V	2-5	26	67566	168177	115323	0
sbnd	nusel_evt285443	70	3	V	5-10	19	168181	238517	80834	0
sbnd	nusel_evt285443	70	3	V	40+	417	1799314	5810106	4716122	0
sbnd	nusel_evt285443	70	3	W	0-2	18	54992	143722	119414	0
sbnd	nusel_evt285443	70	3	W	2-5	23	30343	106535	119064	0
sbnd	nusel_evt285443	70	3	W	5-10	36	127108	341228	287556	0
sbnd	nusel_evt285443	70	3	W	10-20	5	21464	50929	44223	0
sbnd	nusel_evt285443	70	3	W	20-40	12	37609	76939	56970	0
sbnd	nusel_evt285443	70	3	W	40+	745	1020972	5532043	5296487	0
sbnd	nusel_evt285795	110	0	U	0-2	18	129651	162452	34909	0
sbnd	nusel_evt285795	110	0	U	2-5	19	145377	201460	71095	0
sbnd	nusel_evt285795	110	0	U	5-10	46	457226	671707	228565	0
sbnd	nusel_evt285795	110	0	U	10-20	72	122532	425644	438298	0
sbnd	nusel_evt285795	110	0	U	20-40	69	590800	1778190	1517288	0
sbnd	nusel_evt285795	110	0	U	40+	140	1022060	2403694	2146486	0
sbnd	nusel_evt285795	110	0	V	0-2	18	134413	158170	28179	0
sbnd	nusel_evt285795	110	0	V	2-5	12	78085	91499	41594	0
sbnd	nusel_evt285795	110	0	V	5-10	37	82072	210279	209629	0
sbnd	nusel_evt285795	110	0	V	10-20	64	115212	486077	428089	0
sbnd	nusel_evt285795	110	0	V	20-40	146	578595	1821451	1438944	0
sbnd	nusel_evt285795	110	0	V	40+	239	629709	2029636	2040417	0
sbnd	nusel_evt285795	110	0	W	0-2	18	131917	149326	38291	40566
sbnd	nusel_evt285795	110	0	W	2-5	19	69156	129357	76291	0
sbnd	nusel_evt285795	110	0	W	5-10	22	29373	238678	221185	0
sbnd	nusel_evt285795	110	0	W	10-20	49	85942	507247	437775	0
sbnd	nusel_evt285795	110	0	W	20-40	181	335703	1667774	1485277	0
sbnd	nusel_evt285795	110	0	W	40+	360	327884	2121446	2058686	0
sbnd	nusel_evt285929	130	3	U	0-2	16	119045	460248	365615	0
sbnd	nusel_evt285929	130	3	U	2-5	19	109272	589491	565289	0
sbnd	nusel_evt285929	130	3	U	5-10	38	120524	843672	829358	0
sbnd	nusel_evt285929	130	3	U	10-20	31	93073	516280	495967	0
sbnd	nusel_evt285929	130	3	U	20-40	72	154246	683582	667452	0
sbnd	nusel_evt285929	130	3	U	40+	1738	3979580	14775774	14341508	0
sbnd	nusel_evt285929	130	3	V	0-2	19	149714	429306	322780	0
sbnd	nusel_evt285929	130	3	V	2-5	30	110692	587762	554824	0
sbnd	nusel_evt285929	130	3	V	5-10	49	81184	780075	740999	0
sbnd	nusel_evt285929	130	3	V	10-20	37	84205	514184	454149	0
sbnd	nusel_evt285929	130	3	V	20-40	88	184396	728387	660579	0
sbnd	nusel_evt285929	130	3	V	40+	1993	3307568	14359316	13005536	0
sbnd	nusel_evt285929	130	3	W	0-2	19	102442	404683	326689	0
sbnd	nusel_evt285929	130	3	W	2-5	31	46614	615500	601908	0
sbnd	nusel_evt285929	130	3	W	5-10	44	34972	735533	732189	0
