det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_10	52	0	4671	4676	6	3.71	4.36	-7.0	560.1	336.1	0.73	2.35	3	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.17	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0	6.54		
pdhd	028084_10	52	0	4685	4687	3	1.34	1.85	-3.5	564.1	331.0	0.49	2.18	3	FIT	0	1.00	1.00	1.00	0.00	0.33	0.00	1.00	1.00	3live:i/3live:t	1			
pdhd	028084_11	34	0	401	402	2	1.11	1.11	-191.3	253.3	3.9	0.49	1.76	2	FIT	0	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:t/3live:i	1			
pdhd	028084_11	34	0	443	446	4	2.31	0.97	-188.8	269.5	11.2	1.50	1.99	1	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0	1.22		
pdhd	028084_11	34	0	457	458	2	1.26	1.53	-187.8	276.3	10.4	0.67	1.10	1	FIT	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i	0			
pdhd	028084_11	34	0	460	461	2	1.26	1.89	-187.7	278.1	10.8	0.76	1.54	1	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0	4.18		
pdhd	028084_11	34	0	467	469	3	1.97	2.45	-187.4	282.5	11.9	0.80	1.76	1	XID	1	0.40	1.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/3live:i	0			
pdhd	028084_11	34	0	485	503	19	11.57	11.54	-184.2	297.1	12.3	0.76	2.59	3	XID	1	0.26	1.00	1.00	0.00	0.00	0.00	0.00	0.05	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i/3live:i	0			
pdhd	028084_11	34	0	505	510	6	3.49	4.01	-182.6	304.8	14.2	0.64	1.60	3	XID	1	0.38	1.00	1.00	0.00	0.00	0.00	0.00	0.17	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	515	517	3	1.98	2.38	-181.9	309.2	14.6	0.74	1.54	2	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.33	3live:i/3live:i/3live:i/3live:i	0	2.95		
