label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:full	rms	W	1	634.755	1391	2.73296e+07	2.48818	1.45035	1.41474	4.02648	1.01938	6.08904	1.45519e-11	0	0.782943
phase:full	rms	W	2	995.216	1369	2.73082e+07	2.5159	1.73793	1.53386	4.16463	0.645146	5.66209	1.45519e-11	0	0.756675
phase:full	rms	W	3	1353.15	1318	2.72902e+07	2.5315	1.91478	1.64362	4.24311	0.641601	5.4436	1.45519e-11	0	0.73275
phase:full	rms	W	4	1704.16	1332	2.73286e+07	2.59801	2.08614	1.74457	4.58342	0.761728	5.44121	1.45519e-11	0	0.724668
phase:full	rms	W	5	2070.19	1265	2.73101e+07	2.71674	2.23605	1.84395	5.21367	0.658019	5.78093	1.45519e-11	0	0.707461
phase:full	share	W	0	235.4	1325	2.72847e+07	2.6602	1.066	1.26978	1.86319	0.371894	7.55264	1.45519e-11	0	0.786476
phase:full	share	W	1	634.755	1391	2.73296e+07	2.48818	1.45035	1.41474	1.92541	0.301792	6.08904	1.45519e-11	0	0.782943
phase:full	share	W	2	995.216	1369	2.73082e+07	2.5159	1.73793	1.53386	2.4209	0.29325	5.66209	1.45519e-11	0	0.756675
phase:full	share	W	3	1353.15	1318	2.72902e+07	2.5315	1.91478	1.64362	2.92425	0.440278	5.4436	1.45519e-11	0	0.73275
phase:full	share	W	4	1704.16	1332	2.73286e+07	2.59801	2.08614	1.74457	3.10606	0.28248	5.44121	1.45519e-11	0	0.724668
phase:full	share	W	5	2070.19	1265	2.73101e+07	2.71674	2.23605	1.84395	3.51412	0.291906	5.78093	1.45519e-11	0	0.707461
phase:q1	rms	U	0	266.995	313	9.0481e+06	3.81387	1.86182	2.35588	8.08877	1.62171	16.6294	1.45519e-11	0	0.651629
phase:q1	rms	U	1	669.733	268	9.04623e+06	3.76451	2.71977	2.43774	7.48421	1.40894	12.717	1.45519e-11	0	0.656247
phase:q1	rms	U	2	964.538	272	9.13412e+06	4.16566	2.90091	2.49597	11.8536	3.1381	15.1673	1.45519e-11	0	0.642928
phase:q1	rms	U	3	1249.56	323	9.0517e+06	3.77094	3.16811	2.55099	7.56469	1.49237	10.6906	1.45519e-11	0	0.652159
phase:q1	rms	U	4	1618.99	321	9.10068e+06	4.43356	3.3916	2.6206	14.4714	3.77793	15.021	1.45519e-11	0	0.592045
phase:q1	rms	U	5	2029.33	348	9.08738e+06	3.86579	3.47735	2.69581	8.69585	1.14108	10.1197	1.45519e-11	0	0.613037
phase:q1	share	U	0	266.995	313	9.0481e+06	3.81387	1.86182	2.35588	5.49176	0.81626	16.6294	1.45519e-11	0	0.651629
phase:q1	share	U	1	669.733	268	9.04623e+06	3.76451	2.71977	2.43774	5.18355	1.10046	12.717	1.45519e-11	0	0.656247
phase:q1	share	U	2	964.538	272	9.13412e+06	4.16566	2.90091	2.49597	6.11416	1.09778	15.1673	1.45519e-11	0	0.642928
phase:q1	share	U	3	1249.56	323	9.0517e+06	3.77094	3.16811	2.55099	5.4556	1.21974	10.6906	1.45519e-11	0	0.652159
phase:q1	share	U	4	1618.99	321	9.10068e+06	4.43356	3.3916	2.6206	10.6562	2.77723	15.021	1.45519e-11	0	0.592045
phase:q1	share	U	5	2029.33	348	9.08738e+06	3.86579	3.47735	2.69581	8.61831	0.972383	10.1197	1.45519e-11	0	0.613037
phase:q1	rms	V	0	241.243	368	1.05591e+07	4.10174	1.68507	2.35446	11.2124	4.70572	19.5283	1.45519e-11	0	0.695227
phase:q1	rms	V	1	615.188	341	1.05203e+07	3.69297	2.624	2.43061	6.55185	2.25193	12.6605	1.45519e-11	0	0.674933
phase:q1	rms	V	2	923.392	316	1.05577e+07	3.76479	3.19921	2.49162	7.48777	1.18469	10.1469	1.45519e-11	0	0.65035
phase:q1	rms	V	3	1225.73	252	1.06153e+07	4.10863	3.29836	2.55005	11.282	1.63689	12.5044	1.45519e-11	0	0.641732
phase:q1	rms	V	4	1535.59	368	1.05257e+07	3.91044	3.41131	2.60858	9.19826	2.27832	10.4592	1.45519e-11	0	0.660565
phase:q1	rms	V	5	2011.38	384	1.06067e+07	3.71543	3.46707	2.69598	6.85212	0.635368	9.05216	1.45519e-11	0	0.651577
phase:q1	share	V	0	241.243	368	1.05591e+07	4.10174	1.68507	2.35446	3.18718	1.47149	19.5283	1.45519e-11	0	0.695227
phase:q1	share	V	1	615.188	341	1.05203e+07	3.69297	2.624	2.43061	4.09647	1.32454	12.6605	1.45519e-11	0	0.674933
phase:q1	share	V	2	923.392	316	1.05577e+07	3.76479	3.19921	2.49162	5.5799	0.708707	10.1469	1.45519e-11	0	0.65035
phase:q1	share	V	3	1225.73	252	1.06153e+07	4.10863	3.29836	2.55005	6.20378	1.50212	12.5044	1.45519e-11	0	0.641732
phase:q1	share	V	4	1535.59	368	1.05257e+07	3.91044	3.41131	2.60858	4.90956	0.972364	10.4592	1.45519e-11	0	0.660565
phase:q1	share	V	5	2011.38	384	1.06067e+07	3.71543	3.46707	2.69598	5.49532	0.718551	9.05216	1.45519e-11	0	0.651577
phase:q1	rms	W	0	293.752	183	3.8096e+06	3.04993	1.89201	1.29198	7.04084	1.44722	7.39157	1.45519e-11	0	0.618367
phase:q1	rms	W	1	719.622	201	3.81784e+06	2.99716	2.29895	1.44367	6.69944	1.0478	5.78196	1.45519e-11	0	0.601796
phase:q1	rms	W	2	1101.58	182	3.80317e+06	2.87014	2.33623	1.56728	5.87806	1.32081	5.23611	1.45519e-11	0	0.601648
phase:q1	rms	W	3	1441.5	186	3.83698e+06	2.81801	2.42473	1.6696	5.52335	0.854301	4.84945	0.0580985	0	0.590071
phase:q1	rms	W	4	1777.74	167	3.82372e+06	3.24087	2.45948	1.765	8.2936	2.23059	7.56938	1.45519e-11	0	0.551973
phase:q1	rms	W	5	2096.3	160	3.82308e+06	3.19893	2.53343	1.85084	7.7616	1.51244	7.24048	0.296426	0	0.54302
phase:q1	share	W	0	293.752	183	3.8096e+06	3.04993	1.89201	1.29198	3.6155	0.890942	7.39157	1.45519e-11	0	0.618367
phase:q1	share	W	1	719.622	201	3.81784e+06	2.99716	2.29895	1.44367	4.3039	0.751906	5.78196	1.45519e-11	0	0.601796
phase:q1	share	W	2	1101.58	182	3.80317e+06	2.87014	2.33623	1.56728	4.3103	1.12109	5.23611	1.45519e-11	0	0.601648
phase:q1	share	W	3	1441.5	186	3.83698e+06	2.81801	2.42473	1.6696	4.81131	0.639052	4.84945	0.0580985	0	0.590071
phase:q1	share	W	4	1777.74	167	3.82372e+06	3.24087	2.45948	1.765	6.72278	1.23401	7.56938	1.45519e-11	0	0.551973
phase:q1	share	W	5	2096.3	160	3.82308e+06	3.19893	2.53343	1.85084	6.96233	1.18372	7.24048	0.296426	0	0.54302
phase:q2	rms	U	0	258.539	481	1.41261e+07	3.0274	0.787718	2.35413	6.56323	0.532056	14.0866	1.45519e-11	0	0.816099
phase:q2	rms	U	1	672.799	437	1.41394e+07	3.23669	1.22455	2.43836	7.45868	0.981263	14.9222	1.45519e-11	0	0.801063
phase:q2	rms	U	2	985.907	422	1.41368e+07	3.40077	1.46137	2.50013	8.23789	0.957109	15.6803	1.45519e-11	0	0.775805
phase:q2	rms	U	3	1265.68	484	1.40663e+07	3.42736	1.82746	2.55407	8.37105	0.974606	14.9305	1.45519e-11	0	0.783401
phase:q2	rms	U	4	1581.91	448	1.42028e+07	3.69618	1.92824	2.6137	9.83396	2.37922	16.775	1.45519e-11	0	0.77428
phase:q2	rms	U	5	1966.48	550	1.41353e+07	3.53446	2.11416	2.68443	8.92794	1.31318	15.2289	1.45519e-11	0	0.774974
phase:q2	share	U	0	258.539	481	1.41261e+07	3.0274	0.787718	2.35413	7.04462	0.54782	14.0866	1.45519e-11	0	0.816099
phase:q2	share	U	1	672.799	437	1.41394e+07	3.23669	1.22455	2.43836	7.62444	0.721585	14.9222	1.45519e-11	0	0.801063
phase:q2	share	U	2	985.907	422	1.41368e+07	3.40077	1.46137	2.50013	8.66113	0.614797	15.6803	1.45519e-11	0	0.775805
phase:q2	share	U	3	1265.68	484	1.40663e+07	3.42736	1.82746	2.55407	8.34048	0.70471	14.9305	1.45519e-11	0	0.783401
phase:q2	share	U	4	1581.91	448	1.42028e+07	3.69618	1.92824	2.6137	8.72647	1.19359	16.775	1.45519e-11	0	0.77428
phase:q2	share	U	5	1966.48	550	1.41353e+07	3.53446	2.11416	2.68443	8.69671	0.81705	15.2289	1.45519e-11	0	0.774974
phase:q2	rms	V	0	254.993	359	1.09297e+07	3.73477	1.05976	2.3573	10.0623	3.74256	18.3823	1.45519e-11	0	0.779961
phase:q2	rms	V	1	634.472	394	1.09396e+07	2.94262	1.17785	2.43447	6.22907	0.478105	13.1983	1.45519e-11	0	0.815393
phase:q2	rms	V	2	954.881	321	1.09162e+07	3.3587	1.82373	2.49777	8.03119	1.20109	14.1937	1.45519e-11	0	0.77504
phase:q2	rms	V	3	1247.05	304	1.09813e+07	3.4422	1.73913	2.55412	8.44621	0.836601	15.3477	1.45519e-11	0	0.787906
phase:q2	rms	V	4	1593.89	362	1.07819e+07	3.89076	2.15354	2.61945	11.0341	1.93947	17.3618	1.45519e-11	0	0.754342
phase:q2	rms	V	5	1989.17	349	1.11041e+07	3.47462	2.50685	2.69196	8.61269	1.14062	13.0354	1.45519e-11	0	0.746689
phase:q2	share	V	0	254.993	359	1.09297e+07	3.73477	1.05976	2.3573	8.48471	1.16651	18.3823	1.45519e-11	0	0.779961
phase:q2	share	V	1	634.472	394	1.09396e+07	2.94262	1.17785	2.43447	7.07125	0.566294	13.1983	1.45519e-11	0	0.815393
phase:q2	share	V	2	954.881	321	1.09162e+07	3.3587	1.82373	2.49777	8.6939	0.829807	14.1937	1.45519e-11	0	0.77504
phase:q2	share	V	3	1247.05	304	1.09813e+07	3.4422	1.73913	2.55412	8.15402	0.614145	15.3477	1.45519e-11	0	0.787906
phase:q2	share	V	4	1593.89	362	1.07819e+07	3.89076	2.15354	2.61945	9.61264	1.10997	17.3618	1.45519e-11	0	0.754342
phase:q2	share	V	5	1989.17	349	1.11041e+07	3.47462	2.50685	2.69196	9.96945	0.9924	13.0354	1.45519e-11	0	0.746689
phase:q2	rms	W	0	189.604	453	9.70467e+06	2.58588	0.614605	1.25209	4.86971	1.95939	7.87674	1.45519e-11	0	0.827035
phase:q2	rms	W	1	572.613	481	9.72322e+06	2.61773	1.00961	1.39317	5.00829	1.75938	7.77413	1.45519e-11	0	0.826717
