metric	class	key	how	detail	geometry
michel_found	tp_lost	028084_26/41	STM +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.00916 plateau/mip=0.957 plateau_edge=0.357 ke-topo_min=11 len-topo_min=5.12 | B ks=-0.142 plateau/mip=0.912 plateau_edge=0.312	|d tagger_stop| 0.6 cm, |d stop| 0.7, muon_len 152->146, plateau_med B/A 0.953, ks margin A -0.009 B -0.142, plateau/mip A 0.96 B 0.91
michel_found	tp_lost	028084_27/27	CAND accepted->eval-failed	ks1 0.152->0.056, ratio1 1.508->1.389, res_length 22.8->23.9; the tagged arm: muon_len 272, bits STM, michel 1 conn 2 ke 64.3	
michel_found	tp_lost	028084_3/23	CAND accepted->eval-failed	ks1 0.283->0.227, ratio1 1.371->1.478, res_length 20.9->16.1; the tagged arm: muon_len 39, bits STM, michel 1 conn 1 ke 29.5	
michel_found	tp_lost	028084_8/120	STM +no_bragg|shape_flat --	A STM -> B no_bragg|shape_flat; topo_cleared A 12 B 0; ks=1.68e-05 plateau/mip=1.41 plateau_edge=0.195 ke-topo_min=9.38 len-topo_min=16.5 | B ks=0.00474 plateau/mip=1.31 plateau_edge=0.287	|d tagger_stop| 0.0 cm, |d stop| 2.5, muon_len 325->331, plateau_med B/A 0.934, ks margin A +0.000 B +0.005, plateau/mip A 1.41 B 1.31
michel_found	tp_lost	029107_11/26	CAND accepted->left-charge	ks1 0.061->nan, ratio1 1.169->nan, res_length 23.1->nan; the tagged arm: muon_len 271, bits STM, michel 1 conn 1 ke 6.8	
michel_found	tp_lost	029107_11/86	MICHEL conn 2->0 no-arm vetoed	ke 10.1->1.5 MeV, len 0.9->1.7 cm, dis 9.6->11.7, mip 0.00->0.00, kink -1->-1, n_stop_arms 0->0, veto 0/0->0/1, retreat/split 0/0->0/0; ks=-0.0541 plateau/mip=1.21 plateau_edge=0.388 ke-topo_min=5.11 len-topo_min=-0.617	|d tagger_stop| 1.7 cm, |d stop| 3.6, muon_len 466->466, plateau_med B/A 0.999, ks margin A -0.054 B -0.029, plateau/mip A 1.21 B 1.21
michel_found	tp_lost	029107_14/23	CAND accepted->mid-point-trk	ks1 0.107->0.115, ratio1 1.262->1.010, res_length 28.2->20.2; the tagged arm: muon_len 218, bits STM, michel 1 conn 2 ke 56.7	
michel_found	tp_lost	029107_20/139	STM +- -continuation	A continuation -> B STM; topo_cleared A 12 B 0; ks=0.000741 plateau/mip=1.12 plateau_edge=0.476 ke-topo_min=11.4 len-topo_min=9.44 | B ks=-0.152 plateau/mip=1.06 plateau_edge=0.458	|d tagger_stop| 0.1 cm, |d stop| 3.9, muon_len 299->290, plateau_med B/A 0.941, ks margin A +0.001 B -0.152, plateau/mip A 1.12 B 1.06
michel_found	tp_lost	029107_24/111	CAND accepted->mid-point-trk	ks1 0.022->0.028, ratio1 0.895->0.906, res_length 30.3->30.8; the tagged arm: muon_len 706, bits STM, michel 1 conn 2 ke 29.5	
michel_found	tp_lost	029107_26/111	STM +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 0; ks=-0.00501 plateau/mip=1.22 plateau_edge=0.376 ke-topo_min=-0.916 len-topo_min=-0.9 | B ks=-0.184 plateau/mip=1.19 plateau_edge=0.409	|d tagger_stop| 0.0 cm, |d stop| 0.7, muon_len 239->235, plateau_med B/A 0.973, ks margin A -0.005 B -0.184, plateau/mip A 1.22 B 1.19
michel_found	tp_new	028084_1/142	MICHEL conn 0->1 vetoed	ke 1.2->7.7 MeV, len 0.2->1.8 cm, dis 11.8->0.0, mip 0.00->1.10, kink -1->29, n_stop_arms 1->1, veto 0/1->0/0, retreat/split 0/0->0/0; ks=-0.00425 plateau/mip=1.13 plateau_edge=0.471 ke-topo_min=2.69 len-topo_min=0.343	|d tagger_stop| 9.0 cm, |d stop| 8.3, muon_len 200->208, plateau_med B/A 1.076, ks margin A -0.150 B -0.004, plateau/mip A 1.05 B 1.13
michel_found	tp_new	028084_20/65	STM +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.119 plateau/mip=0.747 plateau_edge=0.147 | B ks=-0.039 plateau/mip=0.79 plateau_edge=0.19 ke-topo_min=-0.118 len-topo_min=0.9	|d tagger_stop| 1.5 cm, |d stop| 2.1, muon_len 56->60, plateau_med B/A 1.058, ks margin A -0.119 B -0.039, plateau/mip A 0.75 B 0.79
michel_found	tp_new	028084_23/113	MICHEL conn 0->1	ke 0.0->16.1 MeV, len 0.0->13.0 cm, dis -1.0->0.0, mip 0.00->0.61, kink -1->159, n_stop_arms 1->2, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.145 plateau/mip=1 plateau_edge=0.402 ke-topo_min=11.1 len-topo_min=11.5	|d tagger_stop| 1.3 cm, |d stop| 0.3, muon_len 90->88, plateau_med B/A 1.063, ks margin A -0.180 B -0.145, plateau/mip A 0.94 B 1.00
michel_found	tp_new	028084_6/42	CAND pre-fit-exit->accepted	ks1 0.021->0.021, ratio1 0.885->0.890, res_length 11.3->11.4; the tagged arm: muon_len 224, bits STM, michel 1 conn 1 ke 28.2	
michel_found	tp_new	029107_1/85	MICHEL conn 0->1 no-arm vetoed	ke 0.7->41.3 MeV, len 1.2->17.4 cm, dis 8.3->0.0, mip 0.00->1.17, kink -1->75, n_stop_arms 0->1, veto 0/1->0/0, retreat/split 0/0->0/0; ks=-0.193 plateau/mip=0.892 plateau_edge=0.292 ke-topo_min=36.3 len-topo_min=15.9	|d tagger_stop| 9.3 cm, |d stop| 15.3, muon_len 133->120, plateau_med B/A 0.750, ks margin A -0.026 B -0.193, plateau/mip A 1.19 B 0.89
michel_found	tp_new	029107_17/116	MICHEL conn 0->1	ke 0.0->19.5 MeV, len 0.0->12.6 cm, dis -1.0->0.0, mip 0.00->0.59, kink -1->34, n_stop_arms 1->1, veto 0/0->0/0, retreat/split 0/1->0/1; ks=-0.143 plateau/mip=1.11 plateau_edge=0.49 ke-topo_min=14.5 len-topo_min=11.1	|d tagger_stop| 0.0 cm, |d stop| 0.6, muon_len 159->155, plateau_med B/A 1.106, ks margin A -0.140 B -0.143, plateau/mip A 1.00 B 1.11
michel_found	tp_new	029107_2/108	CAND mid-point-trk->accepted	ks1 0.065->0.066, ratio1 0.889->0.865, res_length 0.0->0.0; the tagged arm: muon_len 384, bits STM, michel 1 conn 2 ke 58.5	
michel_found	tp_new	029107_21/71	MICHEL conn 0->1	ke 0.0->42.7 MeV, len 0.0->20.2 cm, dis -1.0->0.0, mip 0.00->0.68, kink -1->87, n_stop_arms 1->1, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.13 plateau/mip=1.09 plateau_edge=0.493 ke-topo_min=37.7 len-topo_min=18.7	|d tagger_stop| 0.7 cm, |d stop| 1.4, muon_len 191->180, plateau_med B/A 1.099, ks margin A -0.196 B -0.130, plateau/mip A 0.99 B 1.09
michel_found	tp_new	029107_5/26	CAND mid-point-trk->accepted	ks1 0.058->0.059, ratio1 1.009->1.004, res_length 19.2->12.2; the tagged arm: muon_len 514, bits STM, michel 1 conn 1 ke 34.2	
michel_found	tp_new	029107_9/109	MICHEL conn 0->1 no-arm	ke 0.0->12.8 MeV, len 0.0->5.9 cm, dis -1.0->0.0, mip 0.00->1.05, kink -1->52, n_stop_arms 0->1, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.145 plateau/mip=0.636 plateau_edge=0.0363 ke-topo_min=7.85 len-topo_min=4.38	|d tagger_stop| 1.3 cm, |d stop| 2.4, muon_len 242->243, plateau_med B/A 0.640, ks margin A -0.193 B -0.145, plateau/mip A 0.99 B 0.64
michel_found	fp_new	028084_2/116	STM +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 0; ks=-0.02 plateau/mip=1.02 plateau_edge=0.417 | B ks=-0.152 plateau/mip=1.03 plateau_edge=0.425 ke-topo_min=10.4 len-topo_min=4.47	|d tagger_stop| 4.0 cm, |d stop| 5.7, muon_len 151->141, plateau_med B/A 1.008, ks margin A -0.020 B -0.152, plateau/mip A 1.02 B 1.03
michel_found	fp_new	029107_11/33	MICHEL conn 0->1	ke 0.0->11.1 MeV, len 0.0->3.3 cm, dis -1.0->0.0, mip 0.00->1.27, kink -1->77, n_stop_arms 1->1, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.188 plateau/mip=0.842 plateau_edge=0.242 ke-topo_min=6.07 len-topo_min=1.82	|d tagger_stop| 0.0 cm, |d stop| 1.1, muon_len 187->188, plateau_med B/A 0.808, ks margin A -0.173 B -0.188, plateau/mip A 1.04 B 0.84
michel_found	fp_new	029107_15/40	STM +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 4; ks=-0.0478 plateau/mip=0.726 plateau_edge=0.126 | B ks=-0.0158 plateau/mip=0.784 plateau_edge=0.184 ke-topo_min=1.99 len-topo_min=7.94	|d tagger_stop| 7.7 cm, |d stop| 7.6, muon_len 138->132, plateau_med B/A 1.080, ks margin A -0.048 B -0.016, plateau/mip A 0.73 B 0.78
michel_found	fp_new	029107_20/17	MICHEL conn 0->2	ke 0.0->4.3 MeV, len 0.0->4.1 cm, dis -1.0->2.9, mip 0.00->0.00, kink -1->-1, n_stop_arms 1->1, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.0726 ke-topo_min=-0.656 len-topo_min=2.56	|d tagger_stop| 0.6 cm, |d stop| 1.0, muon_len 19->7, plateau_med B/A 0.000, ks margin A +0.010 B -0.073, plateau/mip A 0.71 B nan
michel_found	fp_gone	029107_12/95	STM +no_bragg|shape_flat --	A STM -> B no_bragg|shape_flat; topo_cleared A 0 B 0; ks=-0.107 plateau/mip=1.12 plateau_edge=0.476 ke-topo_min=13.8 len-topo_min=5.03 | B ks=0.00849 plateau/mip=0.986 plateau_edge=0.386	|d tagger_stop| 0.6 cm, |d stop| 3.1, muon_len 143->165, plateau_med B/A 0.877, ks margin A -0.107 B +0.008, plateau/mip A 1.12 B 0.99
michel_found	fp_gone	029107_19/111	STM +- -no_bragg|shape_flat	A no_bragg|shape_flat -> B STM; topo_cleared A 0 B 0; ks=0.000121 plateau/mip=1.17 plateau_edge=0.43 ke-topo_min=-3.94 len-topo_min=-1.26 | B ks=-0.0812 plateau/mip=1.06 plateau_edge=0.458	|d tagger_stop| 0.0 cm, |d stop| 14.5, muon_len 122->106, plateau_med B/A 0.904, ks margin A +0.000 B -0.081, plateau/mip A 1.17 B 1.06
