run	idx	d27fresh_mains	d27fresh_stm	d27fresh_tgm	d27fresh_nu	d27fresh_warn	d27fresh_degen	d27fresh_wall_s	d27fresh_wires	d25r13fix_mains	d25r13fix_stm	d25r13fix_tgm	d25r13fix_nu	d25r13fix_warn	d25r13fix_degen	d25r13fix_wall_s	d25r13fix_wires
39349	36	33	4	11	3	0	0	16	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	36	5	7	5	0	0	23	(none)
39349	37	40	3	18	3	0	0	42	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	49	9	12	7	0	0	80	(none)
39349	38	44	13	4	13	0	0	162	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	45	10	3	10	0	0	86	(none)
39349	39	40	5	8	5	0	0	26	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	4	5	4	0	0	38	(none)
39349	3	35	4	13	3	0	0	45	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	40	5	6	5	0	0	34	(none)
39349	40	41	2	6	1	0	0	17	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	42	2	4	2	0	0	15	(none)
39349	41	40	5	6	4	0	0	38	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	4	4	4	0	0	26	(none)
39349	42	34	5	10	5	0	0	22	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	6	6	5	0	0	25	(none)
39349	43	34	6	14	5	0	0	26	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	34	3	11	3	0	0	11	(none)
39349	44	54	5	13	5	0	0	97	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	56	8	9	8	0	0	46	(none)
39349	45	41	3	6	3	0	0	25	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	39	4	5	4	0	0	20	(none)
39349	46	38	3	14	3	0	0	32	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	3	6	3	0	0	31	(none)
39349	47	49	4	5	2	0	0	25	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	50	5	4	5	0	0	33	(none)
39349	48	41	9	14	6	0	0	56	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	8	10	7	0	0	77	(none)
39349	49	43	2	9	2	0	0	22	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	44	5	8	3	0	0	13	(none)
39349	4	38	3	9	2	0	0	63	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	45	3	5	3	0	0	27	(none)
39349	50	38	9	9	8	0	0	40	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	40	6	8	6	0	0	22	(none)
39349	51	33	5	16	4	0	0	21	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	2	12	1	0	0	11	(none)
39349	52	35	6	12	6	0	0	38	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	38	9	9	7	0	0	58	(none)
39349	53	38	2	7	2	0	0	62	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	36	4	8	4	0	2	27	(none)
39349	54	40	4	13	4	0	0	37	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	42	4	10	4	0	0	29	(none)
39349	55	42	4	13	4	0	0	40	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	6	10	6	0	0	51	(none)
39349	56	46	4	6	4	0	0	36	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	49	5	4	5	0	0	31	(none)
39349	57	32	4	17	4	0	0	59	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	36	8	11	8	0	0	35	(none)
39349	58	44	2	10	2	0	0	16	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	50	4	7	4	0	0	17	(none)
39349	59	36	2	9	1	0	0	14	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	38	4	6	4	0	0	13	(none)
39349	5	39	3	10	3	0	0	56	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	40	5	8	5	0	0	30	(none)
39349	60	32	2	11	2	0	0	47	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	34	2	7	1	0	0	30	(none)
39349	61	38	4	11	4	0	0	14	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	38	4	9	4	0	0	21	(none)
39349	62	40	8	15	8	0	0	63	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	1	12	1	0	0	20	(none)
39349	63	34	5	14	5	0	0	32	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	32	6	12	6	0	0	36	(none)
39349	64	55	3	13	3	0	0	32	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	53	2	10	2	0	0	26	(none)
39349	65	27	1	16	1	0	0	9	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	6	10	6	0	0	25	(none)
39349	66	50	4	6	2	0	0	22	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	45	9	5	7	0	0	26	(none)
39349	67	48	5	14	5	0	0	42	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	47	3	13	3	0	0	25	(none)
39349	68	46	9	6	8	0	0	45	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	45	8	6	8	0	0	39	(none)
39349	69	36	4	19	4	0	0	45	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	40	5	15	5	0	0	28	(none)
39349	6	40	2	12	2	0	0	51	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	44	4	11	4	0	0	29	(none)
39349	70	47	4	5	4	0	0	85	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	49	6	4	6	0	0	52	(none)
39349	71	40	8	16	7	0	0	136	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	44	4	13	3	0	0	22	(none)
39349	72	47	7	12	7	0	0	163	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	49	5	9	5	0	0	54	(none)
39349	73	41	9	14	8	0	0	63	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	50	8	7	7	0	0	45	(none)
39349	74	43	8	6	5	0	0	21	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	44	6	6	5	0	0	16	(none)
39349	75	51	9	11	7	0	0	54	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	50	5	8	5	0	0	43	(none)
39349	76	43	4	10	4	0	0	36	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	48	5	7	5	0	0	31	(none)
39349	77	40	5	12	5	0	0	97	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	47	7	6	6	0	0	37	(none)
39349	78	32	2	11	2	0	0	23	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	41	5	5	5	0	0	33	(none)
39349	79	43	6	12	5	0	0	52	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	48	5	7	4	0	0	27	(none)
39349	7	45	10	13	8	0	0	204	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	5	12	4	0	0	48	(none)
39349	80	42	1	9	1	0	0	18	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	2	7	1	0	0	13	(none)
39349	81	35	5	10	5	0	0	39	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	44	4	7	4	0	0	36	(none)
39349	82	37	6	5	6	0	0	39	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	1	5	1	0	0	15	(none)
39349	83	51	4	13	4	0	0	36	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	55	3	8	2	0	0	38	(none)
39349	8	31	4	8	4	0	0	28	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	29	4	9	4	0	0	10	(none)
39349	9	35	4	8	4	0	0	36	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	34	7	7	7	0	0	47	(none)
