sample	event	krow	obj	pdg	energy_MeV	info	included
mcp2k	179054	0	8	11	1.8156883716583252	2	3
mcp2k	179054	0	9	11	2.225088596343994	2	3
mcp2k	179054	0	10	11	0.9160222411155701	2	3
mcp2k	179054	1	0	2212	173.09519958496094	1	1
mcp2k	179054	1	1	13	263.8067932128906	1	1
mcp2k	179054	1	2	11	4.761471748352051	2	1
mcp2k	179054	1	3	11	3.0338523387908936	2	3
mcp2k	179054	1	4	2212	4.154439926147461	0	3
mcp1k	169626	0	0	11	102.73680114746094	2	1
mcp1k	169626	0	1	11	12.580034255981445	2	1
mcp1k	169626	0	2	11	511.50384521484375	2	1
mcp1k	169626	0	3	11	9.900457382202148	2	3
mcp1k	169626	0	4	11	1.256311058998108	2	3
mcp1k	169626	0	5	11	0.2167079746723175	2	3
ncpi0	142421	0	0	211	502.73760986328125	0	1
ncpi0	142421	0	1	211	197.80413818359375	0	1
ncpi0	142421	0	2	13	350.3073425292969	1	1
ncpi0	142421	0	3	11	555.8663940429688	2	1
ncpi0	142421	0	4	11	3.5100600719451904	2	1
ncpi0	142421	0	5	11	8.97286605834961	2	1
ncpi0	142421	0	6	2212	3.433018445968628	0	3
ncpi0	142421	0	7	11	4.592657566070557	2	3
ncpi0	142421	0	8	11	2.701333522796631	2	3
ncpi0	142421	0	9	11	1.241525650024414	2	3
ncpi0	142421	0	10	11	1.3454984426498413	2	3
ncpi0	142421	0	11	11	0.08881980180740356	2	3
ncpi0	142421	0	12	11	2.3000800609588623	2	3
ncpi0	142421	0	13	2212	4.951222896575928	0	3
ncpi0	142421	0	14	11	2.978696823120117	2	3
ncpi0	142421	0	15	11	1.9602378606796265	2	3
ncpi0	142421	0	16	2212	3.1964447498321533	0	3
ncpi0	142421	0	17	11	1.5475237369537354	2	3
ncpi0	142421	0	18	11	672.8121948242188	2	3
mcp2k	318769	0	0	13	117.78681945800781	1	1
mcp2k	318769	0	1	211	178.14842224121094	0	1
mcp2k	318769	0	2	11	95.33969116210938	2	1
mcp2k	318769	0	3	11	4.259483337402344	2	1
mcp2k	318769	0	4	11	3.387253522872925	2	1
mcp2k	318769	0	5	11	2.1809616088867188	2	1
mcp2k	318769	0	6	11	1.9657906293869019	2	1
mcp2k	318769	0	7	11	195.6779327392578	2	3
mcp2k	318769	0	8	11	2.244582414627075	2	3
mcp2k	318769	0	9	11	4.723234176635742	2	3
mcp2k	318769	0	10	11	2.9084298610687256	2	3
mcp2k	318769	0	11	11	3.8095524311065674	2	3
mcp2k	318769	0	12	11	2.2231972217559814	2	3
mcp2k	318769	0	13	11	0.23629562556743622	2	3
mcp2k	318769	0	14	11	1.2431046962738037	2	3
mcp2k	318769	0	15	2212	0.7134849429130554	0	3
mcp2k	318769	0	16	11	0.8254393339157104	2	3
mcp2k	318769	0	17	11	1.4644780158996582	2	3
mcp2k	318769	0	18	11	2.598074197769165	2	3
mcp2k	318769	0	19	2212	3.567336082458496	0	3
mcp2k	318769	0	20	2212	2.927882432937622	0	3
mcp2k	318769	0	21	2212	4.023035049438477	0	3
mcp2k	318769	0	22	11	0.659648597240448	2	3
mcp2k	318769	0	23	11	0.22337491810321808	2	3
mcp2k	318769	0	24	11	0.48110878467559814	2	3
mcp2k	318769	0	25	11	2.2644002437591553	2	3
mcp2k	318769	0	26	11	7.00578498840332	2	3
mcp2k	318769	0	27	11	0.16720029711723328	2	3
mcp2k	318769	0	28	11	6.394951820373535	2	3
mcp2k	318769	0	29	11	2.131625175476074	2	3
mcp2k	318769	0	30	11	0.5053982138633728	2	3
mcp2k	318769	0	31	11	0.5030942559242249	2	3
mcp2k	318769	0	32	11	1.207434058189392	2	3
mcp2k	318769	0	33	11	4.625392913818359	2	3
mcp2k	318769	0	34	11	0.9890568256378174	2	3
mcp2k	318769	0	35	11	41.856117248535156	2	1
mcp2k	281781	0	0	13	54.63460159301758	1	1
mcp2k	281781	0	1	2212	103.5458755493164	1	1
mcp2k	281781	0	2	11	423.7961730957031	2	1
mcp2k	281781	0	3	11	1.090343713760376	2	1
mcp2k	281781	0	4	11	0.205828458070755	2	1
mcp2k	281781	0	5	11	0.633457362651825	2	1
mcp2k	281781	0	6	11	3.4885706901550293	2	1
mcp2k	281781	0	7	11	30.979337692260742	2	1
mcp2k	281781	0	8	11	79.3711166381836	2	1
mcp2k	281781	0	9	11	9.498122215270996	2	1
mcp2k	281781	0	10	11	4.766321659088135	2	1
mcp2k	281781	0	11	11	41.77449035644531	2	3
mcp2k	281781	0	12	11	4.190864086151123	2	3
mcp2k	281781	0	13	2212	3.9041969776153564	0	3
mcp2k	281781	0	14	2212	2.4891605377197266	0	3
mcp2k	281781	0	15	2212	1.035620927810669	0	3
mcp2k	281781	0	16	11	0.45433875918388367	2	3
mcp2k	281781	0	17	11	2.002617359161377	2	3
mcp2k	281781	0	18	2212	1.0496902465820312	0	3
mcp2k	281781	0	19	11	1.2060766220092773	2	3
mcp2k	281781	0	20	11	1.4365556240081787	2	3
mcp2k	281781	0	21	11	1.245435357093811	2	3
mcp2k	281781	0	22	2212	2.778315305709839	0	3
mcp2k	281781	0	23	11	0.6451948881149292	2	3
mcp2k	281781	0	24	2212	1.5926005840301514	0	3
mcp2k	281781	0	25	2212	3.810744285583496	0	3
mcp2k	281781	0	26	11	1.7198630571365356	2	3
mcp2k	281781	0	27	11	2.2901899814605713	2	3
mcp2k	281781	0	28	11	2.913466691970825	2	3
mcp2k	281781	0	29	2212	3.675025463104248	0	3
mcp2k	281781	0	30	2212	1.0359512567520142	0	3
mcp2k	281781	0	31	2212	83.09083557128906	1	3
mcp2k	281781	0	32	11	3.997420310974121	2	3
mcp2k	281781	0	33	11	3.6933281421661377	2	3
