sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand
mcp2k	322135	NEARBY	-1	1134	14713091.8	0.324	73.8	1.71	123.1	nan	-149.1	146.0	131.1	7	OTHER	1134	11	1.0	8598	45417568.7
mcp2k	322135	NEARBY	-1	7033	57461885.9	1.2652	314.9	2.06	116.1	nan	-89.2	-0.6	251.4	10	OTHER	7033	4	0.7	8598	45417568.7
mcp2k	322135	NEARBY	-1	8	65564.9	0.0014	0.6	0.27	158.4	nan	-148.7	60.0	148.2	47	OTHER	8	4	4.2	8598	45417568.7
mcp2k	322135	NEARBY	-1	3	8958.3	0.0002	1.4	0.0	70.3	nan	-193.8	129.5	66.5	93	OTHER	3	2	2.7	8598	45417568.7
mcp2k	322135	NEARBY	-1	1	696.0	0.0	0.0	0.0	61.1	nan	-153.7	122.3	68.4	103	COMPANION	1	5	0.5	8598	45417568.7
mcp2k	322135	NEARBY	-1	100	471489.0	0.0104	7.4	0.67	144.0	nan	-149.4	63.5	142.0	106	COMPANION	100	5	2.8	8598	45417568.7
mcp2k	322885	UNHELD	0	11	81035.0	0.0022	3.3	0.3	78.6	3.3	-162.7	167.0	124.3	-1	OWN	0	0	0.0	6649	37018591.3
mcp2k	322885	UNHELD	1	174	534261.8	0.0144	13.3	2.01	153.7	3.0	-167.4	122.4	198.8	-1	OWN	0	0	0.0	6649	37018591.3
mcp2k	322885	UNHELD	2	15	83490.0	0.0023	3.0	0.28	133.0	3.7	-166.9	136.4	171.5	-1	OWN	0	0	0.0	6649	37018591.3
mcp2k	322885	UNHELD	3	9	3474.0	0.0001	5.3	0.0	138.8	3.1	-167.1	134.7	177.5	-1	OWN	0	0	0.0	6649	37018591.3
mcp2k	322885	UNHELD	5	5	28413.0	0.0008	1.6	0.32	91.3	3.0	-163.7	162.1	135.5	-1	OWN	0	0	0.0	6649	37018591.3
mcp2k	323171	UNHELD	0	95	1178573.0	0.0456	5.1	1.07	9.7	3.0	-157.5	-57.9	67.6	-1	OWN	0	0	0.0	2224	25841461.1
mcp2k	323171	NEARBY	-1	23	72932.6	0.0028	3.1	0.28	154.5	nan	-201.8	-2.4	194.9	9	COMPANION	23	1	0.3	2224	25841461.1
mcp2k	323301	UNHELD	0	62	299974.4	0.0097	3.3	1.4	12.3	3.1	-113.4	37.3	59.4	-1	OWN	0	0	0.0	4861	30984515.8
mcp2k	346878	NEARBY	-1	11	261803.4	0.0258	1.1	0.4	37.9	nan	-201.8	144.5	342.5	7	COMPANION	11	7	0.3	1257	10159660.7
mcp2k	346878	NEARBY	-1	3	14979.7	0.0015	0.9	0.13	420.7	nan	-0.1	-137.2	46.7	10	COMPANION	3	7	0.3	1257	10159660.7
mcp2k	347384	NEARBY	-1	12	60346.0	0.0031	1.0	0.33	196.9	nan	-201.8	-157.7	178.6	4	COMPANION	12	2	0.4	2681	19322624.2
mcp2k	347824	NEARBY	-1	2639	16734247.3	0.3932	174.7	1.1	12.3	nan	96.3	105.0	294.7	20	UNMATCHED	2639	1000009	0.2	4674	42561319.6
mcp2k	347824	NEARBY	-1	12	50383.0	0.0012	0.9	0.37	5.5	nan	97.8	116.0	273.5	88	UNMATCHED	12	1000002	1.8	4674	42561319.6
mcp2k	347824	NEARBY	-1	2	2010.8	0.0	0.0	0.0	90.7	nan	33.7	129.1	343.0	109	UNMATCHED	2	1000002	2.0	4674	42561319.6
mcp2k	347824	NEARBY	-1	3	14770.0	0.0003	1.4	0.0	84.4	nan	35.8	131.2	336.5	111	UNMATCHED	3	1000002	1.6	4674	42561319.6
mcp2k	348594	UNHELD	0	30	111771.4	0.0075	6.0	1.19	17.2	3.1	-178.8	114.2	456.2	-1	OWN	0	0	0.0	1934	14811768.2
mcp2k	348638	NEARBY	-1	848	6291247.7	3.5542	48.5	0.79	371.1	nan	-187.6	169.1	461.8	33	UNMATCHED	848	1000014	0.5	246	1770096.0
mcp2k	349276	NEARBY	-1	12	66772.0	0.0024	1.3	0.44	413.0	nan	-201.6	184.7	413.0	6	COMPANION	12	0	0.4	5208	28175162.7
mcp2k	349276	NEARBY	-1	1648	13950985.3	0.4952	97.4	5.98	329.8	nan	-128.7	138.5	349.1	25	OTHER	1648	1	1.2	5208	28175162.7
mcp2k	350354	UNHELD	0	15	97412.3	0.0018	1.0	0.41	68.1	3.0	121.9	115.6	411.3	-1	OWN	0	0	0.0	7129	55349622.8
mcp2k	350354	UNHELD	1	18	156465.8	0.0028	2.7	0.71	57.3	3.1	118.8	123.0	405.2	-1	OWN	0	0	0.0	7129	55349622.8
mcp2k	351564	UNHELD	0	5	9258.3	0.0006	0.8	0.18	140.1	3.1	-135.4	48.0	327.1	-1	OWN	0	0	0.0	2739	14440613.2
mcp2k	351564	NEARBY	-1	15	74667.0	0.0052	47.0	0.33	293.8	nan	-205.2	-5.6	475.0	3	COMPANION	15	0	0.5	2739	14440613.2
mcp2k	352664	NEARBY	-1	10	104179.4	0.0067	0.7	0.28	79.8	nan	-201.8	-120.9	376.0	6	COMPANION	10	0	0.3	2470	15508652.2
mcp2k	354248	NEARBY	-1	2	1498.4	0.0	0.0	0.0	265.7	nan	-0.5	-17.6	492.4	27	UNMATCHED	2	1000006	0.3	10528	121813775.0
mcp2k	388323	NEARBY	-1	5316	42027282.2	3.207	270.1	1.61	106.1	nan	-37.0	-2.2	304.3	18	OTHER	5316	1	3.4	2461	13105039.2
mcp2k	389379	UNHELD	0	14	72863.1	0.0075	0.7	0.24	331.9	19.4	-209.5	80.0	364.5	-1	OWN	0	0	0.0	1365	9681057.5
mcp2k	389379	NEARBY	-1	6	23342.2	0.0024	0.4	0.2	320.1	nan	-201.2	49.4	365.4	39	UNMATCHED	6	1000004	0.3	1365	9681057.5
mcp2k	390391	NEARBY	-1	3	20316.6	0.0016	0.6	0.13	68.4	nan	-144.4	60.0	500.7	3	COMPANION	3	2	0.3	1493	12442611.5
mcp2k	390391	NEARBY	-1	1	3734.9	0.0003	0.0	0.0	8.2	nan	-142.2	96.3	433.8	26	COMPANION	1	2	1.4	1493	12442611.5
mcp2k	390743	NEARBY	-1	1588	10084754.7	0.9297	105.8	0.85	34.3	nan	0.8	-100.0	29.4	19	UNMATCHED	1588	1000003	1.8	1061	10847173.7
mcp2k	390810	NEARBY	-1	18	61774.2	0.0329	2.0	0.69	26.0	nan	-201.8	-137.3	256.2	3	COMPANION	18	3	0.4	354	1880131.9
mcp2k	391063	NEARBY	-1	9	55531.9	0.0268	0.7	0.25	416.2	nan	-201.9	3.2	456.1	1	OTHER	9	21	0.3	183	2072460.2
mcp2k	391513	NEARBY	-1	5548	45023637.5	1.7931	245.7	3.0	373.0	nan	-22.3	3.6	390.5	17	OTHER	5548	4	0.3	4618	25109804.6
mcp2k	391843	NEARBY	-1	5	14983.0	0.0051	1.0	0.36	29.5	nan	201.7	-22.7	89.9	3	UNMATCHED	5	1000000	0.3	420	2913023.0
mcp2k	392009	NEARBY	-1	3508	26435581.8	1.0347	176.4	5.83	320.8	nan	-12.1	108.0	457.7	14	UNMATCHED	3508	1000001	0.3	4159	25548755.5
mcp2k	392009	NEARBY	-1	12	37419.1	0.0015	0.7	0.28	364.7	nan	-82.0	87.9	433.8	59	UNMATCHED	12	1000001	1.1	4159	25548755.5
mcp2k	392174	NEARBY	-1	8	35909.0	0.0101	1.3	0.21	33.8	nan	-201.6	67.0	42.6	2	COMPANION	8	1	0.3	381	3551893.5
mcp2k	392262	NEARBY	-1	1	748.7	0.0002	0.0	0.0	41.7	nan	-57.2	-26.3	500.4	5	COMPANION	1	9	0.4	997	4847856.4
mcp2k	392417	UNHELD	0	36	111038.0	0.0058	4.1	1.18	21.8	3.1	-52.7	-122.2	470.5	-1	OWN	0	0	0.0	3181	19179135.5
mcp2k	392417	NEARBY	-1	16	63262.1	0.0033	2.6	0.3	103.8	nan	-131.6	-84.9	500.7	12	COMPANION	16	6	0.3	3181	19179135.5
mcp2k	392527	NEARBY	-1	4	44346.8	0.0038	0.6	0.15	9.1	nan	95.3	-62.7	462.5	54	UNMATCHED	4	1000009	1.5	1258	11597170.7
mcp2k	392669	NEARBY	-1	2	7975.0	0.0006	0.0	0.0	83.7	nan	-201.7	-56.8	496.8	4	COMPANION	2	0	0.4	1677	14430634.3
mcp2k	392669	NEARBY	-1	17	84641.2	0.0059	1.5	0.35	82.4	nan	-200.4	-53.9	498.7	35	COMPANION	17	0	2.6	1677	14430634.3
mcp2k	392901	NEARBY	-1	29895	223217034.7	45.0292	240.8	23.84	193.0	nan	-7.7	2.8	239.0	14	COMPANION	29895	6	3.1	653	4957161.1
mcp2k	393089	NEARBY	-1	65	462732.1	0.1327	4.0	0.47	91.6	nan	-202.5	104.0	433.5	6	COMPANION	65	8	0.3	394	3486007.1
mcp2k	393089	NEARBY	-1	6	28823.5	0.0083	0.5	0.2	14.5	nan	-133.8	108.5	500.6	9	COMPANION	6	8	0.3	394	3486007.1
mcp2k	393133	NEARBY	-1	4	35813.4	0.0113	0.3	0.16	294.3	nan	-201.9	46.2	202.0	1	OTHER	4	12	0.3	462	3166001.5
mcp2k	393133	NEARBY	-1	1	599.0	0.0002	0.0	0.0	3.5	nan	1.3	199.9	350.4	11	UNMATCHED	1	1000005	0.3	462	3166001.5
mcp2k	393485	NEARBY	-1	5	6589.9	0.0006	0.5	0.2	114.9	nan	-172.3	-80.6	500.7	3	COMPANION	5	2	0.3	1374	10327502.2
mcp2k	393538	NEARBY	-1	347	2097305.6	0.069	12.9	3.28	262.0	nan	-201.6	37.7	484.5	3	COMPANION	347	0	0.3	4747	30391459.9
mcp2k	393727	NEARBY	-1	22	111247.6	0.0143	2.5	0.5	136.8	nan	201.6	34.4	124.0	15	UNMATCHED	22	1000000	0.4	1169	7792580.8
mcp2k	393758	NEARBY	-1	11	53872.2	0.0167	1.3	0.29	51.4	nan	-201.8	-81.2	180.4	4	COMPANION	11	5	0.3	479	3229250.0
mcp2k	394167	NEARBY	-1	2	4405.2	0.0003	0.0	0.0	525.3	nan	-201.4	-169.0	388.9	17	UNMATCHED	2	1000003	0.3	1808	13587994.5
mcp2k	394167	NEARBY	-1	18	120163.4	0.0088	1.1	0.37	48.3	nan	124.9	-61.4	53.4	44	UNMATCHED	18	1000003	0.8	1808	13587994.5
mcp2k	394363	NEARBY	-1	2	2259.7	0.0003	0.0	0.0	86.9	nan	-110.8	-125.1	500.5	8	COMPANION	2	9	0.0	1335	7084079.8
mcp2k	394396	NEARBY	-1	6	23662.8	0.0028	0.7	0.2	122.9	nan	-0.1	14.8	467.9	4	COMPANION	6	6	0.3	1683	8428069.0
mcp2k	394407	NEARBY	-1	1	1219.0	0.0	0.0	0.0	0.6	nan	0.5	199.9	52.8	7	UNMATCHED	1	1000004	0.3	8152	55128005.9
mcp2k	395033	NEARBY	-1	9	83655.6	0.0148	0.4	0.23	15.8	nan	201.7	38.1	158.7	9	UNMATCHED	9	1000005	0.3	509	5635593.2
