sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	292643	18255	0	1	18	-41.0787	-29.5138	58.7763	1557	3	0	224.416	1.02804	1.44846	0.0702779	0	nan	nan	0	0	0	0	53871.8	302	0.4254	6.06241e+07	1	19.0675	427.029	0.153533	435.461	nu-candidate	1	3.414189	-15.0	1024.0032	16.236	11.016	1264396	{"10:1000002": "-1,-1,-1", "11:1000003": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:6": "-1,-1,-1", "14:2": "-1,-1,-1", "15:1000004": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000001": "-1,-1,-1", "18:1000006": "0,0,1", "1:19": "-1,-1,-1", "4:7": "-1,-1,-1", "6:1": "-1,-1,-1"}
mcp1k	292687	18255	0	1	11	-161.883	80.1487	188.873	990	5	1	146.932	1.01931	0.110624	0.0709502	0	nan	nan	0	0	0	0	52772.6	154	0.0705528	3.99104e+07	0	0	2045.22	0.955301	257.14	nu-candidate	1	4.154149	-15.0	796.96375	12.554	7.306	1178044	{"10:1000001": "-1,-1,-1", "11:1": "0,0,0", "12:1000004": "-1,-1,-1", "1:0": "-1,-1,-1", "2:2": "-1,-1,-1", "5:1000005": "-1,-1,-1", "7:1000003": "-1,-1,-1", "8:1000008": "-1,-1,-1", "9:1000006": "-1,-1,-1"}
mcp1k	292797	18255	0	1	-1	nan	nan	nan	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	nan	nan	0	0	-1	-1	-1	cosmic-tagged	1	-1.9416895	-15.0	0.0	8.946	4.073	771508	{"10:1000014": "-1,-1,-1", "11:1000006": "-1,-1,-1", "13:1000003": "-1,-1,-1", "15:1000004": "-1,-1,-1", "17:1000012": "-1,-1,-1", "20:4": "-1,-1,-1", "21:1000009": "-1,-1,-1", "22:1000001": "-1,-1,-1", "23:1000002": "-1,-1,-1", "24:1000010": "-1,-1,-1", "25:1000011": "-1,-1,-1", "26:12": "-1,-1,-1", "27:1000008": "0,1,0", "2:1": "-1,-1,-1", "5:15": "-1,-1,-1", "7:0": "-1,-1,-1", "9:1000018": "-1,-1,-1"}
mcp1k	293127	18255	0	0																					nan	nan		nan	nan	nan	nan	no-bundle	0				5.805	0.893	355240	{"-1:7": "-1,-1,-1", "10:1000000": "-1,-1,-1", "11:1000003": "-1,-1,-1", "12:1000005": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:1000008": "-1,-1,-1", "2:0": "-1,-1,-1", "4:1000004": "-1,-1,-1", "5:1000012": "-1,-1,-1", "9:1000006": "-1,-1,-1"}
mcp1k	293149	18255	0	1	4	-129.002	51.956	403.757	197	2	0	25.9981	1.07257	0.337974	0.238095	25.9981	1.07257	0.337974	25.9981	0	25.9981	0	nan	0	0.137679	6.56293e+06	1	43.8172	-1	-1	-1	nu-candidate	1	-0.46380055	-15.0	315.06177	10.019	6.102	1130460	{"-1:1000013": "-1,-1,-1", "11:1000010": "-1,-1,-1", "13:1000000": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:4": "-1,-1,-1", "17:2": "-1,-1,-1", "4:1": "0,0,1", "6:1000001": "-1,-1,-1", "7:1000006": "-1,-1,-1", "9:1000003": "-1,-1,-1"}
mcp1k	293391	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				5.433	1.497	461916	{"10:1000005": "-1,-1,-1", "12:1000009": "-1,-1,-1", "13:1000007": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1000004": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:17": "-1,-1,-1", "1:2": "-1,-1,-1", "20:3": "-1,-1,-1", "21:6": "-1,-1,-1", "22:5": "-1,-1,-1", "23:1000001": "-1,-1,-1", "2:11": "-1,-1,-1", "3:9": "-1,-1,-1", "4:8": "-1,-1,-1", "5:4": "-1,-1,-1", "6:7": "-1,-1,-1", "7:10": "-1,-1,-1", "8:1000020": "-1,-1,-1", "9:1000010": "0,0,0"}
mcp1k	313781	18255	0	1	9	-121.652	157.087	402.77	116	3	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.158389	2.97225e+06	1	6.41226	-1	-1	-1	nu-candidate	1	-3.170491	-15.0	221.4419	9.846	5.623	1155100	{"10:1": "-1,-1,-1", "11:1000012": "-1,-1,-1", "1:4": "-1,-1,-1", "2:8": "-1,-1,-1", "3:2": "-1,-1,-1", "4:5": "-1,-1,-1", "5:1000011": "-1,-1,-1", "6:1000005": "-1,-1,-1", "7:1000002": "-1,-1,-1", "8:1000004": "-1,-1,-1", "9:6": "0,0,1"}
mcp1k	313847	18255	0	1	19	-42.6213	2.72197	249.213	2073	6	0	327.585	1.07349	0.720027	0.226988	65.3912	1.06777	0.396221	65.3912	65.3912	65.3912	0	47438.8	386	0.600487	1.59192e+08	1	17.7165	448.101	0.841983	237.157	cosmic-tagged	1	3.397235	-15.0	1173.7	20.124	16.788	1309816	{"10:1000007": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1": "1,0,0", "13:4": "-1,-1,-1", "14:1000011": "-1,-1,-1", "1:9": "-1,-1,-1", "2:6": "-1,-1,-1", "4:1000017": "-1,-1,-1", "5:1000003": "-1,-1,-1", "6:1000000": "-1,-1,-1", "7:7": "-1,-1,-1", "8:1000006": "-1,-1,-1", "9:18": "-1,-1,-1"}
mcp1k	313979	18255	0	1	12	-18.2918	-37.354	269.789	1740	2	0	289.113	1.02646	3.72503	0.079823	0	nan	nan	0	0	0	0	52033	427	0.0468582	6.00672e+07	0	0	584.727	0.00816726	602.267	nu-candidate	1	4.6008463	-15.0	921.57043	11.056	7.458	1191888	{"11:1000009": "-1,-1,-1", "12:1000003": "0,0,1", "13:1000004": "-1,-1,-1", "14:0": "-1,-1,-1", "15:1000005": "-1,-1,-1", "16:11": "-1,-1,-1", "17:2": "-1,-1,-1", "18:1": "-1,-1,-1", "1:12": "-1,-1,-1", "4:4": "-1,-1,-1", "5:9": "-1,-1,-1", "6:10": "-1,-1,-1", "7:7": "-1,-1,-1", "8:6": "-1,-1,-1"}
mcp1k	314199	18255	0	0																					nan	nan		nan	nan	nan	nan	no-bundle	0				4.802	1.018	395808	{"-1:10": "-1,-1,-1", "10:1000005": "-1,-1,-1", "11:1000006": "-1,-1,-1", "12:0": "-1,-1,-1", "13:2": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1": "-1,-1,-1", "2:4": "-1,-1,-1", "5:3": "-1,-1,-1", "7:1000003": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
mcp1k	314309	18255	0	0																					nan	nan		nan	nan	nan	nan	nu-candidate	0				5.666	1.050	375844	{"11:3": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:1": "-1,-1,-1", "14:12": "-1,-1,-1", "15:1000007": "-1,-1,-1", "16:1000014": "-1,-1,-1", "17:1000003": "-1,-1,-1", "2:4": "-1,-1,-1", "4:1000010": "0,0,0", "6:1000006": "-1,-1,-1", "7:1000002": "-1,-1,-1", "9:1000000": "-1,-1,-1"}
mcp1k	314507	18255	0	1	17	82.7911	-88.2083	136.16	404	2	0	32.1465	1.01474	0.52708	0.0192308	0	nan	nan	0	0	0	0	66513.2	44	0.42485	1.6205e+07	0	0	1085.34	0.899284	168.944	nu-candidate	1	-0.471943	-15.0	431.21173	9.620	5.798	1194200	{"10:1000002": "-1,-1,-1", "11:1000007": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:3": "-1,-1,-1", "16:1": "-1,-1,-1", "17:1000008": "0,0,1", "2:5": "-1,-1,-1", "4:0": "-1,-1,-1", "5:1000014": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000004": "-1,-1,-1"}
mcp1k	314705	18255	0	1	3	-94.2472	105.796	29.0831	31	1	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0485667	3.12965e+06	1	3.14553	-1	-1	-1	nu-candidate	1	-1.619071	-15.0	115.94327	10.867	5.489	1198724	{"10:1000016": "-1,-1,-1", "11:1000012": "-1,-1,-1", "12:1000011": "-1,-1,-1", "14:1000002": "-1,-1,-1", "16:1000009": "-1,-1,-1", "18:1000006": "-1,-1,-1", "19:1000003": "-1,-1,-1", "1:15": "-1,-1,-1", "21:1000000": "-1,-1,-1", "22:2": "-1,-1,-1", "23:16": "-1,-1,-1", "24:1000007": "-1,-1,-1", "25:1000008": "-1,-1,-1", "26:4": "-1,-1,-1", "3:9": "0,0,1", "5:10": "-1,-1,-1", "6:1": "-1,-1,-1", "7:1000010": "-1,-1,-1", "8:1000018": "-1,-1,-1", "9:1000014": "-1,-1,-1"}
mcp1k	314881	18255	0	0																					nan	nan		nan	nan	nan	nan	nu-candidate	0				6.125	0.947	353972	{"10:6": "-1,-1,-1", "11:7": "-1,-1,-1", "12:1": "-1,-1,-1", "1:9": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000006": "0,0,0", "6:1000002": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
mcp1k	314925	18255	0	0																					nan	nan		nan	nan	nan	nan	no-bundle	0				6.115	1.108	383152	{"-1:1000012": "-1,-1,-1", "-1:5": "-1,-1,-1", "12:11": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000002": "-1,-1,-1", "15:6": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:2": "-1,-1,-1", "1:9": "-1,-1,-1", "2:14": "-1,-1,-1", "3:12": "-1,-1,-1", "4:4": "-1,-1,-1", "6:1": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	315013	18255	0	1	15	-119.912	-56.7381	277.403	1760	6	1	213.476	1.03076	0.687744	0.073477	0	nan	nan	0	0	0	0	52409.7	320	0.436076	7.04609e+07	1	0.763681	538.873	0.173718	490.239	nu-candidate	1	1.9573325	-15.0	639.8248	14.610	10.525	1202660	{"11:1000000": "-1,-1,-1", "12:6": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:0": "-1,-1,-1", "15:4": "0,0,1", "16:1000002": "-1,-1,-1", "2:9": "-1,-1,-1", "4:5": "-1,-1,-1", "5:10": "-1,-1,-1", "7:1": "-1,-1,-1", "9:3": "-1,-1,-1"}
mcp1k	315079	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				5.784	0.963	352008	{"10:1000003": "-1,-1,-1", "11:1000015": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:1000005": "1,0,0", "14:1": "-1,-1,-1", "15:1000001": "-1,-1,-1", "2:3": "-1,-1,-1", "3:1000012": "-1,-1,-1", "4:1000008": "-1,-1,-1", "7:1000006": "-1,-1,-1", "8:1000007": "-1,-1,-1"}
mcp1k	315167	18255	0	1	8	139.481	164.939	222.716	2051	7	1	297.41	1.10532	0.396693	0.19619	174.69	1.09722	0.386673	174.69	157.828	174.69	0	54938.2	84	0.216993	1.03442e+08	1	83.1402	160.177	0.653905	153.924	nu-candidate	1	2.1275537	-8.225074	1729.8242	14.447	10.567	1235712	{"10:1000008": "-1,-1,-1", "11:3": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:12": "-1,-1,-1", "14:1000005": "-1,-1,-1", "15:2": "-1,-1,-1", "1:6": "-1,-1,-1", "2:1": "-1,-1,-1", "5:1000009": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000000": "0,0,0"}
mcp1k	315343	18255	0	1	7	-88.8687	-20.6647	379.247	350	2	0	34.8103	1.07785	0.186464	0.321176	34.8103	1.07785	0.186464	34.8103	34.8103	34.8103	11.863	nan	0	0.115817	1.71512e+07	1	31.8392	-1	-1	-1	nu-candidate	1	-1.2359776	-15.0	415.26245	9.632	5.299	1146660	{"10:1": "-1,-1,-1", "2:1000007": "-1,-1,-1", "5:9": "-1,-1,-1", "6:1000003": "-1,-1,-1", "7:2": "0,0,1", "8:1000002": "-1,-1,-1", "9:1000000": "-1,-1,-1"}
