direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	sel_numu0.9	713	70	18	0	numuCC	252.0	-70.0	-16.2	328.0		0.6				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.356	-0.064	64.4	numu_1_score,numu_3_score,numu_score
LOST	sel_numu0.9	713	72	24	0	numuCC	489.4	-164.6	67.8	39.5		10.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.430	nan		
LOST	sel_numu0.9	713	75	37	0	numuCC	638.1	-44.2	81.2	370.7		23.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	4.328	nan		
LOST	sel_numu0.9	713	87	5	0	numuCC	838.1	-34.0	-4.8	285.8		1.5				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.047	0.168	-67.5	br3_3_score,br3_5_score,br3_6_score,cosmict_2_filled,cosmict_4_filled,lol_1_score,lol_2_score,nue_score,numu_1_score,numu_3_score,numu_score,pio_2_score,sig_1_score,sig_2_score,stw_2_score,stw_4_score,tro_1_score,tro_2_score,tro_4_score,tro_5_score
LOST	sel_numu0.9	714	12	35	1	numuCC	1169.7	-92.3	-116.9	122.3		130.2				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	4.324	nan		
LOST	sel_numu0.9	714	12	6	0	numuCC	1098.9	24.4	90.6	199.1		6.6				dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl	numu	0.9	not matched (< 5 cm)	4.261	nan		
LOST	sel_numu0.9	714	4	39	0	numuCC	415.4	-114.7	-177.6	318.4		8.1				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.047	nan		
LOST	sel_numu0.9	714	73	2	0	numuCC	316.2	-64.5	97.8	156.1		0.7				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.770	-0.118	-1.3	numu_1_score,numu_score
LOST	sel_numu0.9	715	59	7	0	numuCC	555.0	-165.1	-168.0	206.5		39.6				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.924	nan		
LOST	sel_numu0.9	715	68	44	0	numuCC	2904.3	-102.9	-139.1	254.8		1.8				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	2.754	0.679	-257.7	br3_3_score,br3_5_score,br3_6_score,cosmict_3_filled,cosmict_5_filled,lol_1_score,lol_2_score,nue_score,numu_1_score,numu_2_score,numu_3_score,numu_score,pio_2_score,sig_1_score,sig_2_score,stw_2_score,stw_3_score,stw_4_score,tro_1_score,tro_2_score,tro_4_score,tro_5_score
LOST	sel_numu0.9	715	68	50	0	numuCC	276.6	-20.8	163.5	437.6		6.2				dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	4.395	nan		
LOST	sel_numu0.9	715	89	1	1	numuCC	247.3	106.4	-166.0	333.9		38.7				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	1.948	nan		
LOST	sel_numu0.9	717	11	23	1	numuCC	482.3	-116.9	-54.5	416.3		5.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.050	nan		
LOST	sel_numu0.9	717	29	29	1	numuCC	773.7	-46.3	-75.9	156.0		0.5				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	3.253	0.745	74.4	cosmict_2_filled,cosmict_4_filled,numu_1_score,numu_score
LOST	sel_numu0.9	717	32	4	0	numuCC	933.6	113.9	-149.0	237.1		5.9				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.331	nan		
LOST	sel_numu0.9	717	83	38	0	numuCC	563.6	11.3	129.2	191.1		71.3				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	1.757	nan		
LOST	sel_numu0.9	717	88	38	0	numuCC	426.2	-70.0	-75.6	43.2		136.5				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.139	nan		
LOST	sel_numu0.9	719	29	1	1	numuCC	350.1	183.0	81.0	152.3		5.2				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.399	nan		
LOST	sel_numu0.9	719	4	35	2	numuCC	244.7	-97.3	-55.5	265.2		0.8				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.242	0.503	-83.4	cosmict_6_filled,cosmict_flag,cosmict_flag_2,cosmict_flag_7,numu_1_score,numu_3_score,numu_score
