tier	id	sample	cell	metric	base_k	base_n	cell_k	cell_n	delta_pp	lost	gained	p	floor_pp	verdict
primary	M7	cv	tfull	vertex < 5 cm, all true nu in FV (cv)	539	783	533	783	-0.766	42	36	0.5716	0.000	not separable
primary	M8	nuecc	s0rep	vertex < 5 cm, all true nu in FV (nuecc)	1122	1626	1122	1626	0.000	0	0	1.0000	0.000	(floor)
primary	M8	nuecc	cs	vertex < 5 cm, all true nu in FV (nuecc)	1122	1626	1110	1626	-0.738	164	152	0.5361	0.000	not separable
primary	M8	nuecc	p3bw	vertex < 5 cm, all true nu in FV (nuecc)	1122	1626	1133	1626	0.677	141	152	0.5592	0.000	not separable
primary	M8	nuecc	csp3bw	vertex < 5 cm, all true nu in FV (nuecc)	1122	1626	1119	1626	-0.185	148	145	0.9070	0.000	not separable
primary	M8	nuecc	tfull	vertex < 5 cm, all true nu in FV (nuecc)	1122	1626	1133	1626	0.677	147	158	0.5670	0.000	not separable
secondary	S1	nuecc	s0rep	numuCC efficiency on the nuecc arm (90 signal)	47	90	47	90	0.000	0	0	1.0000	0.000	(floor)
secondary	S1	nuecc	cs	numuCC efficiency on the nuecc arm (90 signal)	47	90	48	90	1.111	5	6	1.0000	0.000	--
secondary	S1	nuecc	p3bw	numuCC efficiency on the nuecc arm (90 signal)	47	90	49	90	2.222	3	5	0.7266	0.000	--
secondary	S1	nuecc	csp3bw	numuCC efficiency on the nuecc arm (90 signal)	47	90	45	90	-2.222	6	4	0.7539	0.000	--
secondary	S1	nuecc	tfull	numuCC efficiency on the nuecc arm (90 signal)	47	90	47	90	0.000	6	6	1.0000	0.000	--
secondary	S2	cv	s0rep	nueCC efficiency on the cv arm (5 signal)	4	5	4	5	0.000	0	0	1.0000	0.000	(floor)
secondary	S2	cv	cs	nueCC efficiency on the cv arm (5 signal)	4	5	4	5	0.000	0	0	1.0000	0.000	--
secondary	S2	cv	p3bw	nueCC efficiency on the cv arm (5 signal)	4	5	4	5	0.000	0	0	1.0000	0.000	--
secondary	S2	cv	csp3bw	nueCC efficiency on the cv arm (5 signal)	4	5	3	5	-20.000	1	0	1.0000	0.000	--
secondary	S2	cv	tfull	nueCC efficiency on the cv arm (5 signal)	4	5	4	5	0.000	0	0	1.0000	0.000	--
secondary	S3	cv	s0rep	vertex < 5 cm, true numuCC in FV (cv)	463	557	463	557	0.000	0	0	1.0000	0.000	(floor)
secondary	S3	cv	cs	vertex < 5 cm, true numuCC in FV (cv)	463	557	463	557	0.000	31	31	1.0000	0.000	--
secondary	S3	cv	p3bw	vertex < 5 cm, true numuCC in FV (cv)	463	557	452	557	-1.975	34	23	0.1849	0.000	--
secondary	S3	cv	csp3bw	vertex < 5 cm, true numuCC in FV (cv)	463	557	452	557	-1.975	38	27	0.2145	0.000	--
secondary	S3	cv	tfull	vertex < 5 cm, true numuCC in FV (cv)	463	557	457	557	-1.077	30	24	0.4966	0.000	--
secondary	S4	cv	s0rep	vertex < 5 cm, true NC in FV (cv)	71	221	71	221	0.000	0	0	1.0000	0.000	(floor)
secondary	S4	cv	cs	vertex < 5 cm, true NC in FV (cv)	71	221	66	221	-2.262	16	11	0.4421	0.000	--
secondary	S4	cv	p3bw	vertex < 5 cm, true NC in FV (cv)	71	221	76	221	2.262	9	14	0.4049	0.000	--
secondary	S4	cv	csp3bw	vertex < 5 cm, true NC in FV (cv)	71	221	73	221	0.905	13	15	0.8506	0.000	--
secondary	S4	cv	tfull	vertex < 5 cm, true NC in FV (cv)	71	221	71	221	0.000	12	12	1.0000	0.000	--
secondary	S5	nuecc	s0rep	vertex < 5 cm, true nueCC in FV (nuecc)	1067	1511	1067	1511	0.000	0	0	1.0000	0.000	(floor)
secondary	S5	nuecc	cs	vertex < 5 cm, true nueCC in FV (nuecc)	1067	1511	1058	1511	-0.596	157	148	0.6470	0.000	--
secondary	S5	nuecc	p3bw	vertex < 5 cm, true nueCC in FV (nuecc)	1067	1511	1079	1511	0.794	136	148	0.5140	0.000	--
secondary	S5	nuecc	csp3bw	vertex < 5 cm, true nueCC in FV (nuecc)	1067	1511	1069	1511	0.132	141	143	0.9527	0.000	--
secondary	S5	nuecc	tfull	vertex < 5 cm, true nueCC in FV (nuecc)	1067	1511	1077	1511	0.662	141	151	0.5985	0.000	--
off	M9	off	s0rep	beam-off numu>0.9	5	1000	5	1000	0.000	0	0			rate
off	M10	off	s0rep	beam-off nue>7.0	0	1000	0	1000	0.000	0	0			rate
off	M10	off	s0rep	beam-off nue>4.0	0	1000	0	1000	0.000	0	0			rate
off	M9	off	cs	beam-off numu>0.9	5	1000	4	1000	-0.100	3	2			rate
off	M10	off	cs	beam-off nue>7.0	0	1000	0	1000	0.000	0	0			rate
off	M10	off	cs	beam-off nue>4.0	0	1000	0	1000	0.000	0	0			rate
off	M9	off	p3bw	beam-off numu>0.9	5	1000	2	1000	-0.300	4	1			rate
off	M10	off	p3bw	beam-off nue>7.0	0	1000	0	1000	0.000	0	0			rate
off	M10	off	p3bw	beam-off nue>4.0	0	1000	0	1000	0.000	0	0			rate
off	M9	off	csp3bw	beam-off numu>0.9	5	1000	4	1000	-0.100	2	1			rate
off	M10	off	csp3bw	beam-off nue>7.0	0	1000	0	1000	0.000	0	0			rate
off	M10	off	csp3bw	beam-off nue>4.0	0	1000	0	1000	0.000	0	0			rate
off	M9	off	tfull	beam-off numu>0.9	5	1000	4	1000	-0.100	1	0			rate
off	M10	off	tfull	beam-off nue>7.0	0	1000	0	1000	0.000	0	0			rate
off	M10	off	tfull	beam-off nue>4.0	0	1000	0	1000	0.000	0	0			rate
