run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu
471	4	17	0	0	4	22	22	same	4	0	0	139.2	1	1	-109.47	137.84	112.78	0	590.2	4.3811	-15.0000	4	0	1	0	0	0	2	1	numu	QE	CC	587.5	469.9	0.801	0.53	590.2
471	4	19	0	0	11	6	6	same	1	0	1	15.0	0	0	-81.68	170.24	407.87	0	226.6	-2.0992	-15.0000	8	0	0	1	0	0	4	3	numu	MEC	NC	1347.6	248.7	0.376	1.08	226.6
471	4	20	0	0	1000007	15	15	same	1	0	1	18.6	0	0	160.18	-40.36	381.45	0	64.4	-2.2016	-15.0000	8	0	0	1	0	0	1	1	numu	RES	CC	1306.8	14.4	0.411	234.56	64.4
471	4	30	0	0	1000000	12	12	same	5	0	0	321.4	0	0	154.77	-43.65	175.29	0	1833.8	1.6123	-15.0000	4	0	1	0	0	0	2	2	numu	DIS	CC	2624.8	1838.8	0.083	0.85	1833.8
471	4	42	0	0	5	3	3	same	1	0	0	26.7	0	0	-82.03	94.16	475.99	0	288.9	1.8356	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	1270.5	170.3	0.493	1.16	288.9
471	4	47	0	0	9	22	22	same	8	1	1	26.3	1	1	-65.03	-36.02	108.54	0	447.7	-1.1753	-15.0000	8	0	0	1	0	0	2	2	numu	RES	NC	674.1	396.1	0.991	0.66	447.7
471	8	15	0	0	1000004	18	18	same	2	0	1	215.1	0	0	27.58	124.70	284.29	0	746.3	3.9988	-15.0000	4	0	1	0	0	0	1	1	numu	RES	CC	1109.0	739.0	0.145	2.48	746.3
471	8	32	0	0	1000005	20	20	same	9	0	0	240.9	0	0	21.96	-38.56	313.29	0	711.2	3.5289	-15.0000	4	0	1	0	0	0	2	1	numu	QE	CC	814.9	687.9	1.15	0.40	711.2
471	9	4	0	0	1000011	9	9	same	1	0	1	126.3	0	0	132.54	-125.29	24.78	0	575.0	4.4200	-15.0000	4	0	1	0	0	0	3	1	numu	MEC	CC	646.0	517.7	0.684	0.68	575.0
471	9	8	0	0	8	22	22	same	3	0	1	1.9	0	0	-76.24	-115.87	16.85	0	29.6	-3.8855	-15.0000	8	0	0	1	0	0	1	1	nue	RES	CC	2861.5	129.0	1.486	365.22	29.6
471	9	22	0	0	2	5	5	same	1	0	1	122.4	0	0	-167.40	29.04	273.52	0	529.3	1.3574	-8.3716	4	0	1	0	0	0	2	2	numu	QE	CC	758.6	667.1	1.414	0.13	529.3
471	9	34	0	0	1000012	10	10	same	1	0	1	3.0	0	0	194.22	54.65	207.45	0	8.2	-2.6144	-15.0000	8	0	0	1	0	0	2	2	numu	RES	CC	1043.9	49.3	0.513	392.52	8.2
471	9	46	0	0	2	4	4	same	1	0	0	361.8	0	0	-201.05	27.63	0.02	0	996.1	-5.1285	-15.0000	6	1	1	0	0	1	2	1	numu	QE	CC	1068.7	832.1	0.38	48.27	996.1
471	16	1	0	0	7	6	6	same	1	0	1	71.2	0	0	-77.22	-3.12	87.57	0	444.9	1.5302	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	473.9	279.6	0.686	64.39	444.9
471	16	13	0	0	1000005	13	13	same	1	0	0	189.3	0	0	55.08	36.39	339.34	0	886.5	3.4821	-15.2142	4	0	1	0	0	0	2	2	numu	MEC	CC	956.8	783.5	0.961	1.49	886.5
471	16	16	0	0	1000006	11	11	same	1	0	1	44.4	0	0	78.63	-61.95	351.65	0	537.1	-0.1634	-15.0000	8	0	0	1	0	0	3	3	numu	QE	NC	1102.0	423.2	0.392	2.45	537.1
471	16	22	0	0	7	6	6	same	1	0	1	71.6	0	0	-64.14	135.75	246.28	0	387.2	-0.4927	-15.0000	8	0	0	1	0	0	3	2	numu	QE	NC	663.2	362.2	0.541	1.11	387.2
471	16	26	0	0	1000002	20	20	same	3	0	0	96.0	1	2	153.95	156.21	1.04	0	455.0	-2.4150	-15.0000	10	1	0	1	0	1	2	1	numu	RES	CC	1845.1	615.4	1.139	7.62	455.0
471	16	29	0	0	11	75	20	not_in_act	2	0	0	30.6	0	0	-103.71	-175.92	127.10	0	642.1	-0.1029	-15.0000	8	0	0	1	0	0	1	1	numu	MEC	NC	1433.6	628.4	0.973	19.21	642.1
471	16	42	0	0	1000008	8	8	same	1	0	1	2.4	0	0	53.32	60.45	250.60	0	58.4	-3.7021	-15.0000	8	0	0	1	0	0	2	2	numu	QE	NC	365.6	103.4	0.579	0.92	58.4
471	16	49	0	0	1000011	10	10	same	1	0	1	65.4	0	0	22.39	-20.45	4.83	0	298.0	0.5980	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	1640.2	195.6	1.411	422.20	298.0
471	17	2	0	0	1000003	11	11	same	1	0	0	46.7	0	0	159.59	-184.35	257.95	0	403.3	2.8567	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	707.7	246.4	1.225	0.49	403.3
471	17	6	0	0	3	9	9	same	1	0	1	105.1	0	0	-50.85	120.45	195.17	0	836.9	2.3234	-15.0000	4	0	1	0	0	0	2	2	numu	MEC	CC	971.9	770.5	1.166	0.86	836.9
471	17	29	0	0	11	22	22	same	4	0	1	49.9	1	1	-0.51	120.97	330.62	0	356.6	0.8746	-15.0000	6	1	1	0	0	1	2	2	numu	QE	CC	496.0	321.6	1.397	15.14	356.6
471	17	32	0	0	1000004	11	11	same	1	0	1	30.0	0	0	161.78	127.35	239.82	0	202.7	-3.5397	-15.0000	8	0	0	1	0	0	2	1	numu	QE	NC	952.4	216.7	1.451	0.61	202.7
471	17	33	0	0	2	16	16	same	5	0	1	4.4	0	0	-6.62	-155.55	344.38	0	268.9	-0.9938	-15.0000	8	0	0	1	0	0	2	2	numu	QE	NC	746.3	261.8	1.187	4.11	268.9
471	17	42	0	0	1000005	20	20	same	1	0	1	90.3	0	0	97.66	-132.61	388.14	0	505.7	0.7225	-15.0000	8	0	0	1	0	0	4	3	numu	QE	CC	628.9	530.4	0.64	1.17	505.7
471	17	47	0	0	1000007	11	11	same	1	0	1	1.9	0	0	99.27	-178.37	286.74	0	109.3	-1.7001	-15.0000	8	0	0	1	0	0	1	1	numu	QE	CC	559.5	18.6	1.261	49.66	109.3
471	18	1	0	0	3	22	22	same	5	0	1	166.4	0	0	-72.44	56.45	126.77	0	1554.2	0.9467	-15.0000	4	0	1	0	0	0	1	1	numu	RES	CC	1299.9	1171.2	0.255	0.56	1554.2
471	18	21	0	0	3	7	7	same	1	0	1	3.5	0	0	-121.78	133.86	138.29	0	152.8	-1.7513	-15.0000	10	1	0	1	0	1	2	2	numu	QE	CC	367.8	5.8	0.988	354.03	152.8
471	18	49	0	0	1000002	14	14	same	3	0	1	46.2	0	0	38.92	-49.31	58.16	0	1055.2	-0.0269	1.7627	8	0	0	1	0	0	2	1	numu	RES	NC	1098.8	942.1	1.157	6.80	1055.2
471	19	3	0	0	3	16	16	same	1	0	0	184.6	0	0	-163.24	-151.06	2.04	0	936.7	-1.7511	-15.0000	10	1	0	1	0	1	2	1	numu	DIS	NC	3226.5	1069.8	0.324	53.08	936.7
471	19	26	0	0	1000005	37	37	same	8	0	1	20.4	0	0	107.29	-111.89	142.20	0	293.7	-0.1476	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	NC	1544.7	125.5	1.523	621.92	293.7
471	19	29	0	0	1000002	20	20	same	7	0	1	90.3	1	2	75.68	-59.63	422.26	0	1036.6	0.6554	-15.0000	4	0	1	0	0	0	3	1	numu	DIS	CC	1571.2	1010.9	0.81	5.34	1036.6
471	19	36	0	0	6	16	16	same	1	0	1	111.1	0	0	6.99	-164.43	441.56	0	575.9	4.2906	-15.0000	4	0	1	0	0	0	2	1	numu	QE	CC	640.9	477.5	1.247	2.15	575.9
471	19	47	0	0	4	11	11	same	3	0	1	22.0	0	0	-108.96	0.47	370.17	0	360.2	-1.6493	-15.0000	8	0	0	1	0	0	2	2	numu	QE	NC	1064.4	428.9	1.191	0.39	360.2
471	19	48	0	0	1000006	14	14	same	2	0	0	174.3	0	0	110.99	-134.83	221.75	0	790.1	4.2782	-9.7220	4	0	1	0	0	0	2	1	numu	RES	CC	968.3	675.9	0.446	1.00	790.1
471	21	11	0	0	0	5	5	same	1	0	0	78.7	0	0	-185.35	-30.11	449.12	0	1068.6	1.1415	-15.0000	4	0	1	0	0	0	2	2	numu	DIS	CC	4693.3	850.3	0.301	4.21	1068.6
471	21	40	0	0	3	11	11	same	5	0	0	97.1	0	0	-86.30	-158.50	217.91	0	645.9	2.8531	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	786.4	455.9	0.407	1.12	645.9
471	21	41	0	0	11	28	28	same	6	0	1	304.1	0	0	-15.72	-35.18	9.50	0	1160.2	4.4548	-15.0000	4	0	1	0	0	0	3	3	numu	RES	CC	1181.3	975.4	0.988	3.42	1160.2
471	21	50	0	0	9	8	8	same	2	0	0	45.0	0	0	-183.12	59.71	271.77	0	564.7	3.6157	-15.0000	4	0	1	0	0	0	3	2	numu	QE	CC	881.5	315.0	0.619	0.15	564.7
471	25	15	0	0	3	6	6	same	1	0	1	2.2	0	0	-183.32	-103.13	29.85	0	12.7	-2.0882	-15.0000	8	0	0	1	0	0	2	2	numu	QE	NC	761.9	167.1	1.443	0.27	12.7
471	25	19	0	0	11	1	1	same	1	0	0	1.7	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	1	-1				-1	-1	-1	-1	0.0
471	25	25	0	0	3	29	11	not_in_act	2	0	0	1.9	0	0	-94.53	-49.19	271.80	0	114.3	-2.0613	-15.0000	8	0	0	1	0	0	2	2	numu	QE	CC	1102.0	10.6	0.975	278.78	114.3
471	25	26	0	0	2	12	12	same	8	0	1	62.4	0	0	-196.78	-39.01	72.33	0	733.3	-0.0697	-15.0000	8	0	0	1	0	0	1	1	numu	RES	NC	1030.1	626.5	1.367	4.98	733.3
471	25	35	0	0	1000006	18	18	same	12	0	1	56.7	0	0	-11.94	107.97	213.95	0	615.3	2.1169	-15.0000	4	0	1	0	0	0	3	1	numu	RES	CC	578.6	449.9	1.258	1.26	615.3
471	25	37	0	0	0	10	10	same	2	0	0	213.0	0	0	-195.80	19.68	53.02	0	951.1	2.8704	-15.0000	4	0	1	0	0	0	3	3	numu	QE	CC	910.2	795.2	0.327	0.68	951.1
471	25	47	0	0	1000003	9	9	same	1	0	0	344.1	0	0	110.87	-5.27	186.13	0	1036.9	4.6560	-15.0000	4	0	1	0	0	0	3	1	numu	QE	CC	1606.6	1022.1	1.561	1.26	1036.9
471	28	2	0	0	1000000	12	12	same	2	0	1	132.3	0	0	147.31	-77.41	33.40	0	1089.5	3.6764	-15.0000	4	0	1	0	0	0	2	1	numu	RES	CC	1461.3	918.1	0.252	2.12	1089.5
471	28	3	0	0	1000001	12	12	same	2	0	0	412.3	0	0	74.66	123.28	125.26	0	2092.2	2.8327	-6.5013	4	0	1	0	0	0	3	3	numu	MEC	CC	4506.4	2285.1	1.409	1.58	2092.2
471	28	8	0	0	4	7	7	same	1	0	1	121.7	0	0	-139.28	-53.70	355.92	0	593.5	2.8279	-15.0000	4	0	1	0	0	0	3	2	numu	QE	CC	502.3	371.3	0.375	1.87	593.5
471	28	13	0	0	5	2	2	same	1	0	1	75.9	0	0	-122.28	-80.61	335.52	0	408.2	2.2658	-15.0000	4	0	1	0	0	0	3	1	numu	QE	CC	398.9	290.1	0.941	0.47	408.2
471	28	14	0	0	2	5	5	same	1	0	1	79.9	0	0	-92.37	-81.93	13.56	0	861.2	2.6177	-10.7648	4	0	1	0	0	0	1	1	numu	RES	CC	890.3	776.6	0.855	1.52	861.2
471	28	17	0	0	1	13	13	same	4	0	1	243.5	0	0	-144.31	79.66	64.69	0	1044.0	3.1524	-15.0000	6	1	1	0	0	1	2	1	numu	MEC	CC	1005.9	788.0	0.383	4.61	1044.0
471	28	24	0	0	1000009	10	10	same	2	0	0	5.2	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	2	-1				-1	-1	-1	-1	0.0
471	28	25	0	0	1000005	20	20	same	13	1	0	30.5	1	1	23.40	151.95	5.82	0	579.1	0.6002	-15.0000	8	0	0	1	0	0	2	1	numu	RES	CC	912.6	481.0	0.553	26.27	579.1
471	29	13	0	0	1000005	13	13	same	9	0	1	18.5	0	0	33.47	142.23	221.25	0	437.9	-2.5298	-15.0000	10	1	0	1	0	1	1	1	numu	RES	NC	664.3	361.9	0.579	36.26	437.9
471	29	24	0	0	1000008	25	25	same	2	0	1	14.7	0	0	24.62	174.22	439.99	0	149.7	-2.9206	-15.0000	8	0	0	1	0	0	2	2	numu	QE	NC	472.8	143.2	0.908	1.98	149.7
471	29	29	0	0	10	24	24	same	10	0	0	39.3	0	0	-121.34	188.08	438.59	0	412.3	3.9292	-15.0000	4	0	1	0	0	0	2	1	numu	RES	CC	1073.3	508.3	1.494	0.20	412.3
471	29	33	0	0	1000002	11	11	same	2	0	1	156.4	0	0	85.63	83.46	295.95	0	608.3	3.3363	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	779.7	562.1	0.488	0.45	608.3
471	29	44	0	0	1000013	8	8	same	1	0	1	28.7	0	0	97.31	13.81	15.13	0	215.2	-3.2246	-15.0000	8	0	0	1	0	0	3	2	numu	QE	NC	613.0	204.6	1.385	1.78	215.2
471	34	5	0	0	2	2	2	same	1	0	0	339.4	0	0	-110.60	125.04	95.75	0	1301.0	5.9293	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	1727.1	1075.4	0.234	2.70	1301.0
471	34	17	0	0	1000006	18	18	same	23	0	0	80.4	1	1	41.66	-173.95	2.59	0	440.4	-2.3545	-15.0000	10	1	0	1	0	1	3	2	numu	MEC	CC	1088.0	602.0	0.856	14.59	440.4
471	34	35	0	0	4	18	18	same	2	0	1	41.0	0	0	-27.93	53.34	251.42	0	367.7	-1.3310	-15.0000	8	0	0	1	0	0	2	2	numu	RES	NC	661.5	410.6	1.054	2.18	367.7
471	34	36	0	0	1000002	77	20	in_act_not_selected	35	0	0	256.1	0	0	94.04	-33.49	255.63	0	874.9	-0.5863	-15.0000	8	0	0	1	0	0	2	1	numu	MEC	NC	1520.4	1102.6	0.087	1.05	874.9
471	34	40	0	0	1000007	56	25	not_in_act	2	0	0	343.5	0	0	17.29	-111.80	365.33	0	661.6	0.4234	-15.0000	4	0	1	0	0	0	1	1	numu	RES	CC	2487.4	1217.1	0.901	665.76	661.6
471	34	41	0	0	1000015	23	23	same	1	0	1	6.6	0	0	58.23	-164.51	316.80	0	114.8	-2.2077	-15.0000	8	0	0	1	0	0	2	1	numu	RES	NC	1085.0	230.7	0.582	3.21	114.8
471	34	44	0	0	1000001	16	5	not_in_act	1	0	1	29.1	0	0	183.47	156.44	59.73	0	377.6	-0.7479	-15.0000	8	0	0	1	0	0	2	1	numu	RES	NC	901.3	430.0	0.611	0.87	377.6
471	34	50	0	0	1000003	11	11	same	1	0	0	1.2	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	2	-1				-1	-1	-1	-1	0.0
471	36	18	0	0	7	4	4	same	1	0	0	207.7	0	0	-78.69	-109.56	320.25	0	601.3	4.9311	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	1053.6	520.8	0.318	2.99	601.3
471	36	26	0	0	8	17	17	same	2	0	1	134.4	0	0	27.19	-123.60	304.13	0	504.9	1.9954	-15.0000	4	0	1	0	0	0	3	1	numu	QE	CC	540.4	415.3	0.429	1.70	504.9
471	36	28	0	0	10	16	16	same	5	0	1	2.5	0	0	-98.42	-3.03	116.01	0	122.2	-1.9232	-15.0000	8	0	0	1	0	0	2	1	numu	QE	NC	1102.2	99.2	0.478	138.11	122.2
471	36	39	0	0	0	5	5	same	1	0	1	158.6	0	0	-162.27	-117.29	373.44	0	809.3	3.6900	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	926.6	684.3	0.262	0.12	809.3
471	36	40	0	0	1000013	18	18	same	3	0	1	2.2	1	2	105.71	115.47	10.13	0	110.2	-2.0572	-15.0000	8	0	0	1	0	0	1	1	numu	RES	NC	1067.9	21.0	0.493	66.86	110.2
471	36	48	0	0	1000006	13	13	same	1	0	0	30.8	0	0	84.93	93.34	492.21	0	515.7	2.9609	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	635.8	246.9	1.404	2.51	515.7
471	39	7	0	0	7	6	6	same	1	0	0	0.8	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	2	-1				-1	-1	-1	-1	0.0
471	39	17	0	0	1000005	18	18	same	1	0	1	23.6	0	0	25.73	-41.94	103.12	0	217.7	-1.2266	-15.0000	8	0	0	1	0	0	2	1	numu	RES	NC	1235.2	390.9	0.574	2.14	217.7
471	39	31	0	0	5	19	19	same	9	0	1	156.7	0	0	-158.66	161.41	100.37	0	722.9	1.9913	-15.0000	6	1	1	0	0	1	1	1	numu	MEC	CC	973.6	686.7	0.707	1.11	722.9
471	39	44	0	0	1000009	19	19	same	2	0	0	32.7	1	1	63.86	42.33	33.26	0	157.2	-2.6099	-15.0000	8	0	0	1	0	0	2	1	nue	RES	CC	2051.9	277.0	0.108	247.07	157.2
471	40	6	0	0	2	3	3	same	1	0	1	108.2	0	0	-156.20	78.95	72.15	0	481.8	3.2993	-15.0000	4	0	1	0	0	0	2	2	numu	MEC	CC	524.0	430.5	0.707	0.39	481.8
471	40	12	0	0	10	1	1	same	1	0	0	56.6	0	0	-71.07	169.36	454.53	0	265.6	-0.0078	-15.0000	6	1	1	0	0	1	2	1	numu	QE	CC	367.3	175.7	1.323	0.19	265.6
471	40	13	0	0	1000003	13	13	same	1	0	1	192.8	0	0	149.12	-94.48	239.41	0	721.8	5.4683	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	766.8	609.8	1.335	0.47	721.8
471	40	23	0	0	1	3	3	same	1	0	1	40.3	0	0	-130.03	-57.42	335.61	0	621.7	0.1804	-15.0000	4	0	1	0	0	0	1	1	numu	RES	CC	622.4	390.2	0.85	0.34	621.7
471	40	29	0	0	4	2	2	same	1	0	1	98.1	0	0	-195.77	178.28	165.97	0	498.8	2.3674	-15.0000	4	0	1	0	0	0	2	2	numu	RES	CC	821.5	571.2	1.278	0.71	498.8
471	40	36	0	0	1000015	34	12	not_in_act	1	0	0	1.6	0	0	41.84	165.52	485.55	0	107.3	-1.8591	-15.0000	8	0	0	1	0	0	1	1	numu	QE	CC	1454.0	0.5	1.045	254.13	107.3
471	40	50	0	0	1000007	10	10	same	8	0	1	13.9	0	0	27.08	-154.58	43.11	0	142.0	-2.5044	-15.0000	8	0	0	1	0	0	1	1	numu	RES	NC	781.4	91.8	0.723	50.88	142.0
471	41	3	0	0	2	7	7	same	1	0	0	424.8	0	0	-151.33	-13.07	95.42	0	1144.0	4.5029	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	1839.9	1088.4	1.2	1.21	1144.0
471	41	6	0	0	1000000	10	10	same	24	0	0	273.8	1	1	63.95	-65.72	106.48	0	840.7	3.6054	-15.0000	4	0	1	0	0	0	4	4	numu	RES	CC	3319.5	1811.4	1.278	1.15	840.7
471	41	18	0	0	1000003	8	8	same	2	0	0	35.6	0	0	191.77	34.60	80.26	0	325.9	3.5848	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	506.5	171.8	0.953	0.53	325.9
471	41	29	0	0	9	17	17	same	2	0	1	21.5	1	1	-45.12	-151.98	455.75	0	336.3	-1.0101	-15.0000	8	0	0	1	0	0	1	1	numu	RES	NC	4606.8	414.4	0.096	0.66	336.3
471	42	2	0	0	1	68	5	not_in_act	1	0	1	75.9	0	0	-20.25	-13.22	273.58	0	689.3	-0.1548	-5.1926	8	0	0	1	0	0	2	2	numu	RES	CC	976.6	718.5	1.377	0.53	689.3
471	42	10	0	0	1000005	12	12	same	1	0	0	303.0	0	0	103.86	-1.78	204.72	0	831.8	3.9074	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	1026.7	769.4	0.976	5.10	831.8
471	42	14	0	0	1000013	16	16	same	1	0	0	40.0	0	0	58.53	-186.32	365.82	0	315.0	0.8304	-0.8283	8	0	0	1	0	0	3	2	numu	QE	CC	1157.2	201.8	1.0	1.05	315.0
471	42	22	0	0	3	16	16	same	4	0	0	197.7	0	0	-195.22	-123.12	211.30	0	578.0	1.3475	-15.0000	4	0	1	0	0	0	3	2	numu	RES	CC	1262.2	906.3	0.903	37.10	578.0
471	42	32	0	0	8	57	22	in_act_not_selected	4	1	1	55.7	1	1	5.30	-131.71	4.26	0	353.4	1.0099	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	944.4	301.1	0.634	359.67	353.4
471	42	32	1	1	1000008	14	14	same	1	0	0	2.7	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	1	-1				-1	-1	-1	-1	353.4
471	42	34	0	0	1	8	8	same	2	0	1	64.2	0	0	-135.96	-114.31	132.77	0	507.0	0.6191	-6.0060	8	0	0	1	0	0	1	1	numu	DIS	NC	1403.3	647.0	1.504	0.39	507.0
471	42	48	0	0	3	10	10	same	1	0	1	18.0	0	0	-161.30	-60.45	255.56	0	169.2	-3.4012	-15.0000	8	0	0	1	0	0	2	1	numu	QE	NC	611.1	159.0	0.978	0.19	169.2
471	45	7	0	0	4	3	3	same	1	0	1	22.8	0	0	-73.41	49.76	393.60	0	874.1	-0.7156	-4.7861	8	0	0	1	0	0	1	1	numu	RES	NC	1047.5	655.7	1.305	69.94	874.1
471	45	11	0	0	1000013	20	20	same	2	0	0	78.1	0	0	19.26	35.58	462.68	0	415.2	3.1165	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	891.8	370.6	1.288	2.90	415.2
471	45	12	0	0	1000001	34	34	same	4	1	0	43.0	1	1	175.72	199.47	156.46	0	236.8	-2.6211	-15.0000	6	1	1	0	0	1	1	1	numu	RES	CC	833.0	164.4	1.26	10.33	236.8
471	45	15	0	0	1000013	30	30	same	5	0	0	161.6	0	0	100.04	113.47	352.47	0	611.1	5.2556	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	819.0	442.2	1.32	0.73	611.1
471	45	16	0	0	1000008	11	11	same	1	0	0	101.4	0	0	138.40	12.69	414.98	0	637.9	3.1875	-15.0000	4	0	1	0	0	0	1	1	numu	MEC	CC	1386.1	462.9	0.319	0.64	637.9
471	45	37	0	0	9	10	10	same	1	0	0	33.9	0	0	-108.49	-0.21	480.61	0	357.7	1.6523	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	388.9	261.6	0.265	1.04	357.7
471	45	39	0	0	1000017	25	25	same	3	0	1	11.0	0	0	134.45	-77.83	83.17	0	190.8	-1.7162	-15.0000	8	0	0	1	0	0	1	1	numu	RES	NC	562.3	71.4	0.385	65.48	190.8
471	48	4	0	0	3	17	17	same	6	0	1	40.1	0	0	-121.43	-8.99	61.56	0	758.7	0.4739	-15.0000	8	0	0	1	0	0	2	2	numu	RES	CC	1042.6	800.9	0.951	0.80	758.7
471	48	9	0	0	5	6	6	same	1	0	0	253.6	0	0	-80.17	58.48	335.00	0	1142.7	4.2448	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	2137.6	985.2	1.32	0.56	1142.7
471	48	10	0	0	1000008	8	8	same	1	0	1	126.2	0	0	31.88	123.66	369.68	0	420.7	1.6652	-15.0000	6	1	1	0	0	1	1	1	numu	QE	CC	603.4	349.4	0.374	125.01	420.7
