run,idx,evtid,n_candidates,n_stm,n_michel,n_flash,n_stm_flash,n_opwf,root,bee
39349,44,23097,6,2,0,392,6,312,events/039349_23097/stm_michel_pdvd_039349_23097.root,events/039349_23097/bee_pdvd_039349_23097.zip
39349,45,23117,4,1,1,389,4,208,events/039349_23117/stm_michel_pdvd_039349_23117.root,events/039349_23117/bee_pdvd_039349_23117.zip
39349,46,23137,2,2,0,367,2,104,events/039349_23137/stm_michel_pdvd_039349_23137.root,events/039349_23137/bee_pdvd_039349_23137.zip
39349,47,23157,4,4,2,393,3,156,events/039349_23157/stm_michel_pdvd_039349_23157.root,events/039349_23157/bee_pdvd_039349_23157.zip
39349,48,23177,7,4,3,387,7,364,events/039349_23177/stm_michel_pdvd_039349_23177.root,events/039349_23177/bee_pdvd_039349_23177.zip
39349,49,23197,3,1,0,381,3,156,events/039349_23197/stm_michel_pdvd_039349_23197.root,events/039349_23197/bee_pdvd_039349_23197.zip
39349,50,23217,6,3,1,388,6,312,events/039349_23217/stm_michel_pdvd_039349_23217.root,events/039349_23217/bee_pdvd_039349_23217.zip
39349,51,23237,7,3,3,395,6,312,events/039349_23237/stm_michel_pdvd_039349_23237.root,events/039349_23237/bee_pdvd_039349_23237.zip
39349,52,23257,5,4,0,387,5,260,events/039349_23257/stm_michel_pdvd_039349_23257.root,events/039349_23257/bee_pdvd_039349_23257.zip
39349,53,23277,2,1,1,387,2,104,events/039349_23277/stm_michel_pdvd_039349_23277.root,events/039349_23277/bee_pdvd_039349_23277.zip
39349,54,23297,7,2,2,404,7,364,events/039349_23297/stm_michel_pdvd_039349_23297.root,events/039349_23297/bee_pdvd_039349_23297.zip
39349,55,23317,1,0,0,428,1,52,events/039349_23317/stm_michel_pdvd_039349_23317.root,events/039349_23317/bee_pdvd_039349_23317.zip
39349,56,55766,5,2,1,385,5,260,events/039349_55766/stm_michel_pdvd_039349_55766.root,events/039349_55766/bee_pdvd_039349_55766.zip
39349,57,55786,4,1,1,432,4,208,events/039349_55786/stm_michel_pdvd_039349_55786.root,events/039349_55786/bee_pdvd_039349_55786.zip
39349,58,55806,3,2,1,413,3,156,events/039349_55806/stm_michel_pdvd_039349_55806.root,events/039349_55806/bee_pdvd_039349_55806.zip
39349,59,55826,3,1,1,390,3,156,events/039349_55826/stm_michel_pdvd_039349_55826.root,events/039349_55826/bee_pdvd_039349_55826.zip
39349,60,55846,3,1,1,397,3,156,events/039349_55846/stm_michel_pdvd_039349_55846.root,events/039349_55846/bee_pdvd_039349_55846.zip
39349,61,55866,7,5,4,449,7,364,events/039349_55866/stm_michel_pdvd_039349_55866.root,events/039349_55866/bee_pdvd_039349_55866.zip
39349,62,55886,4,1,1,405,4,208,events/039349_55886/stm_michel_pdvd_039349_55886.root,events/039349_55886/bee_pdvd_039349_55886.zip
39349,63,55906,4,2,1,430,4,208,events/039349_55906/stm_michel_pdvd_039349_55906.root,events/039349_55906/bee_pdvd_039349_55906.zip
39349,64,55926,8,4,3,417,8,416,events/039349_55926/stm_michel_pdvd_039349_55926.root,events/039349_55926/bee_pdvd_039349_55926.zip
39349,65,55946,3,1,1,391,3,156,events/039349_55946/stm_michel_pdvd_039349_55946.root,events/039349_55946/bee_pdvd_039349_55946.zip
39349,66,55966,4,0,0,412,4,208,events/039349_55966/stm_michel_pdvd_039349_55966.root,events/039349_55966/bee_pdvd_039349_55966.zip
39349,67,55986,4,1,1,408,4,208,events/039349_55986/stm_michel_pdvd_039349_55986.root,events/039349_55986/bee_pdvd_039349_55986.zip
39349,68,56006,6,2,1,414,5,260,events/039349_56006/stm_michel_pdvd_039349_56006.root,events/039349_56006/bee_pdvd_039349_56006.zip
39349,69,56026,4,2,0,418,4,208,events/039349_56026/stm_michel_pdvd_039349_56026.root,events/039349_56026/bee_pdvd_039349_56026.zip
39349,70,56046,4,3,2,425,4,208,events/039349_56046/stm_michel_pdvd_039349_56046.root,events/039349_56046/bee_pdvd_039349_56046.zip
39349,71,56066,4,2,1,411,4,208,events/039349_56066/stm_michel_pdvd_039349_56066.root,events/039349_56066/bee_pdvd_039349_56066.zip
39349,72,56086,7,4,3,407,7,364,events/039349_56086/stm_michel_pdvd_039349_56086.root,events/039349_56086/bee_pdvd_039349_56086.zip
39349,73,56106,2,1,0,437,2,104,events/039349_56106/stm_michel_pdvd_039349_56106.root,events/039349_56106/bee_pdvd_039349_56106.zip
39349,74,56126,2,0,0,410,2,104,events/039349_56126/stm_michel_pdvd_039349_56126.root,events/039349_56126/bee_pdvd_039349_56126.zip
39349,75,56146,1,1,0,417,1,52,events/039349_56146/stm_michel_pdvd_039349_56146.root,events/039349_56146/bee_pdvd_039349_56146.zip
39349,76,56166,2,0,0,391,2,104,events/039349_56166/stm_michel_pdvd_039349_56166.root,events/039349_56166/bee_pdvd_039349_56166.zip
39349,77,56186,7,3,3,390,7,364,events/039349_56186/stm_michel_pdvd_039349_56186.root,events/039349_56186/bee_pdvd_039349_56186.zip
39349,78,56206,1,1,1,422,1,52,events/039349_56206/stm_michel_pdvd_039349_56206.root,events/039349_56206/bee_pdvd_039349_56206.zip
39349,79,56226,4,0,0,441,3,156,events/039349_56226/stm_michel_pdvd_039349_56226.root,events/039349_56226/bee_pdvd_039349_56226.zip
39349,80,56246,2,0,0,422,2,104,events/039349_56246/stm_michel_pdvd_039349_56246.root,events/039349_56246/bee_pdvd_039349_56246.zip
39349,81,56266,6,4,1,394,6,312,events/039349_56266/stm_michel_pdvd_039349_56266.root,events/039349_56266/bee_pdvd_039349_56266.zip
39349,82,56286,4,1,1,375,4,208,events/039349_56286/stm_michel_pdvd_039349_56286.root,events/039349_56286/bee_pdvd_039349_56286.zip
39349,83,56306,2,2,2,406,2,104,events/039349_56306/stm_michel_pdvd_039349_56306.root,events/039349_56306/bee_pdvd_039349_56306.zip
