run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
719	81	30	work-r3cv-d116p3bw/f078/pr_evt30	1	15	15	522	1278	0.11119	0.34389	0.04023	0	0.18352	0.017241	0.78248	1	0.8124	4664	0.028736	0.088123	0.0057471	0.0038314	0.25214	0.0076628	0	522	0.0077071	0.0057803	0.25309	0.0077071	0.0057471	519	0	0	0.22182	0.0076775	0.0019157	521
719	81	36	work-r3cv-d116p3bw/f078/pr_evt36	0																																		
719	81	37	work-r3cv-d116p3bw/f078/pr_evt37	1	23	13	127	962.85	0.075249	0.17209	0	0	0.084094	0.015748	1.0386	1	1	532	0.047244	0.1811	0.007874	0.007874	0.21642	0	0	127	0.015873	0.0079365	0.25154	0	0.007874	126	0.015748	0.015748	0.20852	0	0	127
719	81	38	work-r3cv-d116p3bw/f078/pr_evt38	1	23	7	351	1421.7	0.29095	0.062568	0	0	0.079317	0	0	0	1	2083	0	0.048433	0.0028653	0	0.25083	0	0.005698	349	0	0	0.24607	0	0	351	0	0	0.2479	0	0.002849	350
719	81	4	work-r3cv-d116p3bw/f078/pr_evt4	0																																		
719	81	43	work-r3cv-d116p3bw/f078/pr_evt43	0																																		
719	81	47	work-r3cv-d116p3bw/f078/pr_evt47	1	21	49	1537	6494.6	0.53439	0.35163	0.20494	0.079375	0.33867	0.062459	1.5398	10	0.30381	15975	0.042941	0.16721	0.02439	0.0092287	0.25971	0	0.013012	1517	0.072787	0.048525	0.28085	0.0091803	0.0078074	1525	0.023158	0.0077193	0.25072	0	0.072869	1425
719	81	48	work-r3cv-d116p3bw/f078/pr_evt48	0																																		
719	81	49	work-r3cv-d116p3bw/f078/pr_evt49	0																																		
719	81	8	work-r3cv-d116p3bw/f078/pr_evt8	0																																		
719	81	9	work-r3cv-d116p3bw/f078/pr_evt9	0																																		
717	88	15	work-r3cv-d116p3bw/f079/pr_evt15	1	17	6	168	593.39	0.1472	0.15418	0.02381	0.0059524	0.12392	0.017857	0	0	0.71799	1196	0.011905	0.13095	0	0	0.22913	0	0	168	0	0	0.27217	0.02381	0	168	0	0	0.23651	0	0	168
717	88	19	work-r3cv-d116p3bw/f079/pr_evt19	0																																		
