run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
719	29	4	work-r3cv-d116cs/f141/pr_evt4	0																																		
719	29	42	work-r3cv-d116cs/f141/pr_evt42	1	26	13	176	1020.6	0.34044	0.16481	0.011364	0	0.18494	0.017045	0	0	0.522	1944	0	0.20455	0.011364	0.011364	0.22756	0	0	176	0.0056818	0.0056818	0.23197	0	0	176	0	0	0.24173	0	0	176
719	29	46	work-r3cv-d116cs/f141/pr_evt46	1	7	4	45	403.37	0.0016023	0.18052	0	0	0.10207	0	0	0	1	241	0	0.088889	0	0	0.20796	0	0	45	0	0	0.34019	0	0.088889	41	0	0	0.20617	0	0	45
719	29	49	work-r3cv-d116cs/f141/pr_evt49	1	17	14	783	2005.6	0.046607	0.096587	0.012771	0	0.11969	0.0038314	0.4986	1	0.8115	5049	0.011494	0.10728	0.0051086	0.0012771	0.2486	0	0	783	0.0025543	0.0025543	0.27014	0	0	783	0.0012804	0	0.24952	0	0.0025543	781
713	57	15	work-r3cv-d116cs/f142/pr_evt15	0																																		
713	57	18	work-r3cv-d116cs/f142/pr_evt18	0																																		
713	57	20	work-r3cv-d116cs/f142/pr_evt20	1	1	1	101	167.86	0.021857	0.021857	0.029703	0	0.29809	0	0	0	0.71109	1021	0.009901	0.009901	0	0	0.22357	0	0	101	0	0	0.21794	0	0	101	0	0	0.28112	0	0	101
713	57	21	work-r3cv-d116cs/f142/pr_evt21	0																																		
713	57	24	work-r3cv-d116cs/f142/pr_evt24	0																																		
713	57	25	work-r3cv-d116cs/f142/pr_evt25	0																																		
713	57	27	work-r3cv-d116cs/f142/pr_evt27	1	15	8	297	920.66	0.095679	0.22013	0.043771	0.003367	0.074788	0.023569	0	0	0.74104	1817	0.003367	0.10438	0.010101	0.010101	0.24931	0	0	297	0.016892	0.016892	0.27845	0	0.003367	296	0.003367	0.003367	0.19023	0	0	297
