run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
300	12	1322	work-r3nue-d115pr/f207/pr_evt1322	1	27	9	244	1042.5	0.29695	0.37205	0.053279	0	0.28774	0.012295	0	0	0.65436	2994	0.016393	0.18443	0.0081967	0	0.25763	0	0	244	0.024793	0	0.23839	0	0.0081967	242	0.016667	0.0125	0.21315	0	0.016393	240
300	12	2488	work-r3nue-d115pr/f207/pr_evt2488	1	16	85	1283	7225.7	0.33483	0.39764	0.1138	0.005456	0.40845	0.060016	2.6295	19	0.65108	13034	0.11146	0.31878	0.038192	0.0265	0.27056	0.0038971	0	1283	0.035853	0.022603	0.25925	0.0031177	0	1283	0.037706	0.02121	0.24947	0	0.0077942	1273
300	12	4683	work-r3nue-d115pr/f207/pr_evt4683	1	3	10	194	426.26	0.19907	0.26567	0.087629	0	0.33098	0.061856	9.384	4	0.84535	1105	0.15979	0.1134	0.056701	0.036082	0.28998	0	0	194	0.056701	0.025773	0.28957	0	0	194	0.015707	0	0.20272	0	0.015464	191
300	12	5516	work-r3nue-d115pr/f207/pr_evt5516	1	100	53	1180	5723.3	0.43848	0.29902	0.12542	0.011864	0.43321	0.037288	2.6209	15	0.64212	11457	0.10169	0.23898	0.038136	0.011864	0.26627	0	0	1180	0.052542	0.025424	0.27815	0	0	1180	0.011017	0.0033898	0.23439	0	0	1180
300	12	594	work-r3nue-d115pr/f207/pr_evt594	1	72	20	388	1566.4	0.58865	0.23449	0.036082	0	0.28239	0.010309	1.9152	3	0.68527	3709	0.054124	0.17268	0.033505	0.0051546	0.23762	0	0	388	0.010309	0.0051546	0.24885	0	0	388	0.0025907	0	0.23241	0	0.0051546	386
294	2	10486	work-r3nue-d115pr/f208/pr_evt10486	1	25	54	1543	6864.2	0.30067	0.45342	0.1523	0.0064809	0.48806	0.038237	4.2248	29	0.27778	31670	0.12054	0.23137	0.023331	0.012962	0.26841	0.0025924	0	1543	0.024627	0.011666	0.25709	0.0038885	0	1543	0.032476	0.016238	0.24696	0.0033829	0.042126	1478
294	2	12081	work-r3nue-d115pr/f208/pr_evt12081	1	18	58	1197	5326.5	0.2913	0.36756	0.1061	0.0016708	0.40057	0.033417	2.4406	13	0.51759	16917	0.090226	0.24394	0.024227	0.012531	0.24905	0	0	1197	0.035088	0.018379	0.27979	0	0	1197	0.013479	0.0033698	0.24685	0	0.0083542	1187
294	2	4697	work-r3nue-d115pr/f208/pr_evt4697	1	12	12	257	1247.9	0.051745	0.081535	0.042802	0	0.15827	0	0.80136	1	0.97498	1450	0.035019	0.17121	0	0	0.2493	0	0.0077821	255	0.0077821	0	0.26677	0	0	257	0	0	0.21589	0	0	257
294	2	8542	work-r3nue-d115pr/f208/pr_evt8542	0																																		
294	2	8752	work-r3nue-d115pr/f208/pr_evt8752	1	13	3	352	827.15	0.25806	0.086019	0.053977	0	0.31622	0	0	0	0.59893	2773	0.039773	0.025568	0.014205	0	0.28285	0	0	352	0	0	0.24844	0	0.0028409	351	0.0056818	0	0.21809	0	0	352
