run,idx,evtid,n_candidates,n_stm,n_michel,n_flash,n_stm_flash,n_opwf,root,bee
28084,19,74560,2,1,1,103,2,306,events/028084_74560/stm_michel_pdhd_028084_74560.root,events/028084_74560/bee_pdhd_028084_74560.zip
28084,20,74568,7,4,2,103,7,1078,events/028084_74568/stm_michel_pdhd_028084_74568.root,events/028084_74568/bee_pdhd_028084_74568.zip
28084,21,74576,8,6,2,117,8,1232,events/028084_74576/stm_michel_pdhd_028084_74576.root,events/028084_74576/bee_pdhd_028084_74576.zip
28084,22,74584,1,1,0,122,1,153,events/028084_74584/stm_michel_pdhd_028084_74584.root,events/028084_74584/bee_pdhd_028084_74584.zip
28084,23,74592,9,3,3,125,9,1377,events/028084_74592/stm_michel_pdhd_028084_74592.root,events/028084_74592/bee_pdhd_028084_74592.zip
28084,24,74600,7,2,2,159,7,1071,events/028084_74600/stm_michel_pdhd_028084_74600.root,events/028084_74600/bee_pdhd_028084_74600.zip
28084,25,74608,5,2,1,119,5,765,events/028084_74608/stm_michel_pdhd_028084_74608.root,events/028084_74608/bee_pdhd_028084_74608.zip
28084,26,74616,6,3,1,123,6,918,events/028084_74616/stm_michel_pdhd_028084_74616.root,events/028084_74616/bee_pdhd_028084_74616.zip
28084,27,74624,9,1,1,93,9,1377,events/028084_74624/stm_michel_pdhd_028084_74624.root,events/028084_74624/bee_pdhd_028084_74624.zip
28084,28,74632,3,1,0,115,3,459,events/028084_74632/stm_michel_pdhd_028084_74632.root,events/028084_74632/bee_pdhd_028084_74632.zip
28084,29,74640,4,0,0,120,4,612,events/028084_74640/stm_michel_pdhd_028084_74640.root,events/028084_74640/bee_pdhd_028084_74640.zip
28084,30,74648,6,2,0,118,6,924,events/028084_74648/stm_michel_pdhd_028084_74648.root,events/028084_74648/bee_pdhd_028084_74648.zip
29107,0,983,6,2,2,221,6,960,events/029107_983/stm_michel_pdhd_029107_983.root,events/029107_983/bee_pdhd_029107_983.zip
29107,1,991,5,1,1,204,5,800,events/029107_991/stm_michel_pdhd_029107_991.root,events/029107_991/bee_pdhd_029107_991.zip
29107,2,999,5,2,2,226,5,800,events/029107_999/stm_michel_pdhd_029107_999.root,events/029107_999/bee_pdhd_029107_999.zip
29107,3,1007,7,5,4,199,7,1120,events/029107_1007/stm_michel_pdhd_029107_1007.root,events/029107_1007/bee_pdhd_029107_1007.zip
29107,4,1015,5,4,3,768,5,800,events/029107_1015/stm_michel_pdhd_029107_1015.root,events/029107_1015/bee_pdhd_029107_1015.zip
29107,5,1023,10,2,1,201,9,1440,events/029107_1023/stm_michel_pdhd_029107_1023.root,events/029107_1023/bee_pdhd_029107_1023.zip
29107,6,1031,2,1,1,191,2,320,events/029107_1031/stm_michel_pdhd_029107_1031.root,events/029107_1031/bee_pdhd_029107_1031.zip
29107,7,1039,5,4,2,188,5,800,events/029107_1039/stm_michel_pdhd_029107_1039.root,events/029107_1039/bee_pdhd_029107_1039.zip
29107,8,1047,4,0,0,220,4,640,events/029107_1047/stm_michel_pdhd_029107_1047.root,events/029107_1047/bee_pdhd_029107_1047.zip
29107,9,1055,5,3,3,193,5,800,events/029107_1055/stm_michel_pdhd_029107_1055.root,events/029107_1055/bee_pdhd_029107_1055.zip
29107,10,1063,3,0,0,226,3,480,events/029107_1063/stm_michel_pdhd_029107_1063.root,events/029107_1063/bee_pdhd_029107_1063.zip
29107,11,1071,6,4,3,216,5,800,events/029107_1071/stm_michel_pdhd_029107_1071.root,events/029107_1071/bee_pdhd_029107_1071.zip
29107,12,1079,7,2,1,212,7,1120,events/029107_1079/stm_michel_pdhd_029107_1079.root,events/029107_1079/bee_pdhd_029107_1079.zip
29107,13,1087,5,1,0,229,5,800,events/029107_1087/stm_michel_pdhd_029107_1087.root,events/029107_1087/bee_pdhd_029107_1087.zip
29107,14,1095,3,1,0,223,3,480,events/029107_1095/stm_michel_pdhd_029107_1095.root,events/029107_1095/bee_pdhd_029107_1095.zip
29107,15,1103,6,2,2,236,5,800,events/029107_1103/stm_michel_pdhd_029107_1103.root,events/029107_1103/bee_pdhd_029107_1103.zip
29107,16,1111,7,2,2,227,6,960,events/029107_1111/stm_michel_pdhd_029107_1111.root,events/029107_1111/bee_pdhd_029107_1111.zip
29107,17,1119,1,1,1,212,1,160,events/029107_1119/stm_michel_pdhd_029107_1119.root,events/029107_1119/bee_pdhd_029107_1119.zip
29107,18,1127,12,2,2,252,12,1920,events/029107_1127/stm_michel_pdhd_029107_1127.root,events/029107_1127/bee_pdhd_029107_1127.zip
29107,19,1135,6,5,4,220,5,800,events/029107_1135/stm_michel_pdhd_029107_1135.root,events/029107_1135/bee_pdhd_029107_1135.zip
29107,20,1143,7,3,2,221,6,960,events/029107_1143/stm_michel_pdhd_029107_1143.root,events/029107_1143/bee_pdhd_029107_1143.zip
29107,21,1151,9,3,1,230,9,1440,events/029107_1151/stm_michel_pdhd_029107_1151.root,events/029107_1151/bee_pdhd_029107_1151.zip
29107,22,1159,5,4,2,179,5,800,events/029107_1159/stm_michel_pdhd_029107_1159.root,events/029107_1159/bee_pdhd_029107_1159.zip
29107,23,1167,6,4,3,220,6,960,events/029107_1167/stm_michel_pdhd_029107_1167.root,events/029107_1167/bee_pdhd_029107_1167.zip
29107,24,1175,3,3,2,211,3,480,events/029107_1175/stm_michel_pdhd_029107_1175.root,events/029107_1175/bee_pdhd_029107_1175.zip
29107,25,1183,5,2,1,202,5,800,events/029107_1183/stm_michel_pdhd_029107_1183.root,events/029107_1183/bee_pdhd_029107_1183.zip
29107,26,1191,7,2,0,209,6,960,events/029107_1191/stm_michel_pdhd_029107_1191.root,events/029107_1191/bee_pdhd_029107_1191.zip
29107,27,1199,3,1,0,222,3,480,events/029107_1199/stm_michel_pdhd_029107_1199.root,events/029107_1199/bee_pdhd_029107_1199.zip
29107,28,1207,5,3,3,210,5,800,events/029107_1207/stm_michel_pdhd_029107_1207.root,events/029107_1207/bee_pdhd_029107_1207.zip
29107,29,1215,3,1,0,226,3,480,events/029107_1215/stm_michel_pdhd_029107_1215.root,events/029107_1215/bee_pdhd_029107_1215.zip
